year,trois_DET ans_NOUN,trois_DET champs_NOUN
1800,1.93460442687865e-05,5.345079756580162e-08
1801,1.921852387454237e-05,4.286128785224719e-08
1802,1.812650532428961e-05,4.699464284385613e-08
1803,1.9860304064422962e-05,1.75530532331436e-08
1804,1.925324747276136e-05,2.4718509461507665e-09
1805,1.8291075008392e-05,2.842877711017877e-09
1806,1.8307243692561315e-05,7.780506905419315e-08
1807,2.1013375345546592e-05,3.985737118128441e-08
1808,2.1681795999484166e-05,4.758755522971114e-08
1809,2.4754456489972654e-05,5.6475762733043666e-08
1810,1.842849906097399e-05,3.2761775514700275e-08
1811,2.4130613496708975e-05,5.0141535368197765e-09
1812,1.9804021121672122e-05,5.3344164641089264e-09
1813,2.2189222022461763e-05,0.0
1814,1.9811480115095037e-05,0.0
1815,1.827638595841563e-05,0.0
1816,1.7952158827938547e-05,6.952811659743929e-09
1817,1.7735900939896965e-05,9.341240669868967e-09
1818,2.3205764250633365e-05,4.768470951432846e-09
1819,2.2830276066088118e-05,8.280840013696888e-09
1820,2.1085551111355016e-05,7.119888678630559e-09
1821,2.109963963903283e-05,9.861488514673056e-09
1822,1.938653258548584e-05,1.804610860745015e-08
1823,1.908445744902565e-05,3.162459805139406e-08
1824,1.858034329416114e-05,1.8526447931321854e-08
1825,2.2171224827616243e-05,1.2327619813845558e-08
1826,2.0900465926843026e-05,3.523193736754138e-08
1827,2.194909291119984e-05,1.474763688946723e-08
1828,1.975897180273023e-05,7.337841001486822e-09
1829,2.0981134241537802e-05,1.2859763920403111e-08
1830,1.92455246406098e-05,9.39315203396518e-09
1831,2.031845974670432e-05,6.236482441579483e-09
1832,2.134758483407495e-05,0.0
1833,2.0980268345738295e-05,1.853380560135065e-08
1834,2.182319985877257e-05,1.213489042584115e-08
1835,1.990907207982673e-05,1.3613558280667348e-08
1836,2.112533366016578e-05,1.7473950730817478e-08
1837,2.2794051346863853e-05,1.87863058442872e-08
1838,2.111228877765825e-05,9.468243078458727e-09
1839,2.050669559139351e-05,6.292327547896548e-09
1840,2.202765739411916e-05,2.356784811752277e-08
1841,2.1867745886083867e-05,1.0272877659645019e-08
1842,2.238548006516794e-05,4.695785538189057e-09
1843,2.2683129827782977e-05,1.9492806535570395e-08
1844,2.318697545433679e-05,1.0428266250528395e-08
1845,2.1413566400951822e-05,2.287893430263921e-08
1846,2.2437375776007684e-05,3.044340801672263e-08
1847,2.2942233385947475e-05,3.3977308078192436e-08
1848,2.399246011464129e-05,2.011305433313737e-08
1849,2.2808766573234607e-05,3.4355601030711114e-08
1850,2.3167448205185792e-05,3.1229383523623255e-08
1851,2.4214417294388113e-05,5.1595508976376436e-08
1852,2.2298618773675116e-05,3.450589147746541e-08
1853,2.2237085147480684e-05,2.5679307569248522e-08
1854,2.141912614206376e-05,1.9743524148907454e-08
