year,seules_ADJ eaux_NOUN
1800,5.0306631749208464e-08
1801,4.286128785224719e-08
1802,3.1329761895904085e-08
1803,5.655983770225248e-08
1804,8.157108055684148e-08
1805,5.685755422035754e-09
1806,6.627838899930794e-08
1807,2.562259560079383e-08
1808,3.3991110370834576e-08
1809,2.4849335034105025e-08
1810,0.0
1811,2.5070768572277302e-08
1812,1.3336041604361526e-08
1813,0.0
1814,2.5173417128598885e-08
1815,3.236668177919455e-08
1816,6.025770460382773e-08
1817,4.670620157298799e-08
1818,2.5034472272977837e-08
1819,4.140420006848444e-09
1820,4.746592452420373e-09
1821,1.972297702934611e-08
1822,2.0051231786055723e-08
1823,1.1859224713361982e-08
1824,1.6842225392110777e-09
1825,6.163809906922779e-09
1826,6.1655889282974385e-09
1827,2.8573547083965423e-08
1828,1.1006761724274838e-08
1829,4.9724420136953995e-08
1830,1.6698937344017395e-08
1831,1.4032085715598441e-08
1832,2.4353944638733083e-08
1833,1.1583628278799551e-08
1834,2.14694217959277e-08
1835,1.2100940693926532e-08
1836,2.2850549896702432e-08
1837,5.5663127440652715e-09
1838,4.418513555037862e-09
1839,1.8177836125232716e-08
1840,7.0066574764382494e-09
1841,5.778493683550323e-09
1842,1.6770663080478698e-08
1843,1.1223130869097986e-08
1844,2.9089374464774664e-08
1845,5.022205318283568e-09
1846,1.5807152919933287e-08
1847,1.1325769655456952e-08
1848,2.413566457803995e-09
1849,6.703531951757213e-09
1850,4.073397619208663e-09
1851,1.805842941848823e-08
1852,9.765818376195057e-09
1853,9.555090940693844e-09
1854,1.0910895298366086e-08
1855,1.2736649068756378e-08
1856,2.174419400091665e-08
1857,1.513267733344037e-08
1858,8.31924928945682e-09
1859,1.629495471888731e-08
1860,1.6935580049448618e-08
1861,1.131831339762357e-08
1862,2.2589931703009825e-08
1863,2.1476870060155306e-08
1864,9.589456340108882e-09
1865,6.589582213223366e-09
1866,1.6543083347642096e-08
1867,1.2132028714972876e-08
1868,6.915823802522425e-09
1869,6.8369265804335555e-09
1870,1.6055336615750093e-08
1871,5.3105884134652115e-09
1872,9.675742873582749e-09
1873,8.979006871356887e-09
1874,8.364453130127458e-09
1875,1.3159512590732447e-08
1876,1.9951848173604958e-08
1877,1.2988113695655557e-08
1878,1.3285995414946683e-08
1879,6.720257683667796e-09
1880,1.0268554007097919e-08
1881,2.1614773970668466e-08
1882,1.1314154946262533e-08
1883,6.319338829996468e-09
1884,2.2445768799173038e-08
1885,1.5469525327382883e-08
1886,1.871504551331782e-08
1887,8.48760173255414e-09
1888,1.2047168373996442e-08
1889,8.771191772893872e-09
1890,8.520702365899524e-09
1891,1.529812720946211e-08
1892,1.191017329205124e-08
1893,9.23762488724833e-09
1894,1.0082462864602348e-08
1895,1.2037228991346183e-08
1896,7.076434549446731e-09
1897,3.0881580848074464e-08
1898,3.281845906144554e-08
1899,2.4874102777516782e-08
1900,2.180242297811219e-08
1901,3.576792906301307e-08
1902,2.8479647085077886e-08
1903,9.720396931811592e-09
1904,2.418581246388385e-08
1905,2.4255568220610257e-08
1906,2.9321851613417493e-08
1907,1.491424583832668e-08
1908,2.89771957540097e-08
1909,2.1453836041018803e-08
1910,1.7101282168141552e-08
1911,2.553779587799454e-08
1912,2.8651816919023076e-08
1913,1.96210621083992e-08
1914,1.4063162190325329e-08
1915,2.2383447761953335e-08
1916,1.9777431248257926e-08
1917,2.522277586791688e-08
1918,2.067547821837934e-08
1919,8.287063701928332e-09
1920,1.2115570324766622e-08
1921,1.6660044011018726e-08
1922,2.2133805899215986e-08
1923,1.3800732556745743e-08
1924,2.4494086536819282e-08
1925,1.9796720707176974e-08
1926,3.009457394398396e-08
1927,1.7838759802657478e-08
1928,2.170947865920425e-08
1929,1.893869061575515e-08
1930,2.1007207084977608e-08
1931,2.167017765231094e-08
1932,2.6302887867757363e-08
1933,2.523545639121494e-08
1934,2.3963160344919743e-08
1935,2.2739739868882225e-08
1936,2.667437293268904e-08
1937,2.7700460147883632e-08
1938,2.2040865133021725e-08
1939,1.8352860564618823e-08
1940,1.01431314458722e-08
1941,5.9030051957620344e-09
1942,1.8205270180260413e-08
1943,2.322588166236983e-08
1944,1.6065930807940276e-08
1945,4.357008087652048e-09
1946,1.6705325123211878e-08
1947,1.3112957830685446e-08
1948,1.848220954059343e-08
1949,2.1597418964347526e-08
1950,1.1698897850465073e-08
1951,6.396841278899501e-09
1952,2.1089608281954497e-08
1953,4.0940545176226806e-08
1954,1.4658803948464083e-08
1955,1.783265446420046e-08
1956,1.744228228517386e-08
1957,2.1204090927540165e-08
1958,1.9853384713997002e-08
1959,2.4802393028267034e-08
1960,1.1073333361366622e-08
1961,1.320150300188061e-08
1962,1.4586500007851555e-08
1963,1.7458344103715717e-08
1964,1.3993127545575135e-08
1965,1.1491291473930687e-08
