year,quelles_DET eaux_NOUN
1800,2.829748035892976e-08
1801,5.238601819002042e-08
1802,3.8043282302169246e-08
1803,3.900678446910888e-09
1804,9.887403784603066e-09
1805,8.528632911009026e-09
1806,4.610670600868616e-08
1807,5.693910232196231e-09
1808,6.798221985349073e-09
1809,2.4849335922283444e-08
1810,1.4040760554223652e-08
1811,1.7549536934780008e-08
1812,2.1337665856435706e-08
1813,2.8757416448144113e-09
1814,0.0
1815,1.0788894222457657e-08
1816,6.952811659743929e-09
1817,4.0478710161551135e-08
1818,4.530047448270125e-08
1819,2.4842520929269085e-08
1820,1.1866481131050932e-09
1821,5.029358973729359e-08
1822,3.208197085768916e-08
1823,3.953074634299725e-08
1824,4.378978690766644e-08
1825,1.3208164784117571e-08
1826,3.170874307567573e-08
1827,3.133872894522938e-08
1828,1.834460228167245e-08
1829,2.0575622650120806e-08
1830,3.444155893816969e-08
1831,1.5591206548037917e-08
1832,4.4648898134269643e-08
1833,1.2741991461950875e-08
1834,3.2670858240990697e-08
1835,3.327758690829796e-08
1836,2.688300071440608e-08
1837,1.87863058442872e-08
1838,2.4617431648721322e-08
1839,2.1673573602498664e-08
1840,1.7835128207632778e-08
1841,1.1556987811189856e-08
1842,1.8112315647300647e-08
1843,1.1813821920725331e-08
1844,1.2074834521147437e-08
1845,1.0602432709561072e-08
1846,1.9905304071698993e-08
1847,9.707802561820245e-09
1848,5.95346403287067e-08
1849,1.1731181359664333e-08
1850,1.5614690873633208e-08
1851,2.386292341505225e-08
1852,1.6276364034339963e-08
1853,1.3138249599364826e-08
1854,7.27393034694046e-09
1855,3.02495415382964e-08
1856,1.656700598928751e-08
1857,1.122747050885664e-08
1858,2.7404585711821028e-08
1859,1.8331824946926645e-08
1860,2.9293977021893625e-08
1861,3.254014863118826e-08
1862,1.8523744343967863e-08
1863,2.7470414831753942e-08
1864,2.828889433814652e-08
1865,4.3302967434044604e-08
1866,3.211304400174697e-08
1867,2.620518202434141e-08
1868,2.76632952100897e-08
1869,2.0999133210075627e-08
1870,2.8096839521651873e-08
1871,2.3366590662377007e-08
1872,2.660829245826335e-08
1873,1.9155214303623325e-08
1874,1.7923827755339516e-08
1875,2.1169650921137873e-08
1876,5.1995726835230016e-08
1877,1.3606595627990714e-08
1878,2.657198971967034e-08
1879,3.360128886242819e-08
1880,2.2462462556660512e-08
1881,1.3247764774071413e-08
1882,2.4624924321869912e-08
1883,3.6652166635064987e-08
1884,2.5086448474098688e-08
1885,3.222817768211428e-08
1886,1.5488312854472497e-08
1887,1.632231128034789e-08
1888,2.536245968798312e-08
1889,2.318100555953606e-08
1890,2.6217545912032847e-08
1891,1.72103943318902e-08
1892,1.6298132399228393e-08
1893,3.571881679320654e-08
1894,3.969969597505951e-08
1895,2.2268873633990438e-08
1896,1.592197840238896e-08
1897,1.5732126490419773e-08
1898,1.9804242246124204e-08
1899,1.7688250864011934e-08
1900,2.180242386629061e-08
1901,1.2295225282343836e-08
1902,7.856453987376e-09
1903,1.3500550677392198e-08
1904,2.6335663427801137e-08
1905,9.805442346966231e-09
1906,1.2860461140462576e-08
1907,1.3885677219160897e-08
1908,2.455694558811672e-08
1909,1.1552065415365576e-08
1910,1.763569701385137e-08
1911,1.4365010292394231e-08
1912,1.250261111307438e-08
1913,1.8030165027660416e-08
1914,1.4063161579702665e-08
1915,1.2958838335741518e-08
1916,5.493730803607377e-09
1917,6.57985488317081e-09
1918,1.8378202071289707e-08
1919,5.524709023596586e-09
1920,1.590168663412328e-08
1921,1.5902769767706104e-08
1922,1.6231457733439925e-08
1923,1.4862327812892318e-08
1924,1.5469948877466777e-08
1925,1.429763130111894e-08
1926,1.5604594283402662e-08
1927,1.8953683067479687e-08
1928,1.4853853147478446e-08
1929,1.6710609340719884e-08
1930,2.1007207084977608e-08
1931,1.4826963656844327e-08
1932,2.6302887090601246e-08
1933,4.588264879146209e-09
1934,1.4377896206951846e-08
1935,1.6755597798123745e-08
1936,9.699771652549316e-09
1937,5.0364472592434595e-09
1938,9.075650009293668e-09
1939,7.647025235257843e-09
1940,5.0715658339584024e-09
1941,2.6563523380929155e-08
1942,6.068423541449874e-09
1943,5.806470415592457e-09
1944,1.6065930807940276e-08
1945,1.5249527862692958e-08
1946,8.352662561605939e-09
1947,2.7418004089341252e-08
1948,1.848220954059343e-08
1949,1.3743811422273211e-08
1950,1.0635361258337639e-08
1951,5.330700769690111e-09
1952,1.5817205323287453e-08
1953,8.61906213067698e-09
1954,1.3681550559141442e-08
1955,1.1262729415761896e-08
1956,1.0465370126055973e-08
1957,1.678657179926546e-08
1958,1.9026159758794847e-08
1959,2.0151944668533872e-08
1960,1.038124963770315e-08
1961,1.945484662257968e-08
1962,1.1415521528057582e-08
1963,1.0345684975376912e-08
1964,1.6426714211092985e-08
1965,2.188817349590977e-08
1966,1.163205665122291e-08
1967,1.3804939802408711e-08
1968,1.931308885039229e-08
1969,1.0446043141598693e-08
1970,3.035158471775823e-08
1971,1.233215407570043e-08
1972,1.4364410771960934e-08
1973,1.7642251715077606e-08
1974,7.313243344242437e-09
1975,9.138368284311582e-09
1976,7.998937456843436e-09
1977,7.639816779203557e-09
1978,7.722768868845264e-09
1979,1.111874914361266e-08
1980,1.932951232408442e-08
1981,1.3916208629893845e-08
1982,1.179425412889401e-08
1983,1.8314416205811312e-08
1984,2.3196033982486597e-08
1985,1.0828004826102244e-08
1986,8.991728361884554e-09
1987,9.77730663098697e-09
1988,7.195864348830128e-09
1989,1.2622680567453415e-08
1990,1.798054882762301e-08
1991,1.699824903056424e-08
1992,1.3223865669154122e-08
1993,1.2740177190995183e-08
1994,1.1604838756618108e-08
1995,1.0302656505700725e-08
1996,1.3879039695297024e-08
1997,1.678213046307775e-08
1998,9.059445638115449e-09
1999,8.226361924990044e-09
2000,1.2812291005914744e-08
2001,9.638666031985821e-09
2002,1.7524885320696626e-08
2003,6.667076668520622e-09
2004,7.488145048473172e-09
2005,1.1709749059285457e-08
2006,7.823991010624809e-09
2007,9.986198756806175e-09
2008,1.2346574762567286e-08
2009,8.105927040702454e-09
2010,1.1809482725055886e-08
2011,1.7972667576415802e-08
2012,8.510631810398905e-09
2013,1.2272149851888514e-08
2014,1.7540106089786178e-08
2015,1.0639561953684762e-08
2016,2.2370472807509145e-08
2017,1.308117902887318e-08
2018,1.6521387147250266e-08
2019,1.2754938882864053e-08
