year,aux_ADP eaux_NOUN,aux_ADP chauds_ADJ
1800,3.361111790667337e-06,0.0
1801,2.771696440362348e-06,0.0
1802,3.0389869323244056e-06,2.2378401354217203e-09
1803,3.5242629508047685e-06,0.0
1804,3.8115940714789076e-06,0.0
1805,3.5933974196211693e-06,0.0
1806,3.942123427691513e-06,0.0
1807,2.7359237684265736e-06,0.0
1808,2.984419516849357e-06,0.0
1809,3.535382673724996e-06,0.0
1810,3.3908437382379475e-06,0.0
1811,2.9458152894790146e-06,0.0
1812,3.7740995573187774e-06,8.00162425207418e-09
1813,3.3847480125359652e-06,0.0
1814,3.2379308390062533e-06,0.0
1815,3.1935125974769107e-06,0.0
1816,2.6374332460221694e-06,0.0
1817,2.7930308359458422e-06,0.0
1818,3.6979491540023446e-06,0.0
1819,2.961435393800116e-06,0.0
1820,2.535867004382908e-06,1.1866481131050932e-09
1821,3.0827011983092234e-06,6.903041693817613e-09
1822,3.5129758657603816e-06,0.0
1823,2.967770878825604e-06,0.0
1824,2.752019703677888e-06,8.421112696055388e-10
1825,3.0484444017986334e-06,0.0
1826,2.805343047640463e-06,0.0
1827,3.2039241801840035e-06,0.0
1828,3.0020940897657056e-06,9.172301251858528e-10
1829,3.2749532152820393e-06,0.0
1830,3.222894797261233e-06,0.0
1831,4.0007034911582195e-06,0.0
1832,3.7302125157623323e-06,1.3529969367098715e-09
1833,4.814155886379012e-06,0.0
1834,3.110265744510343e-06,9.334531370086552e-09
1835,3.806502121506128e-06,0.0
1836,2.7373615081316416e-06,0.0
1837,3.3655317466241286e-06,0.0
1838,3.2791682169630576e-06,1.2624323808552163e-09
1839,2.9154452469981607e-06,6.29232765891885e-09
1840,2.9867470612288116e-06,5.095750932326837e-09
1841,3.1569836771438986e-06,6.420548537278137e-10
1842,2.960357287307147e-06,6.708265054555795e-09
1843,2.984171503683797e-06,1.3585895075607368e-08
1844,3.0132201809252024e-06,4.390849017710252e-09
1845,3.1840780287950565e-06,3.906159617983462e-09
1846,3.3522874929303725e-06,1.2294452345074092e-08
1847,2.8972396854953786e-06,1.0786447290911383e-08
1848,2.8616852807417104e-06,4.82713291560799e-09
1849,3.248699144364764e-06,1.3407064125559032e-08
1850,2.825580084575563e-06,2.7155984128057753e-09
1851,3.3221058104437873e-06,7.739326512989919e-09
1852,3.4011089322660837e-06,1.3672145193766028e-08
1853,3.696625697102718e-06,1.0749477752369785e-08
