year,avons_VERB assez_ADV,avons_VERB chassé_VERB
1800,5.219313266024983e-07,4.087413785214267e-08
1801,5.071918849353096e-07,5.714838380299625e-08
1802,4.900870180790662e-07,8.056224487518193e-08
1803,5.363432933336298e-07,4.290746247193056e-08
1804,4.375176274606929e-07,4.2021465418429216e-08
1805,4.4348891492518305e-07,8.52863308864471e-08
1806,2.679952331163804e-07,8.933174200365102e-08
1807,2.932363827312656e-07,1.4234775136401367e-08
1808,5.665185085490521e-07,2.945896149242344e-08
1809,3.411136049180641e-07,7.680704072754452e-08
1810,4.3058332721557235e-07,2.106114038724627e-08
1811,3.484836668121716e-07,2.757784400841956e-08
1812,3.334010330036108e-07,2.1337665856435706e-08
1813,2.7894694198948855e-07,5.751483289628823e-09
1814,4.940283133691992e-07,1.8565394555025705e-07
1815,4.7471135644627793e-07,2.1577788444915313e-08
1816,4.3339193211977545e-07,4.1716869958463576e-08
1817,4.0011647683968476e-07,1.8682481339737933e-08
1818,6.008273203406134e-07,3.695565098382758e-08
1819,7.09046901192778e-07,9.00541365922436e-08
1820,5.565379410654714e-07,4.390598107306687e-08
1821,5.542156600313319e-07,8.480879643002481e-08
1822,6.085548989176459e-07,7.519211919770896e-08
1823,4.80298581351235e-07,4.15072847204101e-08
1824,5.482144160851021e-07,3.452656116564867e-08
1825,4.578830328227923e-07,5.371320099811783e-08
1826,5.082206939732714e-07,3.963592831723872e-08
1827,4.940458211422083e-07,4.2399456390285195e-08
1828,4.3935324356425554e-07,4.1275356466030644e-08
1829,5.058174110672553e-07,4.4580517055692326e-08
1830,5.134922957950039e-07,7.514521627172144e-08
1831,6.08057064255263e-07,6.080570358335535e-08
1832,4.383710177080502e-07,2.0294953273491956e-08
1833,5.838148808834376e-07,4.749287541017111e-08
1834,6.944890742488496e-07,9.147840529522e-08
1835,5.68744212614547e-07,4.9160071569076536e-08
1836,6.539289643114898e-07,6.04867480547e-08
1837,7.062259328449727e-07,4.5226290268374214e-08
1838,6.444717541853606e-07,2.7142295522253335e-08
1839,6.488089070444403e-07,5.103776956616457e-08
1840,6.032095143382321e-07,7.006657654073933e-08
1841,7.512041975132888e-07,6.67737083404063e-08
1842,6.231978204596089e-07,6.909512961783548e-08
1843,5.983700930300984e-07,7.797122947295065e-08
1844,6.213051619852195e-07,6.311845623940826e-08
1845,6.701853862978169e-07,3.0691253982695343e-08
1846,7.171764195845753e-07,3.3956109035671034e-08
1847,5.533447620109655e-07,6.795461615638487e-08
1848,5.108715868118452e-07,7.160247150750365e-08
1849,7.48281763662817e-07,7.709061833338637e-08
1850,5.784224867966259e-07,8.078905011643656e-08
1851,6.997640866757138e-07,4.51460699935069e-08
1852,5.358178896130994e-07,3.971432604998881e-08
1853,5.547924502025126e-07,4.060913738612726e-08
1854,6.224406092769641e-07,5.0917510208137173e-08
1855,5.832324063703709e-07,4.7231740296638236e-08
1856,5.839869459123292e-07,3.468716869292621e-08
1857,5.120703008287819e-07,6.83411300883563e-08
1858,5.564109528677363e-07,4.061751113226819e-08
1859,6.202267286425922e-07,5.8050776630125256e-08
1860,6.444674909289461e-07,6.31651388971477e-08
