year,aurons_VERB eu_VERB
1800,9.118077315406481e-08
1801,8.572257570449437e-08
1802,8.727576528144709e-08
1803,2.145373123596528e-08
1804,1.0628959046243835e-07
1805,4.8328921309348516e-08
1806,6.916005901302924e-08
1807,1.7081731584767113e-08
1808,5.211970233176544e-08
1809,3.840352036377226e-08
1810,3.2761775514700275e-08
1811,2.5070768572277302e-08
1812,6.13457871168066e-08
1813,5.751483289628823e-09
1814,1.1328037885505182e-07
1815,1.8880564667256294e-08
1816,3.244645441213834e-08
1817,5.7604317760251433e-08
1818,4.2916237674717195e-08
1819,4.243930362690662e-08
1820,3.441279616822612e-08
1821,5.226588939422072e-08
1822,1.0326384369818697e-07
1823,4.644862983127496e-08
1824,3.03160057057994e-08
1825,9.509878395874694e-08
1826,5.108631029315802e-08
1827,6.452091128039683e-08
1828,4.035812395386529e-08
1829,3.8579290873030914e-08
1830,3.339787468803479e-08
1831,5.9246584527272717e-08
1832,4.329590197471589e-08
1833,8.108539617524002e-09
1834,4.29388435918554e-08
1835,3.100866052818674e-08
1836,6.72075017860152e-08
1837,3.826840000442644e-08
1838,2.840472923537618e-08
1839,3.216078425793967e-08
1840,3.9492068282243054e-08
1841,2.43980835534785e-08
1842,3.890793820460203e-08
1843,3.2488010504039266e-08
1844,3.677336124496833e-08
1845,3.627148004170522e-08
1846,4.9177810268474786e-08
1847,5.2314270249098627e-08
1848,4.103063133698015e-08
1849,3.603148357456121e-08
1850,1.1541293254424545e-08
1851,3.4826967976187007e-08
1852,3.7761164861649377e-08
1853,3.762317035693741e-08
1854,3.4810952342922974e-08
1855,4.351688431825096e-08
1856,3.727576114442854e-08
1857,3.270611159678083e-08
1858,4.942612719105455e-08
1859,2.34239969643113e-08
1860,3.249800428761773e-08
1861,5.046081241744105e-08
1862,5.783022416494532e-08
1863,5.4940830551686304e-08
1864,5.3221480555976086e-08
1865,5.271665770578693e-08
1866,5.54679857600604e-08
1867,3.688136729351754e-08
1868,3.853101659956337e-08
1869,3.711474505507795e-08
1870,7.0528798801206e-08
1871,6.478918379571041e-08
1872,5.019291648977742e-08
1873,4.968383748860106e-08
1874,5.675878611555163e-08
1875,3.661777370211894e-08
1876,4.17175023414984e-08
1877,2.4739264858908427e-08
1878,3.01954443671093e-08
1879,4.459807456669296e-08
1880,5.0059199452334724e-08
1881,5.508281120114589e-08
1882,4.6587697255517924e-08
1883,4.2971503688704615e-08
1884,5.677459569142229e-08
1885,4.254119545521462e-08
