year,ces_DET ans_NOUN,ces_DET champs_NOUN
1800,6.288328968651058e-09,1.3016841187152295e-06
1801,2.3811825844433088e-09,1.2453584734561929e-06
1802,2.2378401354217203e-08,8.749954929498927e-07
1803,7.801356893821776e-09,7.37228215141883e-07
1804,4.943701892301533e-09,1.505357280606745e-06
1805,1.1371510844071508e-08,1.196851499685181e-06
1806,2.0171682990621775e-08,1.247762745570924e-06
1807,5.693910232196231e-09,1.1188533806105738e-06
1808,2.7192887053217873e-08,1.0627887121472668e-06
1809,1.581321384946932e-08,1.050449204953452e-06
1810,4.680253518074551e-09,1.3151511915054925e-06
1811,2.2563691359778204e-08,8.849981263381324e-07
1812,1.0668832928217853e-08,7.281478544562958e-07
1813,1.1502966579257645e-08,8.771012194319638e-07
1814,6.293354282149721e-09,8.936562885253352e-07
1815,3.776112933451259e-08,6.041780762355842e-07
1816,4.6352077731626196e-09,7.207748051740737e-07
1817,1.71256075987003e-08,9.668184004496538e-07
1818,1.1921177378582115e-09,7.534183836810371e-07
1819,1.0351050350188018e-08,8.384350556056575e-07
1820,1.0679833017945839e-08,7.060556379556715e-07
1821,2.1695273910715684e-08,7.258055596537361e-07
1822,5.413832582235045e-08,6.657008668753406e-07
1823,7.510842370272997e-08,7.777674746467511e-07
1824,1.2631669044083083e-08,9.633753199622674e-07
1825,4.402721520690989e-09,8.400392914609256e-07
1826,1.7615968683770689e-09,8.69348037113582e-07
1827,6.452091305675367e-09,7.327732358675121e-07
1828,1.0089531543577834e-08,5.650137518964371e-07
1829,8.57317605795771e-10,6.721369971707247e-07
1830,3.7572609246083744e-08,7.785879336807966e-07
1831,1.5591206103948707e-09,9.02730837415433e-07
1832,2.3000947813045514e-08,9.132729399397022e-07
1833,1.50587169400751e-08,1.159521185734036e-06
1834,1.1201437333241415e-08,9.651905230612101e-07
1835,3.2521278114927554e-08,6.844594793165015e-07
1836,1.6801875613037254e-08,8.367334070058519e-07
1837,1.1132625044041333e-08,8.008532565995097e-07
1838,6.122797135965641e-08,7.978572753586377e-07
1839,3.845311480343838e-08,6.71880774127942e-07
1840,1.5287252685958208e-08,5.828264901808211e-07
1841,1.8619591202195807e-08,7.293743333747216e-07
1842,4.293289501688946e-08,7.050386714446688e-07
1843,5.316220019757623e-09,5.794679482917786e-07
1844,1.152597861597826e-08,6.09230291104268e-07
1845,1.0044410192477926e-08,7.181753289842163e-07
1846,1.3465352610708692e-08,5.942319063478863e-07
1847,1.1325769655456952e-08,6.008051185446561e-07
1848,7.401603796530765e-08,6.87866463733311e-07
1849,9.217356433666168e-09,8.798385973118883e-07
1850,1.0862393651223101e-08,6.761839852487128e-07
1851,1.6768540778144825e-08,6.559079395174194e-07
1852,2.864639925270751e-08,6.093870601464602e-07
1853,1.7915795735845563e-08,6.712451252610663e-07
1854,1.7665259477439577e-08,5.600926176185794e-07
1855,2.0697054736729115e-08,7.572999045635243e-07
1856,1.5013848608802505e-08,5.798451727656584e-07
1857,2.0990488958094744e-08,6.970795052296808e-07
1858,1.6638498356869036e-08,6.782635093571798e-07
1859,1.680417249794175e-08,8.172938006367758e-07
1860,1.1900678331677739e-08,7.012245570869879e-07
1861,1.1789909160064838e-08,7.144684808224611e-07
