year,ses_DET ans_NOUN,ses_DET chants_NOUN
1800,3.0812812790159683e-07,1.2199358345732492e-06
1801,1.9049460320275102e-07,1.1382052360620065e-06
1802,1.991677720525331e-07,1.0450713432419434e-06
1803,2.86699872731333e-07,1.127296124892041e-06
1804,3.534746895184071e-07,1.4237861307719868e-06
1805,2.3595885068061762e-07,1.0973508217659855e-06
1806,2.651135684317296e-07,1.7117114046172333e-06
1807,1.6512339584551228e-07,1.2355784893003374e-06
1808,2.3793776904312836e-07,1.4752141344054337e-06
1809,1.4683698168482806e-07,1.1385514255835005e-06
1810,1.9189039335287816e-07,1.4742798999378692e-06
1811,1.1281845502253418e-07,1.9053783049116646e-06
1812,1.3869482984318893e-07,1.9363931911264842e-06
1813,3.0770434955584847e-07,2.4501318449665632e-06
1814,3.1152103474596515e-07,1.167417252645464e-06
1815,1.9959454156115441e-07,9.575143735673919e-07
1816,1.7382029149359823e-07,8.320197721900513e-07
1817,2.0550728674351149e-07,1.2128043671566502e-06
1818,1.5855166157763279e-07,8.762065100142991e-07
1819,2.5463583597229444e-07,1.0319996347485372e-06
1820,2.2190319004522507e-07,1.355152184245867e-06
1821,2.0610510154117634e-07,1.3105917391342814e-06
1822,2.0452256421776838e-07,1.5439448617371454e-06
1823,3.508353771941586e-07,1.0722714787192444e-06
1824,3.309497262904415e-07,1.5452742214705495e-06
1825,2.985045226555627e-07,1.3049666769404666e-06
1826,1.7704049115607745e-07,1.334409656550406e-06
1827,1.6683263970307394e-07,1.04616053420159e-06
1828,1.72439257539736e-07,1.0933382637579037e-06
1829,1.5431717381719778e-07,1.0879360274884675e-06
1830,1.711641122170704e-07,1.3473955542409044e-06
1831,1.1225668572478753e-07,1.2083185056965817e-06
1832,1.6371262312464552e-07,1.3015830990781296e-06
1833,1.4942881421120546e-07,1.6888930209901787e-06
1834,1.3255033382009174e-07,1.4757893078698459e-06
1835,1.1495893659230205e-07,1.5897610268211793e-06
1836,1.52561029753695e-07,1.4066530464873495e-06
1837,1.342872963938646e-07,1.1925825376124521e-06
1838,1.5338553316368575e-07,1.2340276711597653e-06
1839,1.2864314835603352e-07,1.1137419999585063e-06
1840,9.363442332599448e-08,1.2828552612975663e-06
1841,1.438202890113871e-07,1.6211884901196072e-06
1842,1.0531976091243678e-07,1.2946951173375965e-06
1843,1.0455232551942473e-07,1.3816264594623817e-06
1844,9.056126382134266e-08,1.0955168381343583e-06
1845,6.417262066182872e-08,1.0926086471130247e-06
1846,8.781751636988133e-08,1.079570010276143e-06
1847,8.898818659730523e-08,8.968930647057505e-07
1848,8.769291981458593e-08,8.624477594310065e-07
1849,1.03066805534624e-07,9.426841707238509e-07
1850,8.622024783022653e-08,9.151566482401563e-07
1851,8.126293105092941e-08,9.28719201986894e-07
1852,5.3386471465799445e-08,1.201846675513707e-06
