year,ayez_VERB assez_ADV,ayez_VERB chassé_VERB
1800,2.829748035892976e-08,0.0
1801,9.524730160137551e-08,0.0
1802,4.0281122437590966e-08,2.2378401354217203e-09
1803,2.9255087241608635e-08,1.950339223455444e-09
1804,9.88740351814954e-08,2.4718509461507665e-09
1805,5.401467717547348e-08,2.55858996212055e-08
1806,6.916005901302924e-08,2.881669125542885e-09
1807,3.131650672116848e-08,0.0
1808,7.478044494746428e-08,0.0
1809,4.292157917973327e-08,0.0
1810,1.2402671734079718e-07,7.020380277111826e-09
1811,3.008492077682945e-08,0.0
1812,6.934741625386209e-08,0.0
1813,6.901780125190271e-08,8.627225156487839e-09
1814,5.349351184236184e-08,0.0
1815,2.966945888971395e-08,0.0
1816,1.8540831092650478e-08,0.0
1817,6.538868468908277e-08,9.341240669868967e-09
1818,5.48374146092101e-08,0.0
1819,3.829888406414739e-08,0.0
1820,4.746592452420373e-08,1.1866481131050932e-09
1821,6.015507958423427e-08,2.9584463767662328e-09
1822,6.416394171537831e-08,0.0
1823,3.755421185136498e-08,2.9648061783404955e-09
1824,5.4737231636181605e-08,8.421112696055388e-10
1825,3.962449346417429e-08,0.0
1826,4.844391454650321e-08,0.0
1827,3.9634275195155055e-08,0.0
1828,3.668920545152332e-08,0.0
1829,3.0863434308248117e-08,0.0
1830,3.339787335576716e-08,8.349468672008697e-09
1831,2.0268567268999504e-08,3.1182412207897414e-09
1832,2.5706941575442954e-08,1.3529969367098715e-09
1833,4.517614948795767e-08,8.108539617524002e-09
1834,3.547121707470069e-08,1.8669061851994684e-09
1835,4.0084366048631637e-08,7.563087933704082e-10
1836,2.8899225401612938e-08,6.720750067579218e-10
1837,3.131051051763478e-08,6.262101948095733e-09
1838,4.1029050823482294e-08,2.5248647617104325e-09
1839,2.586845804231075e-08,1.3982950353153e-09
1840,3.3759350426265655e-08,8.280594876453051e-09
1841,2.5682194149112547e-08,6.420548537278137e-10
1842,6.037438682326979e-08,0.0
1843,5.493427224223524e-08,2.953455480181333e-09
1844,3.84199286829201e-08,1.6465684371524958e-09
1845,3.515543700594037e-08,4.464182357111213e-09
1846,2.1661654248106288e-08,1.7563503984519002e-09
1847,2.8584086209093584e-08,1.0786447290911383e-09
1848,3.861706282526356e-08,3.218088684420195e-09
1849,3.184177610471295e-08,8.379414939696517e-10
1850,1.8330288398260564e-08,2.0366988096043315e-09
1851,2.0638204478728994e-08,6.449438760824933e-10
1852,4.948014353800545e-08,1.3021090872200602e-09
1853,4.837264722112877e-08,8.360704129017904e-09
1854,3.273268522896444e-08,1.0391328686409906e-08
1855,3.6087172361476405e-08,5.306937111981824e-10
1856,2.5885946719483854e-08,4.141751386299575e-09
1857,3.2706109154290175e-08,2.9289055625270066e-09
1858,4.306434919776336e-08,1.468102750479261e-09
1859,3.1571474323754956e-08,5.092173349652285e-10
1860,4.3940966421018857e-08,1.373155145145688e-09
1861,2.2165029811560544e-08,4.715963730639317e-10
1862,4.563166244864192e-08,9.035972525772706e-10
1863,4.994620922404991e-08,4.994620828036034e-10
1864,3.78783506782554e-08,2.8768367688059016e-09
1865,4.612707549256356e-08,4.706844358715045e-10
1866,2.3354941536268825e-08,2.432806400776144e-09
1867,2.329349513274792e-08,9.7056229719783e-10
