year,diverses_ADJ eaux_NOUN,diverses_ADJ chaux_NOUN
1800,2.5153315874604232e-08,3.144164484325529e-09
1801,3.095537337571841e-08,9.524730337773235e-09
1802,4.923248297927785e-08,4.475680270843441e-09
1803,3.90067853572873e-08,0.0
1804,9.887403784603066e-09,0.0
1805,1.9900143755080535e-08,0.0
1806,4.3225035994964855e-08,0.0
1807,2.2775640928784924e-08,3.701041606518629e-08
1808,6.571614363792833e-08,2.945896149242344e-08
1809,1.5813214071513926e-08,0.0
1810,1.6380887757350138e-08,2.3401267590372754e-09
1811,6.267691787797958e-08,5.0141535368197765e-09
1812,4.5342538612658245e-08,2.1337665856435706e-08
1813,5.7514832008109806e-08,2.300593315851529e-08
1814,1.4160046646338742e-07,0.0
1815,5.933891955578474e-08,0.0
1816,4.8669683394564345e-08,0.0
1817,3.580808893843823e-08,0.0
1818,2.8610825708597076e-08,7.510341504257667e-08
1819,4.7614829412623294e-08,1.8631890696951814e-08
1820,7.71321246872958e-08,0.0
1821,2.859831660373402e-08,0.0
1822,1.9048670196752937e-08,6.015369535816717e-09
1823,1.4824030003524058e-08,8.894418535021487e-09
1824,6.315834788495067e-08,9.263223965660927e-09
1825,6.251864625994585e-08,3.434122675116669e-08
1826,2.818555067118922e-08,3.5231937367541377e-09
1827,5.622536392024813e-08,3.6869092223668076e-09
1828,8.255071293206129e-08,1.155709981048858e-07
1829,3.086343414171466e-08,1.8860987438529264e-08
1830,6.470838087579978e-08,9.39315203396518e-09
1831,5.924658252887127e-08,0.0
1832,9.335678896604804e-08,1.3529969367098715e-09
1833,5.560141858040879e-08,1.3900354645102198e-08
1834,7.28093425550469e-08,2.8003592777992026e-09
1835,7.941242330389287e-08,1.1344631900556124e-08
1836,3.024337402735e-08,2.016224964762614e-09
1837,2.365682938432201e-08,2.7831563720326358e-09
1838,3.913540269628868e-08,1.8936485712828244e-09
1839,2.6567605004856887e-08,1.1885507689157748e-08
1840,4.267691267045848e-08,2.5478754661634184e-09
1841,5.714288064950779e-08,6.420548537278137e-10
1842,2.6162233268678392e-08,1.0062397137744483e-08
1843,4.902736350231862e-08,1.1813822142769936e-09
1844,3.0735943568060975e-08,3.2931368743049916e-09
1845,4.631589112236156e-08,0.0
1846,2.9272506196775794e-08,4.0981511517657054e-09
1847,4.853901458545806e-08,2.1572894581822766e-09
1848,5.792559676365272e-08,2.413566457803995e-09
1849,7.206296714912241e-08,2.513824481908955e-09
1850,3.86972773824823e-08,2.0366988096043315e-09
1851,9.41618054639548e-08,1.2898877521649865e-09
1852,7.356916142953196e-08,1.0416872697760482e-08
1853,8.300985476772382e-08,0.0
1854,5.975014244485877e-08,4.676098175337984e-09
1855,6.10297732350773e-08,5.306937111981824e-10
1856,3.7793480345271746e-08,1.0354378687793542e-08
1857,6.980557909486151e-08,2.9289055625270066e-09
1858,8.319249067412215e-08,2.936205500958522e-09
1859,9.06406825151862e-08,2.036869339860914e-09
1860,5.9045670797175376e-08,4.57718396518203e-09
1861,5.847795137015055e-08,6.13075279431996e-09
1862,7.996835915680123e-08,4.066187830886747e-09
1863,4.145535142940915e-08,7.491931519609807e-09
1864,8.966141384902926e-08,5.274200631788517e-09
1865,5.41287112909572e-08,9.41368871743009e-10
1866,6.37395296543275e-08,0.0
1867,3.2513838732484146e-08,0.0
1868,6.718228529045689e-08,0.0
1869,6.250904693860804e-08,1.953407657850903e-09
1870,7.51160400547235e-08,4.587239033071455e-09
1871,4.0360472297606975e-08,2.1242354542039266e-09
1872,1.0461896815527894e-07,7.256807155187062e-09
1873,4.968383748860106e-08,0.0
1874,7.348769270887345e-08,5.974609140757536e-10
1875,4.062284375550007e-08,0.0
1876,4.413590914964516e-08,2.418405919968336e-09
1877,4.205674775104029e-08,3.710889595609501e-09
1878,6.1598702083554e-08,0.0
1879,4.154341226580982e-08,0.0
1880,2.5671385017744797e-08,1.2835692508872398e-09
1881,5.996356577941953e-08,9.064259565150223e-09
1882,7.121261802467416e-08,1.9966155395678697e-09
1883,5.3714381609282214e-08,2.5277355764075082e-09
1884,7.922036093788165e-08,6.601696966868076e-10
1885,1.1795513055190554e-07,1.2891271383708158e-09
1886,1.1164492352833122e-07,2.5813855497602844e-09
1887,8.81404808028563e-08,0.0
1888,6.086990111953128e-08,3.1703073499755874e-09
1889,5.012109305368995e-08,0.0
1890,7.603088292285065e-08,4.5880703680722945e-09
1891,5.673055980537356e-08,6.374220040683554e-10
1892,4.325273650351846e-08,6.268512375839919e-10
