year,mieux_ADV eu_VERB
1800,3.144164484325529e-09
1801,1.1905912700171939e-08
1802,1.5664880947952042e-08
1803,1.5602713787643552e-08
1804,1.9774807569206132e-08
1805,1.9900143755080535e-08
1806,1.152667650217154e-08
1807,4.27043254092041e-08
1808,1.3596443970698147e-08
1809,1.129515236897305e-08
1810,1.1700633351097167e-08
1811,2.0056614147279106e-08
1812,5.3344164641089264e-09
1813,1.7254450312975678e-08
1814,2.2026739543434815e-08
1815,1.0788894222457657e-08
1816,4.6352077731626196e-09
1817,1.2454987263765815e-08
1818,1.9073883805731384e-08
1819,2.2772310259711048e-08
1820,8.306536791735653e-09
1821,8.875339574387908e-09
1822,8.02049271442229e-09
1823,8.894418535021487e-09
1824,5.894778887238772e-09
1825,1.0566531649658373e-08
1826,1.0569580766173203e-08
1827,7.373818444733615e-09
1828,1.0089530988466322e-08
1829,6.001223074036943e-09
1830,1.7742621594152297e-08
1831,3.897801548191637e-08
1832,2.976593194148336e-08
1833,1.3900354645102198e-08
1834,9.334531370086552e-09
1835,1.4369867074037757e-08
1836,1.9490174807401672e-08
1837,1.3219993100221927e-08
1838,1.0730675015224733e-08
1839,1.11863602825224e-08
1840,9.554533164646273e-09
1841,7.704658244733764e-09
1842,1.1404051036834062e-08
1843,1.2404512972352677e-08
1844,1.866110821424627e-08
1845,8.928364714222425e-09
1846,1.1709002656346001e-08
1847,1.833696039454935e-08
1848,7.24069959545659e-09
1849,5.865590679832167e-09
1850,1.5614691761811628e-08
1851,1.096404567135778e-08
1852,9.765818376195057e-09
1853,1.2541057081705276e-08
1854,7.79349651480743e-09
1855,1.4328730202350926e-08
1856,1.0354378687793542e-08
1857,1.5620829074691756e-08
1858,1.0276719919488642e-08
1859,1.8331824946926645e-08
1860,1.373155189554609e-08
1861,1.650587222457034e-08
1862,1.400575744270327e-08
1863,1.3485475847119233e-08
1864,1.0068928801842958e-08
1865,1.1296426905005319e-08
1866,1.1677471434268227e-08
1867,1.067618526917613e-08
1868,8.89177353968762e-09
1869,8.30198221279943e-09
1870,9.17447806614291e-09
1871,1.1683295220166201e-08
1872,1.3304146229131675e-08
1873,1.2570609442263958e-08
1874,8.364453130127458e-09
1875,1.0298748520654044e-08
1876,1.5115036333668286e-08
1877,7.421779191219002e-09
1878,9.662541877730746e-09
1879,5.498392852132383e-09
1880,1.0910338410496934e-08
1881,6.9725074602899895e-09
1882,1.1314154946262533e-08
1883,1.8326083761621703e-08
1884,9.902545450302114e-09
1885,7.7347630522695e-09
1886,9.680196200179125e-09
1887,1.828098916689669e-08
1888,1.268122939990235e-08
1889,9.397704836544563e-09
1890,1.1797895993481688e-08
1891,1.211101796627645e-08
1892,1.1283322720601063e-08
1893,6.15841644346915e-09
1894,9.452309157609307e-09
1895,4.814891596538473e-09
1896,1.533227589334274e-08
1897,8.157399200570126e-09
1898,1.7540900287826844e-08
1899,7.738609753005221e-09
1900,2.0245106924221545e-08
1901,1.4530721514915967e-08
1902,1.0311596021495006e-08
1903,7.020286574288548e-09
1904,1.6123875568041512e-08
1905,8.773290538499623e-09
1906,9.773950537805831e-09
1907,1.337139288182243e-08
1908,8.349361202419914e-09
1909,7.151278680339601e-09
1910,9.085056262847502e-09
1911,6.916486494645824e-09
1912,1.2502610502451716e-08
1913,9.015082902408267e-09
1914,1.2054139020278853e-08
1915,1.767114277129167e-08
1916,9.888715624128963e-09
1917,1.5352993543160665e-08
1918,8.040463406189247e-09
1919,2.762354567309444e-09
1920,9.843901693784574e-09
1921,7.572747762196741e-09
1922,3.6889677978990676e-09
1923,3.1847844361720945e-09
1924,6.445812328337297e-09
1925,3.299453377181294e-09
1926,1.2260752413340015e-08
1927,3.3447675740205796e-09
1928,4.570416489713125e-09
1929,7.798284684668033e-09
1930,5.2518016602221e-09
1931,1.3686427990933225e-08
1932,7.6716757391182e-09
1933,3.4411986593596566e-09
1934,7.188948103475923e-09
1935,1.196828414151696e-09
1936,1.2124714565686645e-09
1937,8.813782592653752e-09
1938,1.2965214457594243e-09
1939,9.176430282309411e-09
1940,2.5357829169792012e-09
1941,2.9515025978810172e-09
1942,3.034211815133858e-08
1943,0.0
1944,0.0
1945,4.357008087652048e-09
1946,4.1763312808029696e-09
1947,4.7683483828109274e-09
1948,6.523132700664291e-09
1949,4.908504269707237e-09
1950,2.1270722960764488e-09
1951,0.0
1952,5.272402070488624e-09
1953,0.0
1954,1.9545072227344917e-09
1955,3.754243138587299e-09
1956,5.232684952005684e-09
1957,3.534015080575159e-09
1958,7.445019267748876e-09
1959,3.100299128533379e-09
1960,3.460416619915918e-09
