year,ces_DET eaux_NOUN,ces_DET chauds_ADJ
1800,5.684649579507095e-06,0.0
1801,5.643402516852802e-06,4.7623651688866175e-09
1802,6.4516930251556914e-06,8.951360541686881e-09
1803,6.761826284673589e-06,0.0
1804,5.571551923821971e-06,0.0
1805,5.142765701293683e-06,0.0
1806,5.339733093023824e-06,0.0
1807,6.146575913135166e-06,0.0
1808,5.429513464605407e-06,0.0
1809,5.292908269893815e-06,0.0
1810,5.354210145469551e-06,4.680253518074551e-09
1811,7.263001293722482e-06,0.0
1812,6.075900216728769e-06,0.0
1813,5.115944532008143e-06,0.0
1814,6.104553847308125e-06,1.2586708564299443e-08
1815,9.742371503307368e-06,1.3486118000116676e-08
1816,5.126539804223285e-06,6.952811659743929e-09
1817,4.107031941202877e-06,1.556873407970727e-09
1818,4.881721963556629e-06,0.0
1819,4.499601629959216e-06,5.175525008560555e-09
1820,3.7462481827787997e-06,2.3732962262101864e-09
1821,3.828229665714389e-06,9.86148829262845e-10
1822,5.578252512350446e-06,0.0
1823,3.3670313541733776e-06,0.0
1824,3.2926551227774326e-06,8.421112696055388e-10
1825,3.863828311523321e-06,0.0
1826,5.975336648589291e-06,6.1655889282974385e-09
1827,4.558863054171525e-06,3.6869092223668076e-09
1828,3.9239105262822704e-06,1.8344602503717056e-09
1829,4.626085683412384e-06,3.429270423183084e-09
1830,4.214394380142039e-06,1.6698937344017395e-08
1831,5.174721195544407e-06,0.0
1832,3.6436207437873236e-06,5.411987746839486e-09
1833,6.72777133559066e-06,4.6334514003376626e-09
1834,3.985844699627705e-06,2.240287422239362e-08
1835,4.484911244162504e-06,5.294161553592858e-09
1836,3.472611638244416e-06,4.704525213838906e-09
1837,4.68266074449275e-06,2.0873671680021744e-09
1838,4.6318646127474494e-06,8.837027110075724e-09
1839,3.5265000803974544e-06,1.3982950353153e-09
1840,4.054306941725372e-06,3.821813088222825e-09
1841,3.982024338711199e-06,7.704658244733764e-09
1842,3.382978036370332e-06,1.2074877098200432e-08
1843,3.3887948802657775e-06,7.678984559333912e-09
1844,3.5006043503926776e-06,5.488561161115513e-09
1845,3.841986853103663e-06,9.486387508861327e-09
1846,4.366872587979742e-06,1.0538101946622191e-08
1847,3.4074387258442584e-06,5.3932236454556914e-09
1848,4.2366138472971215e-06,9.65426583121598e-09
1849,4.424331052632624e-06,7.54147322368226e-09
1850,3.560828531590232e-06,2.7155984128057753e-09
1851,4.572652017031942e-06,2.579775504329973e-09
1852,4.258547846802685e-06,1.0416872697760482e-08
1853,4.6945356189098675e-06,8.957897534855874e-09
1854,4.657913279970671e-06,9.871762074453727e-09
1855,4.0794425331114326e-06,2.4411910715116392e-08
1856,4.2546141116872604e-06,1.1389816201301528e-08
1857,4.6891776719348854e-06,1.3180074809326925e-08
1858,3.8738339753763285e-06,1.1744822003834088e-08
1859,4.827889483749459e-06,2.3933214521321133e-08
1860,4.979060690857295e-06,8.696649789197153e-09
1861,4.061859499415732e-06,2.357981809808507e-09
1862,4.4687403146781435e-06,8.13237543972889e-09
1863,4.13854286307469e-06,9.489779295712708e-09
1864,4.623076790721825e-06,1.2945765348604255e-08
1865,4.041296563173091e-06,5.177528628053096e-09
1866,4.033106449696788e-06,5.838735717134114e-09
1867,3.77936947870694e-06,1.1161466417775046e-08
1868,4.232484059230046e-06,2.9639244392143382e-09
1869,3.72856680996847e-06,1.1720446280172325e-08
1870,4.470837893677526e-06,6.307453670473251e-09
1871,3.6621818253479432e-06,1.6993883633631413e-08
1872,3.91928051612922e-06,1.4513614088329518e-08
1873,4.588870922361821e-06,1.0176207876355647e-08
1874,4.160717878676223e-06,8.364453130127458e-09
1875,3.6360304989102588e-06,1.830888685105947e-08
1876,4.221932044856658e-06,3.627608879952504e-09
1877,3.7238776258163853e-06,2.10283740420536e-08
1878,3.415708647480642e-06,7.2469061862534545e-09
1879,3.5617366052065336e-06,7.942122848270117e-09
1880,3.207639565516729e-06,1.0268554229142524e-08
1881,3.521116354932019e-06,9.064259565150223e-09
1882,3.758961440780695e-06,1.0648616211028639e-08
1883,3.7631662621606665e-06,3.159669414998234e-09
