year,leurs_DET airs_NOUN,leurs_DET chères_ADJ
1800,1.886498623981936e-07,6.288328968651058e-09
1801,1.381085894536227e-07,1.1905912700171939e-08
1802,7.832440473976021e-08,6.713520406265161e-09
1803,1.8918290400904425e-07,1.950339223455444e-09
1804,1.9033252973699177e-07,1.2359254952798437e-08
1805,1.421438877713399e-07,0.0
1806,2.564685619432794e-07,5.76333825108577e-09
1807,1.5942949005420815e-07,1.1387820464392462e-08
1808,1.4049658503267892e-07,2.2660739951163578e-09
1809,1.0391540516963005e-07,9.036122072814123e-09
1810,1.0296557917399696e-07,9.360507036149102e-09
1811,1.0780430415024966e-07,5.0141537144554604e-08
1812,2.667208214290895e-07,1.600324850414836e-08
1813,2.0705339420779012e-07,3.163315653864629e-08
1814,1.5104050810066383e-07,0.0
1815,1.537417375629957e-07,2.1577788444915313e-08
1816,1.0429217844887262e-07,4.6352077731626196e-09
1817,1.588010940523077e-07,3.7364962679475866e-08
1818,5.364529886975333e-08,1.7881765401739358e-08
1819,8.591371281063687e-08,8.280840013696888e-09
1820,2.5038275097699625e-07,8.306536791735653e-09
1821,1.4200543052567127e-07,3.155676253641104e-08
1822,8.72228582693424e-08,1.9048670196752937e-08
1823,1.353928098524193e-07,1.680056804787e-08
1824,1.5494847005470547e-07,2.4421225930382207e-08
1825,1.6025906202088436e-07,4.226612659863349e-08
1826,1.5149733556540923e-07,2.6423952803611428e-08
1827,9.770309539192112e-08,5.530363722527909e-09
1828,9.997808092521154e-08,2.659967357487858e-08
1829,1.1830983304150777e-07,1.5431716349212365e-08
1830,1.7012042263786498e-07,5.218417697960831e-09
1831,9.510636012066698e-08,2.8064171431196883e-08
1832,1.5694764599061273e-07,3.2471927369215337e-08
1833,2.2588075054841283e-07,1.1583628278799551e-08
1834,1.7455573164681937e-07,1.213489042584115e-08
1835,1.406734426723233e-07,1.8151411040889798e-08
1836,1.0148332352244438e-07,8.736974699274924e-09
1837,1.0158520957759265e-07,1.3915782304252389e-08
1838,9.405121303984743e-08,3.029837714052519e-08
1839,9.088917574118227e-08,1.677954131196202e-08
1840,8.981260979368244e-08,1.7198159341091923e-08
1841,9.502411835171642e-08,2.43980835534785e-08
1842,1.09344717280635e-07,2.750388716776797e-08
1843,9.74640315121178e-08,1.9492807368237663e-08
1844,1.1416207801318023e-07,9.330554107123135e-09
1845,4.185171054160719e-08,2.0088821273134272e-08
1846,9.133021894314197e-08,2.9272506196775794e-08
1847,6.417936226910115e-08,3.020205241455187e-08
1848,7.964769821455775e-08,2.494018680465615e-08
1849,8.128032291665477e-08,2.011059585527164e-08
