year,nos_DET aises_NOUN,nos_DET chaises_NOUN
1800,3.144164395507687e-08,7.86041156608519e-08
1801,1.904946067554647e-08,5.714838380299625e-08
1802,3.5805442166747525e-08,3.1329761895904085e-08
1803,1.5602713787643552e-08,7.216254971353919e-08
1804,3.460591457837836e-08,6.921182915675672e-08
1805,5.685755422035754e-09,6.538618890772341e-08
1806,2.305335300434308e-08,9.797674849210125e-08
1807,2.8469551160981155e-09,0.0
1808,6.798221985349073e-09,2.2660739951163578e-09
1809,3.840352036377226e-08,1.581321384946932e-08
1810,3.2761775514700275e-08,2.3401267590372754e-09
1811,1.7549536934780008e-08,4.011322829455821e-08
1812,4.800974906515876e-08,5.867858021701977e-08
1813,1.1502966579257645e-08,2.0130190847567064e-08
1814,6.293354282149721e-09,9.440030979135372e-09
1815,0.0,1.0788894222457657e-08
1816,1.8540831092650478e-08,8.806894413737609e-08
1817,2.9580593974287694e-08,4.670620334934483e-09
1818,3.099506074022429e-08,5.0068944545955674e-08
1819,1.2421260464634543e-08,3.2088255608186955e-08
1820,1.898636980968149e-08,2.610625848831205e-08
1821,3.944595405869222e-08,4.043210211079895e-08
1822,6.616906489398389e-08,3.0076847679083585e-08
1823,3.755420863171821e-08,2.075364236020505e-08
1824,2.0210670470532932e-08,6.736890156844311e-08
1825,3.0819052199149155e-08,6.60408261410339e-08
1826,1.5854372037438225e-08,1.9377566218281572e-08
1827,2.8573547083965423e-08,3.871254605769536e-08
1828,1.7427371545863934e-08,1.1006761724274838e-08
1829,3.772197487705853e-08,3.086343269842473e-08
1830,2.400472176589119e-08,3.757260813586072e-08
1831,5.76874619184764e-08,1.5591206548037917e-08
1832,4.464889968858188e-08,2.976593194148336e-08
1833,3.01174338801502e-08,7.29768601104297e-08
1834,2.5203233278148218e-08,6.254136053485126e-08
1835,4.310960122211327e-08,4.9160071569076536e-08
1836,2.6210924986003192e-08,5.107770206791429e-08
1837,2.5744196108234974e-08,3.2006298056330706e-08
1838,3.408567295082321e-08,6.059675472513959e-08
1839,3.216078425793967e-08,5.942753933396716e-08
1840,1.9746034141121527e-08,2.8026629905752998e-08
1841,2.5682194149112547e-08,4.3017674755674307e-08
1842,4.293289634915709e-08,1.8112315203211438e-08
1843,2.1855571574747046e-08,1.5357969118667825e-08
1844,2.7442807137845193e-08,1.811225303072206e-08
1845,3.738752596404993e-08,1.5624637417221976e-08
1846,3.5127008857216424e-08,2.6345256642912318e-08
1847,1.5101026207275936e-08,2.1572894581822766e-08
1848,1.609044275596716e-08,3.137636639394259e-08
1849,1.256912263158938e-08,5.111443002192573e-08
