year,deux_DET oies_NOUN,deux_DET choix_NOUN
1800,3.458580932758082e-08,6.288328968651058e-09
1801,5.23860170797974e-08,0.0
1802,1.1860552717735118e-07,2.2378401354217203e-09
1803,9.751696339321825e-09,0.0
1804,7.4155528384522995e-09,4.943701892301533e-09
1805,5.970043304159844e-08,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,8.540865792383556e-09
1808,2.039466551195801e-08,0.0
1809,4.518061036407062e-09,6.7770917766551975e-09
1810,2.3401266702194334e-08,4.680253518074551e-09
1811,0.0,0.0
1812,7.468182872116813e-08,1.0668832928217853e-08
1813,2.8757416448144113e-09,0.0
1814,9.440031423224582e-09,0.0
1815,2.697223555614414e-09,2.697223555614414e-09
1816,1.622322720606917e-08,0.0
1817,7.784366928831332e-09,4.670620334934483e-09
1818,9.536941902865692e-09,0.0
1819,1.6561680027393777e-08,1.035105001712111e-09
1820,3.322614805512103e-08,1.779972080839798e-08
1821,1.577838126820552e-08,8.875339574387908e-09
1822,1.604098542884458e-08,8.02049271442229e-09
1823,3.95307486744656e-09,1.087095569118901e-08
1824,1.2631669044083083e-08,1.9368560089105813e-08
1825,1.1447076175841175e-08,1.2327619813845558e-08
1826,1.8496766784892316e-08,7.0463874735082754e-09
1827,9.217273166939322e-09,8.295545583791863e-09
1828,0.0,1.1923991571904935e-08
1829,2.914879759785549e-08,2.571952872898464e-09
1830,1.982998831806526e-08,1.9829987651931447e-08
1831,6.236482441579483e-09,6.236482441579483e-09
1832,2.1647950210201827e-08,5.411987746839486e-09
1833,2.548398292390175e-08,1.9692168784501973e-08
1834,1.7735608537350345e-08,1.5868702352150876e-08
1835,2.2689263801112247e-09,7.563087933704082e-09
1836,4.099657546774438e-08,4.704525213838906e-09
1837,1.5307360268224102e-08,4.174734336004349e-09
1838,2.651107999795954e-08,1.8936485712828244e-09
1839,1.2584655206815398e-08,1.188550780018005e-08
1840,1.2102408297742784e-08,1.6561189752906103e-08
1841,3.980740226339208e-08,5.1364388298225094e-09
