year,certaines_DET eaux_NOUN,certaines_DET chaux_NOUN
1800,2.6096565797217863e-07,1.2576657937302116e-08
1801,2.857419023616359e-07,4.7623651688866175e-09
1802,1.7902721083373763e-07,1.7902721083373763e-08
1803,1.6187815887747092e-07,0.0
1804,1.1864884186252311e-07,1.2359254952798437e-08
1805,9.950071655495663e-08,0.0
1806,1.3255677622225903e-07,2.881669125542885e-09
1807,2.135216305987342e-07,2.8469551160981155e-09
1808,1.2236799307174806e-07,0.0
1809,1.2424668227595248e-07,0.0
1810,1.0998595856293036e-07,1.6380887757350138e-08
1811,1.4791753022436183e-07,0.0
1812,1.920389998133487e-07,0.0
1813,2.6744396919298197e-07,2.300593315851529e-08
1814,2.0768068509369186e-07,0.0
1815,1.780167480092132e-07,0.0
1816,1.5991466284503986e-07,0.0
1817,2.3041726326944456e-07,1.5568734412774177e-08
1818,1.1086695161921511e-07,2.6226590676969863e-08
1819,1.759678465163006e-07,1.035105001712111e-09
1820,1.1747816053286897e-07,1.1866481131050932e-08
1821,8.678109564286274e-08,1.2819934447350079e-08
1822,1.3434325296657335e-07,1.1028177482330648e-08
1823,1.7788837070042973e-07,3.9530747564242574e-09
1824,1.2210612965191103e-07,8.421112696055388e-10
1825,1.9988356392275364e-07,9.68598712347557e-09
1826,2.0258363786496147e-07,4.403992281964975e-09
1827,2.1291900215159032e-07,1.8434546111834038e-09
1828,1.5776357509267314e-07,8.255071071161524e-09
1829,1.757501086885327e-07,6.858540846366168e-09
1830,1.9412514973282669e-07,0.0
1831,3.3677005184529207e-07,3.1182412207897414e-09
1832,1.461236678323985e-07,0.0
1833,2.4093947814662897e-07,1.1583628500844156e-09
1834,1.7455572631774885e-07,1.213489042584115e-08
1835,2.979856574825135e-07,6.050470346963266e-09
1836,1.6936289704005958e-07,1.9490174807401672e-08
1837,2.6300827649095027e-07,6.957890930081589e-10
1838,1.7169080979151374e-07,6.312161904276081e-10
1839,2.2302805291474215e-07,2.1673573158409454e-08
1840,1.9236459269933448e-07,9.554533164646273e-09
1841,1.7849124311908326e-07,1.0272877659645019e-08
1842,1.8179398342255126e-07,1.7441490030023488e-08
1843,2.3509505986396562e-07,3.5441467538532834e-09
1844,1.5916827234008224e-07,2.195424508855126e-09
1845,1.8582159455604597e-07,7.812318791877715e-09
1846,1.6392603363613034e-07,2.3418005312692003e-09
1847,1.8714486227366933e-07,7.011190739092399e-09
