year,divers_DET arts_NOUN,divers_DET chars_NOUN
1800,1.8864987794131594e-08,0.0
1801,2.1430643037945174e-08,0.0
1802,7.384872446891677e-08,0.0
1803,3.120542824142092e-08,1.950339223455444e-09
1804,4.2021465418429216e-08,0.0
1805,1.9900143755080535e-08,0.0
1806,1.1526676235718014e-07,0.0
1807,2.562259560079383e-08,0.0
1808,5.211970233176544e-08,0.0
1809,1.581321384946932e-08,0.0
1810,2.574139479349924e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,3.7340914360584065e-08,0.0
1813,6.326631307729258e-08,0.0
1814,4.090680150170556e-08,0.0
1815,5.933891955578474e-08,0.0
1816,2.3176038865813098e-08,0.0
1817,3.7364962679475866e-08,0.0
1818,1.5497530370112145e-08,0.0
1819,4.5544620519422097e-08,0.0
1820,2.966620371580575e-08,0.0
1821,3.35290586406245e-08,0.0
1822,5.1130641054442094e-08,0.0
1823,4.5460359476834356e-08,0.0
1824,5.642145417539268e-08,0.0
1825,4.3146670236637874e-08,0.0
1826,4.1397527184017235e-08,8.807984341885344e-10
1827,4.424290978022327e-08,0.0
1828,3.9440893773168284e-08,0.0
1829,4.543783305166471e-08,0.0
1830,3.026682415807613e-08,0.0
1831,4.8332740476553226e-08,0.0
1832,3.5177919244233635e-08,0.0
1833,2.548398292390175e-08,0.0
1834,4.0138484536100805e-08,0.0
1835,3.100866052818674e-08,0.0
1836,5.511014933290426e-08,0.0
1837,3.409366655660051e-08,0.0
1838,4.102905393210676e-08,1.199310784016916e-08
1839,2.586845759822154e-08,0.0
1840,5.796416857606346e-08,0.0
1841,3.531301828729738e-08,0.0
1842,3.4212153110502186e-08,2.683306021822318e-09
1843,7.974330173965427e-08,0.0
1844,1.0867351041277118e-07,0.0
1845,4.631589273218495e-08,0.0
1846,4.039605983052752e-08,0.0
1847,6.795461615638487e-08,0.0
1848,6.194820656446609e-08,0.0
1849,5.446619866233959e-08,0.0
1850,2.9192683825840504e-08,0.0
1851,3.224719336003545e-08,0.0
1852,1.1067927374597275e-07,0.0
1853,2.149895550473957e-08,0.0
1854,4.6760979977023e-08,5.195664454227256e-10
1855,2.812676669350367e-08,5.306937111981824e-10
1856,2.743910232361202e-08,2.5885946719483854e-09
1857,6.68766730882453e-08,0.0
1858,7.095829945846788e-08,0.0
1859,3.8700516569178944e-08,5.092173349652285e-10
1860,4.806043046867714e-08,0.0
1861,4.291526894961706e-08,0.0
1862,4.608346060308577e-08,0.0
1863,6.04349139621263e-08,0.0
1864,3.9316770950037494e-08,9.589455896019672e-10
1865,4.000817810378976e-08,0.0
1866,3.892490352264133e-08,0.0
1867,4.221945992810561e-08,0.0
1868,3.556709415875048e-08,0.0
1869,2.197583626184496e-08,0.0
1870,3.096386436141074e-08,1.1468097582678638e-09
1871,3.823623728749226e-08,0.0
1872,4.7169248063028135e-08,0.0
1873,3.23244258026989e-08,0.0
1874,2.4495896866483235e-08,0.0
1875,3.432916173551348e-08,0.0
1876,4.5949711591219966e-08,6.04601479992084e-10
1877,3.277952487223956e-08,0.0
1878,2.1740719446938783e-08,1.2078177347163432e-09
1879,1.9549840635235682e-08,0.0
1880,1.6044615636090498e-08,3.8507077526617195e-09
1881,2.8587281875047665e-08,6.972507571312292e-10
1882,2.3959387362992857e-08,0.0
1883,3.981183560597401e-08,6.319338941018771e-10
1884,1.9144920315739e-08,0.0
1885,1.353583467533781e-08,6.445635691854079e-10
1886,3.033127882190456e-08,0.0
1887,1.3057849024278312e-08,0.0
1888,1.9021843655764314e-08,0.0
1889,1.566284169030041e-08,0.0
1890,9.176140736144589e-09,0.0
1891,2.039750413018737e-08,0.0
1892,1.9432388143059143e-08,0.0
1893,1.2932674486876294e-08,1.2316833108982905e-09
1894,1.1342770278588432e-08,0.0
1895,2.1065151400989635e-08,0.0
1896,5.897029087265082e-09,0.0
1897,2.0976169134989675e-08,0.0
1898,1.4711722506888236e-08,5.6583548957434e-10
1899,1.2713430308508578e-08,0.0
1900,2.3878843680158468e-08,0.0
1901,1.5648469187112823e-08,0.0
1902,1.6694964355412623e-08,0.0
1903,1.5120616536634657e-08,5.400220270956879e-10
1904,1.7198801494089366e-08,0.0
1905,9.28936660926638e-09,0.0
1906,9.773950537805831e-09,0.0
1907,1.0285686413702422e-08,0.0
1908,1.8663278922304016e-08,0.0
1909,1.5952851484257735e-08,0.0
1910,6.947395880807505e-09,0.0
1911,1.5429085564733214e-08,0.0
1912,1.3023552902780011e-08,0.0
1913,1.96210621083992e-08,5.30298971401777e-10
1914,1.339348720819089e-08,0.0
1915,1.1780761921542648e-09,0.0
1916,8.789969418998567e-09,0.0
1917,3.289927441585405e-09,0.0
1918,1.6080926812378493e-08,0.0
1919,1.3811772170413406e-08,0.0
1920,2.5745588771997063e-08,7.572231730534895e-10
1921,3.786373714564917e-09,1.5145494858259667e-09
1922,2.21338064543275e-09,3.6889677978990676e-09
1923,1.0615948120573648e-08,0.0
1924,1.2891624656674594e-08,0.0
1925,2.1996355625830688e-08,1.0998177923937646e-09
1926,8.916910765321973e-09,0.0
1927,1.0034302277972529e-08,0.0
1928,1.1426041446327417e-08,0.0
1929,3.342121912552898e-09,0.0
1930,8.402882945013346e-09,1.0503603542488804e-09
1931,2.3951249872311564e-08,0.0
1932,1.753525857850491e-08,3.287861094491973e-09
1933,3.211785326584504e-08,0.0
1934,2.036868629318178e-08,0.0
1935,9.574627313213568e-09,0.0
1936,1.091224355320719e-08,0.0
1937,2.392312481447334e-08,0.0
1938,6.482607339819424e-09,0.0
1939,2.2941076593951948e-08,0.0
1940,0.0,0.0
1941,1.7709016475464523e-08,0.0
1942,3.034211770724937e-09,0.0
1943,2.322588166236983e-08,0.0
1944,9.639558484764166e-09,0.0
1945,2.6142048525912287e-08,2.178504043826024e-09
1946,2.227376683094917e-08,0.0
1947,1.3112958274774655e-08,0.0
1948,1.6307831529616124e-08,0.0
1949,1.1780409536754632e-08,0.0
1950,8.508289184305795e-09,0.0
1951,1.1727541715522705e-08,1.0661401761424827e-09
1952,2.1089607837865287e-09,1.0544803918932644e-09
1953,6.464296653518886e-09,0.0
1954,1.4658804170508688e-08,9.772536113672459e-10
1955,6.569925492527773e-09,0.0
