year,nouveaux_ADJ ans_NOUN,nouveaux_ADJ chants_NOUN
1800,0.0,2.5153315874604232e-08
1801,0.0,5.2386017301842e-08
1802,0.0,2.2378401354217203e-08
1803,0.0,5.070882025393075e-08
1804,0.0,8.404293083685843e-08
1805,0.0,6.822906328807221e-08
1806,0.0,2.881669125542885e-08
1807,0.0,4.839823830593559e-08
1808,0.0,7.024829073998262e-08
1809,0.0,3.388545621874073e-08
1810,0.0,1.8721014072298203e-08
1811,0.0,5.0141536256376185e-08
1812,0.0,4.267533304513904e-08
1813,0.0,1.0927818294703684e-07
1814,3.1466771410748606e-09,1.3530711839848664e-07
1815,0.0,9.170560133497929e-08
1816,2.3176038865813098e-09,3.7081662185300956e-08
1817,1.556873407970727e-09,8.251429051142622e-08
1818,1.1921177378582115e-09,3.337929754820834e-08
1819,3.1053151161586356e-09,3.9333990287104825e-08
1820,0.0,3.322614716694261e-08
1821,0.0,1.3115779573524833e-07
1822,1.0025615893027862e-09,6.717162648328667e-08
1823,0.0,5.830785099192326e-08
1824,0.0,5.221090049190025e-08
1825,0.0,7.396572510032229e-08
1826,8.807984341885344e-10,6.34174881497529e-08
1827,0.0,6.544264152807955e-08
1828,0.0,9.172301140836225e-09
1829,0.0,5.744027831156018e-08
1830,0.0,8.453837097022188e-08
1831,0.0,1.3564348932959547e-07
1832,0.0,9.470978312720035e-08
1833,0.0,4.285942500903417e-08
1834,0.0,2.7070139907436896e-08
1835,0.0,6.42862474364847e-08
1836,6.720750067579218e-10,2.6210925652137007e-08
1837,0.0,4.3834711638268686e-08
1838,0.0,5.1759727615063866e-08
1839,0.0,4.055055757845594e-08
1840,0.0,3.567025785855549e-08
1841,2.5682194149112547e-09,7.57624718517036e-08
1842,6.708265054555795e-10,4.561620414733625e-08
1843,0.0,5.6706344953028065e-08
1844,5.488561272137815e-10,6.696044607679141e-08
1845,0.0,4.4641825347468966e-08
1846,1.1709002656346001e-09,1.1240642550092161e-07
1847,1.0786447290911383e-09,4.8539011032744384e-08
1848,0.0,2.574470947536156e-08
1849,8.379414939696517e-10,4.4410899846525353e-08
1850,0.0,4.209177539848952e-08
1851,1.2898877521649865e-09,2.257303544084266e-08
1852,0.0,3.2552726736412296e-08
1853,0.0,5.2552998397459305e-08
1854,5.195664454227256e-10,3.844791829354932e-08
1855,1.5920811335945473e-09,3.874064091746732e-08
1856,0.0,5.0736455980970874e-08
1857,3.905207268672939e-09,4.930324198904046e-08
1858,0.0,2.2510909525319533e-08
1859,5.092173349652285e-10,3.920973368209957e-08
