year,six_DET chaises_NOUN
1800,3.144164439916608e-08
1801,2.3811825844433088e-09
1802,1.7902721083373763e-08
1803,3.900678446910888e-09
1804,2.4718509905596875e-08
1805,3.980028751016107e-08
1806,1.4408345627714425e-08
1807,1.7081731584767113e-08
1808,1.1330369531492579e-08
1809,2.710836710662079e-08
1810,2.8081521108447305e-08
1811,1.0028307073639553e-08
1812,1.600324850414836e-08
1813,1.7254450312975678e-08
1814,3.1466771410748606e-09
1815,2.1577788444915313e-08
1816,2.3176038865813098e-08
1817,2.0239354636686357e-08
1818,2.026600132154499e-08
1819,1.9666995143552413e-08
1820,9.493184904840746e-09
1821,1.577838126820552e-08
1822,1.804610860745015e-08
1823,3.162459893957248e-08
1824,2.189489300974401e-08
1825,6.780191164068583e-08
1826,9.688783109140786e-09
1827,4.6086365279585095e-09
1828,9.172301140836225e-09
1829,1.7146352337960025e-08
1830,1.7742621594152297e-08
1831,9.354723218280014e-09
1832,1.758896062131754e-08
1833,3.01174338801502e-08
1834,8.401077833397608e-09
1835,2.571449897459388e-08
1836,3.427582589976552e-08
1837,2.9223142017364978e-08
1838,3.219202637794183e-08
1839,2.3771016266493916e-08
1840,2.293087897342616e-08
1841,1.9903700021473014e-08
1842,1.609983613093391e-08
1843,6.615740488769006e-08
1844,2.5796238478648092e-08
1845,1.785672898435564e-08
1846,2.3418005312692003e-08
1847,2.3730184040005042e-08
1848,1.4481399412957785e-08
1849,1.9272653695168174e-08
1850,2.851378422263906e-08
1851,2.2573035662887264e-08
1852,2.7344290387532055e-08
1853,2.9859658745579054e-08
1854,2.9095720499583422e-08
1855,4.2455496895854594e-08
1856,2.7439103156279288e-08
1857,3.221796029961865e-08
1858,2.5936482961341767e-08
1859,3.0043822984993085e-08
1860,3.8906062371779626e-08
1861,4.055728930474345e-08
1862,2.891511297065108e-08
1863,4.64499754215808e-08
1864,4.267307929239905e-08
1865,3.2006541417217704e-08
1866,4.96292504870155e-08
1867,5.143980175148499e-08
1868,4.989272994748717e-08
1869,7.081102459949307e-08
1870,5.963410876219655e-08
1871,5.416800408220013e-08
1872,3.205089815772055e-08
1873,3.950763050042383e-08
1874,8.483944835546708e-08
1875,8.353429592489192e-08
1876,5.3204930239303394e-08
1877,7.669171964153065e-08
1878,5.737134234351515e-08
1879,7.392283407625655e-08
1880,7.123809364628642e-08
1881,5.9266315410866355e-08
1882,7.720246930631447e-08
1883,1.0553296103665843e-07
1884,9.176358783946625e-08
1885,7.670306789719916e-08
1886,9.744730622429643e-08
1887,8.618180835640032e-08
1888,6.721051448721482e-08
1889,6.014531273024204e-08
1890,7.537544277624875e-08
1891,3.760789846207757e-08
1892,7.271474000702938e-08
1893,6.527921403431947e-08
1894,8.570093434911996e-08
1895,9.629783281894788e-08
1896,7.607167162859696e-08
1897,6.467652191588513e-08
1898,5.488604082337645e-08
1899,5.417026827103655e-08
1900,7.47511679222157e-08
1901,1.0450941800854707e-07
1902,3.0443759957421435e-08
1903,4.860198110634428e-08
1904,5.8045952044949445e-08
1905,7.89596148464966e-08
1906,5.144184633820714e-08
1907,9.977116022241717e-08
1908,6.532147445170722e-08
1909,7.921416056433372e-08
1910,8.390316796891284e-08
1911,8.140172091941622e-08
1912,6.772247473918469e-08
1913,8.378723714841385e-08
1914,6.027069510139427e-08
1915,9.778032161733563e-08
1916,4.065360914573546e-08
1917,5.044555173583376e-08
1918,5.054005569604669e-08
1919,4.4197673965129525e-08
1920,5.3005623001922686e-08
1921,5.2251958315707725e-08
1922,8.558405539815794e-08
1923,7.537323298834053e-08
1924,3.3518223752082577e-08
1925,6.598906665544746e-08
1926,6.687682763129033e-08
1927,4.4596899950732904e-08
1928,6.284322706662238e-08
1929,8.466708578680482e-08
1930,6.407197838953493e-08
1931,2.737285598186645e-08
1932,3.9454331357546835e-08
1933,3.5559053035427723e-08
1934,5.1520796517934286e-08
1935,4.0692165192979246e-08
1936,3.516167224049127e-08
1937,4.784624918485747e-08
1938,3.2413036477052515e-08
1939,3.364691103513451e-08
1940,5.578722350740861e-08
1941,8.559357844717397e-08
1942,7.58552927138112e-08
1943,6.387117701400769e-08
1944,2.2492303131116387e-08
1945,3.7034569189131616e-08
1946,4.872386583087973e-08
1947,6.198853008676508e-08
1948,3.8051608530764724e-08
1949,4.221313654184655e-08
1950,4.3604980515254965e-08
1951,3.731490538783078e-08
1952,5.588746065932071e-08
1953,5.8178668549402346e-08
1954,3.713563767604455e-08
1955,3.566530937249013e-08
1956,6.628067916736313e-08
1957,4.947621123907453e-08
1958,3.6397870939453014e-08
1959,3.410328908159954e-08
1960,7.405291757578425e-08
1961,4.238377326881704e-08
1962,3.9320131151043825e-08
1963,6.789356232772548e-08
1964,9.612670259784295e-08
1965,6.840053945467162e-08
1966,4.375868956074669e-08
1967,4.240088546936249e-08
1968,8.758260960917141e-08
1969,5.8134499214546054e-08
1970,2.1614007916781475e-08
1971,5.7550050946986175e-08
1972,4.001514630758152e-08
1973,1.130206799260236e-07
1974,3.9379000726924573e-08
1975,4.5120694291966856e-08
1976,6.056338630600067e-08
1977,3.526069125570075e-08
1978,5.287126203512571e-08
1979,4.388979935043835e-08
1980,7.049587003038482e-08
1981,4.554395749423179e-08
1982,3.5382762497704334e-08
1983,5.241712308645674e-08
1984,8.11861191607477e-08
1985,4.03042389462982e-08
1986,4.6756988503204866e-08
1987,4.1553553931095166e-08
1988,6.116484696505609e-08
1989,6.475984148934799e-08
1990,5.394164315219996e-08
1991,7.971592452804543e-08
1992,5.1242481813318363e-08
1993,5.428423266451432e-08
1994,5.011180403968751e-08
1995,3.524593128467757e-08
1996,4.590759195011174e-08
1997,7.527984635657958e-08
1998,4.1959536289937205e-08
1999,4.341691162146333e-08
2000,5.080736276141806e-08
2001,4.6440844059247866e-08
2002,5.607963604603583e-08
2003,3.791899993998982e-08
2004,5.285749349326352e-08
2005,3.152624572511087e-08
2006,5.5591512726493875e-08
2007,5.232767963381235e-08
2008,4.300014033731259e-08
2009,4.052963742395832e-08
2010,3.7790345963628624e-08
2011,5.23884158276644e-08
2012,6.127654805787586e-08
2013,7.363290199791095e-08
2014,7.62236727069876e-08
2015,8.711141186168447e-08
2016,8.575347765216179e-08
2017,5.5595009484932234e-08
2018,8.234878867696693e-08
2019,9.158046232471406e-08
