year,vos_DET arts_NOUN,vos_DET chars_NOUN
1800,2.6096566330124915e-07,0.0
1801,6.90542969472574e-08,1.904946067554647e-08
1802,1.0070280609397742e-07,2.0140561218795483e-08
1803,8.971560561121805e-08,3.705644502360883e-08
1804,7.415552971679062e-08,2.4718509905596875e-08
1805,8.24434565060983e-08,2.2743021688143017e-08
1806,5.763338073450086e-08,5.76333825108577e-09
1807,4.839823830593559e-08,5.693910232196231e-09
1808,1.4729481279118772e-07,0.0
1809,7.454800510231507e-08,2.259030518203531e-09
1810,2.106114038724627e-08,9.360507036149102e-09
1811,3.7606150637969904e-08,0.0
1812,2.6672082320544632e-09,1.8670457180292033e-08
1813,6.901780125190271e-08,0.0
1814,3.776012391654149e-08,3.1466771410748606e-09
1815,8.091670622434322e-08,1.6183340889597275e-08
1816,2.7811246638975717e-08,9.270415546325239e-09
1817,1.0586739129792022e-07,9.341240669868967e-09
1818,4.768470773797162e-08,2.2650237241350624e-08
1819,6.624672188593195e-08,1.6561680027393777e-08
1820,1.1985146208814967e-07,0.0
1821,7.987805772380341e-08,1.2819934447350079e-08
1822,5.413832582235045e-08,1.604098542884458e-08
1823,5.0401702367253165e-08,2.3718449093657057e-08
1824,6.400045649002095e-08,1.7684336661716316e-08
1825,1.0742640288441407e-07,1.2327620257934768e-08
1826,7.927185663447744e-08,2.6423952803611428e-08
1827,4.424290933613406e-08,6.4520911946530646e-09
1828,3.118582486694166e-08,7.3378408349533686e-09
1829,1.971830476676928e-08,9.430493719264632e-09
1830,4.5922078140137046e-08,1.878630406793036e-08
1831,5.4569221807909685e-08,1.091384405071949e-08
1832,5.547287351692631e-08,4.058990921151917e-09
1833,7.297686277496496e-08,1.6217079235048004e-08
1834,5.694063798244997e-08,2.8937046536725575e-08
1835,3.554651328840919e-08,6.806779140333674e-09
1836,1.9490175695580092e-08,9.409050427677812e-09
1837,3.5485244076483013e-08,8.349468672008697e-09
1838,2.3354998823776896e-08,5.04972974546547e-09
1839,2.0974424863595686e-08,5.5931801412612e-09
1840,2.5478755105723394e-08,7.64362617644565e-09
1841,2.8892468417751616e-08,1.0272877659645019e-08
1842,3.5553803456878086e-08,1.7441490030023488e-08
1843,2.7171791094904307e-08,1.2404513027863828e-08
1844,1.9758821467874554e-08,1.701453911095996e-08
1845,1.3392547515422848e-08,4.464182357111213e-09
1846,5.034871253251083e-08,2.1076203893244383e-08
1847,3.5055954583640414e-08,1.5101026207275936e-08
1848,1.3676876908785829e-08,5.551202875153649e-08
1849,4.524883934209356e-08,0.0
1850,2.647708541303473e-08,6.177986655586665e-08
1851,2.4507866847045534e-08,1.096404567135778e-08
1852,2.929745379631754e-08,1.3021090650155998e-08
1853,2.388772823991303e-08,6.569125021727018e-09
1854,1.4028293915391288e-08,2.54587557702024e-08
1855,3.343370380548549e-08,7.429711956774554e-09
1856,3.675804194358534e-08,9.836659209394583e-09
1857,2.440754554022817e-08,2.147863931156735e-08
1858,3.327699604760426e-08,3.2787629944408536e-08
1859,3.6154431004575827e-08,1.1202780925145817e-08
1860,2.0139608647440355e-08,1.373155189554609e-08
1861,2.5937799741360124e-08,1.4619487231914974e-08
1862,3.298130135664934e-08,1.445755604123633e-08
1863,2.547256655605068e-08,1.4983863039219614e-08
1864,3.164520590015485e-08,1.6781547707012123e-08
1865,3.718407193264994e-08,1.1296426905005319e-08
1866,1.751620670731313e-08,2.578774882522339e-08
1867,1.5043715606566366e-08,9.220341823379385e-09
1868,2.3217407663089773e-08,2.0253484556143064e-08
1869,2.6859355184427613e-08,9.767038733343725e-09
1870,1.204150246181257e-08,1.1812140465750076e-07
1871,6.37270636261178e-09,2.1242354542039266e-09
1872,1.2699412965666568e-08,9.978110049324584e-08
1873,2.1549615758509333e-08,7.781805422268917e-09
1874,7.169530746864439e-09,4.779687312606029e-09
1875,1.8308887461682133e-08,8.010138330405425e-09
1876,1.6928841217733748e-08,1.4510435297765412e-08
1877,2.9068634388451642e-08,1.4843558382438005e-08
1878,9.058632899350272e-09,5.435179861734696e-09
1879,1.4051448560259416e-08,1.0996785704264767e-08
1880,1.5402831010646878e-08,8.343199908722454e-09
1881,6.9725074602899895e-09,1.8128519130300447e-08
1882,6.655384909848294e-09,6.655385131892899e-09
1883,1.5798347796636136e-08,5.687405213450347e-09
1884,1.0562715146988921e-08,2.6406787867472303e-09
1885,1.5469526104539e-08,4.511945039809007e-09
1886,1.0325542199041138e-08,7.744156427236248e-09
1887,6.528924512139156e-09,5.876032105334161e-09
1888,5.706553229956057e-09,4.4384300679212174e-09
1889,7.518164035769104e-09,5.6386229019267375e-09
1890,1.1797895993481688e-08,3.9326319978272295e-09
1891,1.3385862196457765e-08,1.5298128430707436e-08
1892,1.9432388143059143e-08,5.641661138255927e-09
1893,9.853466487186324e-09,6.15841644346915e-09
1894,8.192000855444803e-09,2.7096618282484997e-08
1895,1.3240952334570011e-08,6.018614495673091e-09
1896,1.0614652268259306e-08,5.307326134129653e-09
1897,2.0393496669157685e-08,5.826713556089658e-10
1898,6.7900258748920805e-09,5.092519295146758e-09
1899,3.8693048765026106e-09,3.3165470370022376e-09
1900,9.34389543516545e-09,3.114631885736685e-09
1901,1.5089595351014395e-08,3.353243460679778e-09
1902,1.9641134607617516e-08,1.4730852093691738e-09
1903,2.1600881083827517e-09,9.720396931811592e-09
