year,nos_DET airs_NOUN,nos_DET chairs_NOUN
1800,3.772997558826319e-08,9.432493897065797e-09
1801,6.191074786165984e-08,1.6668277424969347e-08
1802,4.475680270843441e-09,3.1329761895904085e-08
1803,7.021221204439598e-08,2.145373123596528e-08
1804,8.404293261321527e-08,2.4718509461507665e-09
1805,1.8762992382015398e-07,1.9900143755080535e-08
1806,1.2391177506287931e-07,5.763338162267928e-08
1807,3.131650672116848e-08,1.7081731584767113e-08
1808,7.478043961839376e-08,4.5321479902327155e-09
1809,1.8072244145628247e-08,4.518061036407062e-09
1810,6.786367467981336e-08,0.0
1811,4.763445815569867e-08,0.0
1812,2.9339290108509886e-08,5.3344164641089264e-09
1813,5.463909147351842e-08,2.0130190847567064e-08
1814,3.461344899591268e-08,0.0
1815,8.091670444798638e-09,2.697223555614414e-09
1816,9.270415546325239e-09,0.0
1817,8.095742032310227e-08,7.784366928831332e-09
1818,3.099506074022429e-08,9.536941902865692e-09
1819,1.0040518816367694e-07,1.7596784473994376e-08
1820,5.93324074316115e-08,2.254631326081835e-08
1821,5.719663320746804e-08,9.86148829262845e-10
1822,5.413832582235045e-08,1.0025615893027862e-08
1823,2.8659792761231984e-08,5.929612356680991e-09
1824,3.621078548121659e-08,1.7684335773537896e-08
1825,6.95629991387392e-08,5.283265824829186e-09
1826,4.4039921931471326e-08,8.80798456392995e-09
1827,3.3182182335167454e-08,7.373818444733615e-09
1828,4.769596628761974e-08,1.0089530988466322e-08
1829,3.172075158097698e-08,2.571952872898464e-09
1830,9.706257486641334e-08,8.349468672008697e-09
1831,5.1450980143030733e-08,6.236482441579483e-09
1832,3.111892965534935e-08,4.058990921151917e-09
1833,3.8225973497674204e-08,1.0425265983826648e-08
1834,8.681113605746305e-08,1.4001796166951408e-08
1835,5.52105419160398e-08,6.050470346963266e-09
1836,3.1587525484155776e-08,1.8146025126952736e-08
1837,1.8090515530033713e-08,3.75726116885744e-08
1838,4.86036455527028e-08,9.468243078458727e-09
1839,5.593180230079042e-08,1.1885507689157748e-08
1840,4.58617570586739e-08,1.0191501864653674e-08
1841,5.3290552415319326e-08,7.0626033910059505e-09
1842,1.8783141708667017e-08,9.391571076378114e-09
1843,3.839492035417891e-08,3.2488009671372e-08
1844,4.390849023261367e-08,1.5367971784030487e-08
1845,1.7298706467272496e-08,5.9150416120701266e-08
1846,4.5665111247927825e-08,1.6392604607062822e-08
1847,2.6426796750911308e-08,1.5640349459999925e-08
1848,2.172209789819135e-08,6.43617736884039e-09
1849,2.1786478399121734e-08,5.865590679832167e-09
1850,2.308258650884909e-08,1.2220192857625989e-08
1851,1.1608989325395669e-08,2.0638204034639784e-08
1852,3.8412219849348617e-08,1.3021090872200602e-08
1853,3.1054046445433414e-08,1.8512988253505114e-08
1854,3.273268500691984e-08,2.286092382064453e-08
1855,3.980202833986368e-08,2.2289135870323662e-08
1856,5.539592606851329e-08,9.836659486950339e-09
1857,3.954022459451423e-08,2.2943092758964667e-08
1858,4.9426128856389084e-08,1.3702292633865909e-08
1859,4.277425569298998e-08,1.8841042059847268e-08
1860,1.51047069019139e-08,4.3483247225140076e-08
1861,5.470517772110384e-08,1.3676294763342867e-08
1862,3.343309987191567e-08,1.1294965851504912e-08
1863,1.9978482868054925e-08,9.489779628779615e-09
1864,2.4453112201783256e-08,5.2742009648554244e-09
1865,2.8241066374334878e-08,1.553258677233771e-08
1866,3.2113044667880786e-08,2.1408697037372804e-08
1867,1.8925964795357686e-08,2.232293283555009e-08
1868,2.7663294210888978e-08,1.9265508299781686e-08
1869,4.102156014873515e-08,1.4650557544904075e-08
1870,1.3188312220080434e-08,1.6628741050794815e-08
1871,1.6993883855676017e-08,1.6993883633631413e-08
1872,3.4469832321804006e-08,2.0560953828407946e-08
1873,2.7535620894525437e-08,1.496501056408306e-08
1874,2.509335778055899e-08,1.7326366119618797e-08
1875,1.94531928343622e-08,1.0298748520654044e-08
1876,3.0834675479596285e-08,2.1161051577678336e-08
1877,3.834585893258691e-08,3.772737888763089e-08
1878,5.4955707762260886e-08,1.1474268535316412e-08
1879,4.4598075343849075e-08,2.932476128592043e-08
1880,2.3104245627791897e-08,1.9895322722618403e-08
1881,4.671580100534811e-08,1.324776466304911e-08
1882,1.3976308999019693e-08,1.9966154729544883e-08
1883,3.6652167523243406e-08,1.0110941972563126e-08
1884,2.772712726084592e-08,1.386356363042296e-08
1885,2.707166935067562e-08,1.0313017106966527e-08
1886,2.774989482645651e-08,1.5488312854472497e-08
1887,2.3504128421336645e-08,2.546280519766242e-08
1888,2.346027505595316e-08,1.838778329599222e-08
1889,4.322944491264025e-08,2.694008721659813e-08
1890,1.7696843102044113e-08,1.1797895993481688e-08
1891,1.9122660899206778e-08,3.3783366659712044e-08
1892,1.817868566789116e-08,2.1312942521944933e-08
1893,2.894455697344256e-08,2.4633665829387752e-08
1894,4.2220313245522334e-08,2.2055386850183822e-08
1895,2.8889349357186234e-08,1.6852119699706236e-08
1896,2.8895442705234586e-08,2.889544248318998e-08
1897,2.097616802476665e-08,4.0786994115471487e-08
1898,1.2448381103702388e-08,2.037007806876545e-08
1899,8.844125432005967e-09,2.1004797901014172e-08
1900,1.5573159761750333e-08,1.453494880010453e-08
1901,2.4590450786732276e-08,4.1356667646041956e-08
1902,2.356936334990678e-08,3.240787327385419e-08
1903,2.1060859722865644e-08,2.2680925138018893e-08
1904,1.8811189050893518e-08,3.278521454319616e-08
1905,2.5287720029076866e-08,3.922177005399874e-08
1906,2.006231891726884e-08,2.05767382577271e-08
1907,1.5942813902380948e-08,3.0342776013991823e-08
1908,3.14328898465277e-08,3.241516921548282e-08
1909,1.870334465081669e-08,3.4656194802806795e-08
1910,1.4963622119168463e-08,3.3668149046484075e-08
1911,1.7025197585063268e-08,1.702519725199636e-08
1912,2.344239469209697e-08,2.396333742549217e-08
1913,1.909076252637476e-08,2.969674284258872e-08
1914,4.754688076591407e-08,2.1429579888376793e-08
1915,2.1205371680821372e-08,2.1205371680821372e-08
1916,2.307367052978293e-08,4.504859418830165e-08
1917,4.496233962925089e-08,4.6058983849128765e-08
1918,2.5270027848023346e-08,4.824278043713548e-08
1919,3.4069039145379065e-08,3.038590001835928e-08
1920,2.953170330499688e-08,2.4231141537711665e-08
1921,3.7863738422405646e-08,4.4679208777154145e-08
1922,3.6889677090812256e-08,3.320071123580348e-08
1923,2.653987030143412e-08,4.140219900250486e-08
1924,5.156649840465377e-08,4.2542360634278964e-08
1925,2.969508017258704e-08,2.639562701745035e-08
1926,1.0031524944054127e-08,3.343841470382358e-08
1927,1.8953683067479687e-08,3.902228784546935e-08
1928,2.2852082337543322e-08,4.341895543102936e-08
1929,1.7824650200282122e-08,2.6736975300423182e-08
1930,2.625900974440043e-08,2.730937009864931e-08
1931,3.5356604755065746e-08,2.0529641986399838e-08
1932,1.53433514782364e-08,1.2055489939655217e-08
1933,2.408839039347299e-08,3.211785326584504e-08
1934,2.6359476379411717e-08,2.995395220750652e-08
1935,2.393656917121234e-08,2.8723881939640705e-08
1936,2.9099314957647948e-08,3.516167268458048e-08
