year,mêmes_ADJ airs_NOUN,mêmes_ADJ chairs_NOUN
1800,6.917161954334006e-08,3.144164484325529e-09
1801,1.4287095950749062e-08,0.0
1802,4.4756802708434407e-08,0.0
1803,1.3652374342143503e-08,1.950339223455444e-09
1804,4.2021465418429216e-08,0.0
1805,1.7057265822018053e-08,2.55858996212055e-08
1806,2.5935023018064385e-08,0.0
1807,3.131650672116848e-08,8.540865792383556e-09
1808,5.211970233176544e-08,2.2660739951163578e-09
1809,2.0331274441787173e-08,2.259030518203531e-09
1810,6.084329839950442e-08,2.3401267590372754e-09
1811,7.270522672797597e-08,0.0
1812,5.067695596494559e-08,0.0
1813,6.614205716459765e-08,0.0
1814,4.72001566720337e-08,0.0
1815,1.8880564667256294e-08,0.0
1816,1.8540831092650478e-08,2.5493642752394408e-08
1817,6.85024303948012e-08,0.0
1818,2.8610825708597076e-08,0.0
1819,5.072014630513877e-08,3.1053151161586356e-09
1820,6.051905643289501e-08,0.0
1821,7.59334568556369e-08,9.86148829262845e-10
1822,3.909990198280866e-08,0.0
1823,4.15072847204101e-08,3.9530747564242574e-09
1824,4.8000341479337294e-08,5.894778887238772e-09
1825,8.277116592125822e-08,1.7610886082763955e-09
1826,4.315912249808207e-08,0.0
1827,3.871254605769536e-08,9.217273055917019e-10
1828,7.06267186956211e-08,3.668920500743411e-09
1829,2.4004892296147773e-08,9.430493719264632e-09
1830,4.905312778191728e-08,3.1310507520032616e-09
1831,4.053713453799901e-08,0.0
1832,1.1500473817704915e-07,0.0
1833,4.9809603552830595e-08,1.3900354645102198e-08
1834,1.4001796166951408e-08,3.733812370398937e-09
1835,4.689114518896531e-08,0.0
1836,4.301280043250699e-08,1.2769425516978572e-08
1837,2.5048407792382932e-08,9.045257876039159e-09
1838,2.3354999711955315e-08,6.312161904276081e-10
1839,3.5656523067473245e-08,6.9914749545318955e-09
1840,2.229391071750797e-08,0.0
1841,4.494383887276854e-08,2.5682194149112547e-09
1842,3.4882980060046975e-08,2.683306021822318e-09
1843,4.4892523476391943e-08,3.5441467538532834e-09
1844,3.0735943568060975e-08,4.9397050894128824e-09
1845,3.013322924516615e-08,5.580227946389016e-10
1846,4.039605983052752e-08,7.025401593807601e-09
1847,2.480882876909618e-08,0.0
1848,3.378993085334514e-08,0.0
1849,4.1059134758825167e-08,0.0
1850,2.2403686017469226e-08,2.7155984128057753e-09
1851,9.029214709244116e-09,6.449438760824933e-10
1852,2.278690836021724e-08,9.765818376195057e-09
1853,2.9262466227919504e-08,0.0
1854,2.3900057044556888e-08,3.63696517347023e-09
1855,1.963566731433275e-08,1.5920811335945473e-09
1856,2.8992259260007813e-08,1.0354378465748937e-09
1857,5.4672902649599564e-08,1.9526036343364694e-09
1858,1.8106600663259087e-08,4.893676019968041e-10
1859,3.971895168319861e-08,1.018434669930457e-09
1860,2.746310379109218e-08,1.373155145145688e-09
1861,1.744906619194353e-08,0.0
1862,1.9879140111811466e-08,4.517986429419807e-09
1863,3.346395871517416e-08,4.994620717013731e-09
1864,2.3973639073915365e-08,2.8768367688059016e-09
1865,4.047886292823932e-08,6.118897832863013e-09
1866,2.4814625021463144e-08,6.811858188626729e-09
1867,1.747012134956094e-08,4.85281148598915e-10
1868,3.359114231216154e-08,5.433861360870651e-09
1869,1.8069020057964735e-08,4.883519366671862e-09
1870,2.752343419842873e-08,5.734048791339319e-10
1871,4.991953161948004e-08,0.0
1872,3.084143074261192e-08,6.047339295989218e-10
1873,2.8134220286801792e-08,0.0
1874,2.8080663128093875e-08,5.974609140757536e-10
1875,1.716458086775674e-08,0.0
1876,2.5997863417615008e-08,0.0
1877,2.8450154232473324e-08,3.0924081073635534e-09
1878,1.8117265909722846e-08,4.831270938865373e-09
1879,2.6270098985037293e-08,1.832797580370027e-09
1880,1.9895322722618403e-08,0.0
1881,2.1614773970668466e-08,0.0
1882,3.5939081044489285e-08,6.655385131892899e-10
1883,2.0853818227806187e-08,0.0
1884,2.442627788923346e-08,1.386356363042296e-08
1885,2.7716232864349877e-08,0.0
1886,4.130216879616455e-08,1.2906927748801422e-09
1887,1.566941953967671e-08,0.0
1888,1.9655905347804037e-08,0.0
1889,2.8193115397812107e-08,3.132568426877924e-09
1890,2.1629475099871343e-08,0.0
1891,1.9122660788184476e-08,3.1871101313640793e-09
1892,5.014809900671935e-09,0.0
1893,1.3548516086814288e-08,4.310891643655168e-09
1894,1.5753848003896564e-08,4.411077725308132e-09
1895,1.5046536461227333e-08,6.018614495673091e-10
1896,2.240870955461105e-08,0.0
1897,2.3889525024856084e-08,0.0
1898,1.6975064909274806e-08,3.3950129374460403e-09
1899,1.9899282222013426e-08,0.0
1900,1.5054054003371675e-08,0.0
1901,1.2295225282343836e-08,5.588738916095792e-10
1902,1.5712908307818907e-08,0.0
1903,2.052083658554693e-08,9.1803746826713e-09
1904,3.439760121182189e-08,5.374625189347171e-10
1905,2.4255568220610257e-08,2.0643036169332163e-09
1906,1.2346042410626978e-08,1.5432553013283723e-09
1907,1.697138252154673e-08,1.028568674676933e-09
1908,1.4734167663732478e-08,0.0
1909,1.5402754627302784e-08,2.2003934230241384e-09
1910,1.60324518105881e-08,0.0
1911,6.916486494645824e-09,5.320374141248863e-10
1912,1.927485904218429e-08,2.0837684910901544e-09
1913,6.363587878865928e-09,1.590896969716482e-09
1914,2.0090231700464756e-08,1.3393487430235496e-09
1915,2.0027295377644805e-08,0.0
1916,1.538244731591476e-08,0.0
1917,3.289927441585405e-09,0.0
1918,1.722956355365568e-08,0.0
