year,vos_DET airs_NOUN,vos_DET chairs_NOUN
1800,2.2009151834367913e-08,2.5153315874604232e-08
1801,3.5717737434382e-08,2.3811825844433088e-09
1802,3.3567602031325805e-08,0.0
1803,5.265915836716317e-08,1.950339223455444e-09
1804,1.359518080334965e-07,0.0
1805,4.548604315424143e-08,1.7057265822018053e-08
1806,1.0374009207225754e-07,1.4408345627714425e-08
1807,1.7081730252499483e-08,5.693910232196231e-09
1808,4.75875534533543e-08,9.064295980465431e-09
1809,1.3554183553310395e-08,6.7770917766551975e-09
1810,1.0530570193623134e-07,9.360507036149102e-09
1811,8.774768467390004e-08,2.5070767684098882e-09
1812,6.134578844907423e-08,0.0
1813,6.039057609541487e-08,2.5881675469463516e-08
1814,9.125363398254649e-08,7.552024783308298e-08
1815,1.8880564667256294e-08,2.1577788444915313e-08
1816,3.0128852301913867e-08,2.0858434979231788e-08
1817,7.472992091805963e-08,2.490997452753163e-08
1818,5.0068943213688044e-08,2.8610825708597076e-08
1819,5.175524897538253e-08,8.280840013696888e-09
1820,7.950542535439808e-08,4.50926265216367e-08
1821,6.015507691969901e-08,3.550135829755163e-08
1822,2.5064039732569654e-08,1.2030739071633434e-08
1823,5.731958552246397e-08,7.906149512848515e-09
1824,3.8737119290033206e-08,2.6105450245950124e-08
1825,5.459374818883589e-08,1.4969252504215547e-08
1826,2.8185549894033102e-08,7.927186018719112e-09
1827,2.0278000945062047e-08,4.608636583469661e-09
1828,5.3199348259980184e-08,6.420610709767516e-09
1829,3.0006116702452346e-08,1.2859763920403111e-08
1830,6.575206312753323e-08,1.3567886369969528e-08
1831,3.2741533706470705e-08,1.8709447990872263e-08
1832,4.058990832334075e-08,2.0294953273491956e-08
1833,4.749287596528262e-08,5.791814139399776e-09
1834,2.893704542650255e-08,1.5868701908061666e-08
1835,5.218530674255817e-08,1.2100940693926532e-08
1836,2.822714967321005e-08,2.419469957715137e-08
1837,1.8090516529234435e-08,2.2961040069269245e-08
1838,3.787297009338886e-08,2.39862147921599e-08
1839,2.6567605448946097e-08,1.1885507689157748e-08
1840,3.375935120342177e-08,1.2739377552861697e-08
1841,3.5955072252846776e-08,2.43980835534785e-08
1842,6.439934541191406e-08,5.366612043644636e-09
1843,3.7804230856863796e-08,1.8311423488626133e-08
1844,3.56756482688958e-08,2.6893950177964143e-08
1845,5.6918324276011845e-08,1.6182660544927785e-08
1846,4.9763260845381296e-08,2.1661655580373917e-08
1847,3.020205241455187e-08,1.77976389181822e-08
1848,5.5512030749937935e-08,4.022610855525244e-09
1849,3.854530761238095e-08,9.217355989576959e-09
1850,5.159636806695289e-08,1.425689166723032e-08
1851,2.4507867735223954e-08,1.1608989325395669e-08
1852,4.5573818718835923e-08,1.4323200403509873e-08
1853,4.060913649794884e-08,2.6276499198729653e-08
1854,6.33871053423718e-08,1.1430461466233055e-08
1855,8.278822249963014e-08,7.960405667972736e-09
1856,3.572260576234498e-08,1.2942972915652717e-08
1857,5.272029879321849e-08,9.763017949637742e-09
1858,5.1872966366772744e-08,2.7404585267731818e-08
1859,4.786642771037464e-08,1.782260738991681e-08
1860,6.087654602637826e-08,7.781213007262977e-09
1861,4.810282866474225e-08,1.839225838295988e-08
1862,3.885468324860142e-08,1.581295272501393e-08
1863,5.044567208400963e-08,8.990317823531768e-09
1864,6.856460954551835e-08,1.1986820203091497e-08
1865,4.7068444919418084e-08,1.7886008729650626e-08
1866,5.1575495207956124e-08,1.6543083347642096e-08
1867,5.386620571812273e-08,2.1837651686951176e-08
1868,5.236266353847441e-08,1.432563490055827e-08
1869,7.325278961189952e-08,1.1720446280172325e-08
1870,2.8670243512607385e-08,6.880858549607183e-09
1871,2.549082545044712e-08,1.6993883633631413e-08
1872,3.9307707089264454e-08,7.256807155187062e-09
1873,2.9930021461233025e-08,7.063485440994555e-08
1874,3.5847653734322193e-08,1.7923826867161097e-09
1875,3.37570102426632e-08,7.437985338754061e-09
1876,5.6832537564943664e-08,5.3204928462946555e-08
1877,6.865146029433333e-08,1.9172929910382663e-08
1878,3.442280499532657e-08,3.01954443671093e-08
1879,6.048231937505477e-08,1.710611030603104e-08
1880,3.3372801855335865e-08,8.343199908722454e-09
1881,1.8128519629900808e-08,9.761510710859511e-09
1882,5.923292589748996e-08,2.5956001792337702e-08
1883,4.613117443597048e-08,8.21514056781325e-09
1884,3.4328825115892414e-08,5.941527270181268e-09
1885,1.4180398411056672e-08,8.379326565943757e-09
1886,2.5813855941692054e-08,1.0325542199041138e-08
1887,2.7421483972389638e-08,1.5016526688782506e-08
1888,3.4873380627686856e-08,1.965590601393785e-08
1889,2.7566601445982997e-08,1.2530273152400184e-08
1890,1.8352282582512203e-08,5.898947996740844e-09
1891,4.971891465199718e-08,1.0836173736095134e-08
1892,3.635737289009455e-08,8.149066310636499e-09
1893,2.2170299485146927e-08,2.1554457829697782e-08
1894,2.6466465019581165e-08,1.0082462864602348e-08
1895,2.407445731655855e-08,2.4074457982692365e-09
1896,3.715128332748563e-08,6.486732040400511e-09
1897,3.43776108691074e-08,8.157399200570126e-09
1898,1.697506502029711e-08,9.05336783318944e-09
1899,2.65323762960179e-08,1.3818945987509323e-08
1900,3.426095018799202e-08,1.0382106396811253e-08
1901,3.409130766574009e-08,1.0618603774048552e-08
1902,2.1114220427609354e-08,7.365425602756659e-09
1903,1.4580595175672784e-08,1.1340462791054051e-08
1904,2.0961038238453966e-08,1.3436562973367927e-08
1905,1.3934049136743454e-08,4.64468330463319e-09
1906,3.806696413644062e-08,4.115347618238729e-09
1907,3.394276593127188e-08,1.491424583832668e-08
1908,2.7503778587956162e-08,1.1787333775714615e-08
1909,3.13556076103616e-08,4.950885035270858e-09
1910,5.076943265791556e-08,3.954671612405036e-08
1911,3.724261787851901e-08,2.3409646554561903e-08
1912,3.2298411722919695e-08,8.856016364688912e-09
1913,3.606033122105501e-08,1.1666577037772186e-08
1914,3.616241528447972e-08,8.036092680185902e-09
1915,2.1205371236732162e-08,1.1780762143587253e-08
1916,2.8567401111345703e-08,9.888715624128963e-09
1917,2.8512703309502285e-08,1.5352993543160665e-08
1918,6.087779347296873e-08,1.033773866510046e-08
1919,3.314825391953491e-08,1.1970202606903513e-08
1920,2.8017257847068322e-08,2.7260034229925623e-08
1921,3.634918815942356e-08,1.2116395886607734e-08
1922,5.976127831486266e-08,1.2542490601674672e-08
1923,4.352538862661959e-08,1.6985516548828627e-08
1924,5.0277336072213075e-08,1.4180787211159895e-08
1925,4.2892892793133797e-08,2.639562701745035e-08
1926,3.78968714187522e-08,1.4489979882625903e-08
1927,5.9090890403012963e-08,2.0068604555945058e-08
1928,3.313552077166548e-08,9.14083297942625e-09
1929,6.461435875237953e-08,1.2254447234738564e-08
1930,3.7812974085227324e-08,9.453243521306831e-09
1931,2.8513392535955973e-08,2.2810713318222042e-09
1932,2.6302887090601246e-08,1.2055489939655217e-08
1933,3.211785326584504e-08,1.1470662641954732e-08
1934,1.677421224144382e-08,1.3179738189705859e-08
1935,2.393656828303392e-08,4.787313656606784e-09
1936,2.0612015205756506e-08,1.6974599503782883e-08
1937,3.651424218542587e-08,1.510934133364117e-08
1938,2.2040865133021725e-08,1.1668692678767911e-08
1939,3.6705721129237645e-08,4.588215141154706e-09
1940,4.3108308034334186e-08,5.0715658339584024e-09
1941,2.6563523380929155e-08,1.4757512545315876e-08
1942,2.7307905936524435e-08,1.8205270180260413e-08
1943,5.8064703711835364e-08,1.4516175816936538e-08
1944,3.213186161588055e-08,1.2852744646352221e-08
1945,1.5249527862692958e-08,6.535512131478072e-09
1946,6.125285700875338e-08,2.0881657292193267e-08
1947,4.0530959921625254e-08,2.26496545963073e-08
