year,plusieurs_DET armes_NOUN,plusieurs_DET charmes_NOUN
1800,6.288328968651058e-09,0.0
1801,1.904946067554647e-08,0.0
1802,3.3567602031325805e-08,0.0
1803,3.510610468993036e-08,0.0
1804,3.9549615138412264e-08,9.887403784603066e-09
1805,1.02343598484822e-07,0.0
1806,2.0171682990621775e-08,0.0
1807,3.701041606518629e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,4.518061036407062e-09,0.0
1810,1.1700633351097167e-08,0.0
1811,4.763445815569867e-08,0.0
1812,8.00162425207418e-09,0.0
1813,5.7514832008109806e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,1.6183340889597275e-08,0.0
1816,1.1588019432906549e-08,2.3176038865813098e-09
1817,9.341240669868967e-09,6.227493631882908e-09
1818,4.768470951432846e-09,0.0
1819,1.5526575580793178e-08,0.0
1820,5.6959109429044474e-08,1.1866481131050932e-09
1821,2.7612166775270452e-08,0.0
1822,8.02049271442229e-09,0.0
1823,3.261286707356703e-08,0.0
1824,5.894779064874456e-08,0.0
1825,3.610231757988913e-08,0.0
1826,6.78214772120711e-08,0.0
1827,2.8573545918231247e-08,0.0
1828,4.4944277022285206e-08,0.0
1829,3.6007338666266264e-08,8.57317605795771e-10
1830,6.262101504006523e-09,1.0436835840010872e-09
1831,2.3386808933878456e-08,9.354723218280014e-09
1832,2.8412935559885e-08,2.705993873419743e-09
1833,2.548398292390175e-08,1.1583628500844156e-09
1834,3.080395316601425e-08,2.8003592777992026e-09
1835,5.218530674255817e-08,6.806779140333674e-09
1836,4.5701099793404865e-08,1.3441500135158435e-09
1837,5.6358917532861597e-08,0.0
1838,4.1660268124132926e-08,1.2624323808552163e-09
1839,3.915226187700682e-08,3.4957374772659477e-09
1840,3.630722389402763e-08,0.0
1841,7.191014361751513e-08,0.0
1842,2.951636579595629e-08,0.0
1843,2.9534556134080958e-08,5.906911071384968e-10
1844,1.866110821424627e-08,1.097712254427563e-09
1845,3.069125442678455e-08,0.0
1846,4.27378594736183e-08,0.0
1847,2.8584084432736745e-08,0.0
1848,2.172209789819135e-08,0.0
1849,3.351765798242923e-08,0.0
1850,2.0366988096043315e-08,3.394498016007219e-09
1851,3.5471913406581734e-08,0.0
1852,3.2552726736412296e-08,0.0
1853,2.269334054005867e-08,7.763511611358354e-09
1854,2.3900055934333864e-08,0.0
1855,1.5920811335945473e-08,5.306937111981824e-10
1856,2.2779633290781476e-08,5.177189232874468e-10
1857,2.39193944651106e-08,0.0
1858,2.691521755471271e-08,4.893676019968041e-10
1859,1.629495471888731e-08,0.0
1860,2.2428201851276697e-08,0.0
1861,1.9807047779707432e-08,4.715963730639317e-10
1862,2.755971628687348e-08,0.0
1863,2.597202808374277e-08,3.496234635136375e-09
1864,3.9796240969280916e-08,9.589455896019672e-10
1865,2.7770381549885315e-08,4.706844358715045e-10
1866,3.989802621617855e-08,0.0
1867,3.105799351033056e-08,0.0
1868,2.0253483778986947e-08,0.0
1869,2.1487483792270723e-08,4.883519144627257e-10
1870,2.981705327087525e-08,0.0
1871,5.9478592717709944e-08,0.0
1872,2.8422494580127022e-08,0.0
1873,2.7535620006347017e-08,0.0
1874,4.122480345980506e-08,0.0
1875,3.7189925361502674e-08,0.0
1876,3.083467703390852e-08,4.836811839936672e-09
1877,1.1751150608141359e-08,0.0
1878,2.4760264005774246e-08,6.039088673581716e-10
1879,5.803859159936309e-08,0.0
1880,2.2462462112571302e-08,0.0
1881,3.2073533162702006e-08,6.972507571312292e-10
1882,1.4641846846075168e-08,1.3310770263785798e-09
1883,2.8437025179073316e-08,1.8958017378167824e-09
1884,3.036780604759315e-08,0.0
1885,3.545099513946326e-08,0.0
1886,4.0011475466172897e-08,0.0
1887,4.1785117199655275e-08,0.0
1888,3.297119688383532e-08,6.340614699951175e-10
1889,3.5084767091575486e-08,0.0
1890,2.8183862632591428e-08,3.9326319978272295e-09
1891,2.6134301833735663e-08,0.0
1892,3.008885940403161e-08,0.0
1893,3.017624200518654e-08,0.0
1894,4.4110774588546064e-08,0.0
1895,1.9861428057765806e-08,0.0
1896,3.538217541176891e-08,0.0
1897,3.4960280004270317e-08,0.0
1898,3.7910976580235456e-08,0.0
1899,1.8241008703512307e-08,5.527578395003729e-10
1900,2.5436159734049113e-08,0.0
1901,1.732509075091926e-08,0.0
1902,1.86590785600238e-08,4.910283846193408e-10
1903,1.944079275340016e-08,1.0800440541913758e-09
1904,1.2361637935498493e-08,0.0
1905,2.528772019561032e-08,0.0
1906,2.777859586799991e-08,0.0
1907,2.1599942001682138e-08,1.5428529565042481e-09
1908,1.4734167663732478e-08,0.0
1909,6.60118004702781e-09,0.0
1910,2.137660359835536e-08,1.068830135508847e-09
1911,1.9153347352585115e-08,5.320374141248863e-10
1912,2.0837684189256578e-08,0.0
1913,3.340883480973389e-08,0.0
1914,2.1429580776555213e-08,0.0
1915,2.591767689352764e-08,0.0
1916,3.4061131248819265e-08,0.0
1917,2.52227767560953e-08,0.0
1918,1.722956355365568e-08,0.0
1919,1.1049418269237776e-08,9.207848372660976e-10
1920,2.0445025228355007e-08,0.0
1921,2.423279138463741e-08,0.0
1922,2.0658219135327727e-08,0.0
1923,2.866305948145964e-08,0.0
1924,2.0626598873363378e-08,0.0
1925,1.9796720707176974e-08,0.0
1926,1.3375366259005261e-08,2.229227691330493e-09
1927,4.3481975353643065e-08,0.0
1928,2.2852082892654835e-08,0.0
1929,1.6710609784809094e-08,0.0
1930,9.453243521306831e-09,1.0503603542488804e-09
1931,1.710803587684495e-08,0.0
1932,2.520693342944469e-08,0.0
1933,1.0323596200123575e-08,0.0
1934,2.2765002327673756e-08,0.0
1935,1.0771455727365264e-08,0.0
1936,1.9399543305098632e-08,0.0
