year,plusieurs_DET chaises_NOUN
1800,0.0
1801,1.904946067554647e-08
1802,0.0
1803,7.801356893821776e-09
1804,9.887403784603066e-09
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,3.172503681980743e-08
1809,4.51806094758922e-08
1810,1.4040760554223652e-08
1811,2.5070767684098882e-09
1812,4.267533171287141e-08
1813,2.8757416004054903e-08
1814,1.2586708564299443e-08
1815,0.0
1816,2.5493642752394408e-08
1817,4.670620334934483e-09
1818,8.344824387052086e-09
1819,6.210630232317271e-09
1820,1.0679833017945839e-08
1821,1.97229765852569e-09
1822,1.1028177482330648e-08
1823,3.9530747564242574e-09
1824,1.6842225392110777e-09
1825,6.163809906922779e-09
1826,2.642395191543301e-09
1827,3.6869092223668076e-09
1828,5.503380862137419e-09
1829,7.715858174606183e-09
1830,9.39315203396518e-09
1831,6.236482441579483e-09
1832,2.705993829010822e-08
1833,1.853380560135065e-08
1834,1.680215544475061e-08
1835,2.2689263801112247e-08
1836,1.2769424795333606e-08
1837,6.262101948095733e-09
1838,3.092959488526503e-08
1839,7.690622361167243e-09
1840,1.3376346252869098e-08
1841,2.632424855875115e-08
1842,1.0733224087289273e-08
1843,1.2404512972352677e-08
1844,1.1525978393933656e-08
1845,2.7343116215661212e-08
1846,6.439951460990301e-09
1847,7.011190739092399e-09
1848,1.609044403272364e-08
1849,2.5976186535103807e-08
1850,1.3577992064028876e-08
1851,1.870337307252612e-08
1852,2.018269107395554e-08
1853,5.971931837933653e-09
1854,1.2469595134234623e-08
1855,1.539011762474729e-08
1856,2.640366475459288e-08
1857,5.369660049936442e-09
1858,1.4191660291373864e-08
1859,9.675129586383946e-09
1860,2.0597327482496652e-08
1861,5.659156532278331e-09
1862,4.517986429419807e-09
1863,8.490855130105501e-09
1864,5.7536736486341056e-09
1865,5.177528628053096e-09
1866,1.4596838404656864e-08
1867,1.9896527092555516e-08
1868,1.4819621974027086e-08
1869,9.767038733343725e-09
1870,1.490852685748223e-08
1871,1.274541272522356e-08
1872,1.874675148449967e-08
1873,1.1373408437265198e-08
1874,8.961913877669758e-09
1875,6.865832347102696e-09
1876,6.04601479992084e-09
1877,9.89570592135891e-09
1878,1.1474268202249505e-08
1879,1.5273313280772527e-08
1880,8.984985200299889e-09
1881,1.673401861523871e-08
1882,1.2645232194685718e-08
1883,8.847074461915128e-09
1884,1.1883054540362536e-08
1885,2.1915161241281567e-08
1886,1.613365974151293e-08
1887,3.9173548849191775e-09
1888,6.974675947901687e-09
1889,1.1277246414476139e-08
1890,2.818386235503567e-08
1891,8.28648560879941e-09
1892,1.8805537571608966e-08
1893,3.079208221734575e-09
1894,1.1972924873759894e-08
1895,1.444467478961542e-08
1896,9.435246361988447e-09
1897,1.2818770045441852e-08
1898,1.0750873968845553e-08
1899,1.326618814800895e-08
1900,5.7101584571839226e-09
1901,1.5089595351014395e-08
1902,1.0311596021495006e-08
1903,7.020286352243943e-09
1904,1.0749250378694342e-08
1905,1.651442893546573e-08
1906,1.2346042410626978e-08
1907,1.2857108044883603e-08
1908,7.858222739187681e-09
1909,1.4852655993990993e-08
1910,5.34415089958884e-09
1911,9.57667334322565e-09
1912,1.4065437148325088e-08
1913,4.772690687104841e-09
1914,1.3393487485746647e-08
1915,2.3561523843085297e-09
1916,5.493730803607377e-09
1917,5.483212106582869e-09
1918,5.743188147278033e-09
1919,2.762354567309444e-09
1920,6.815008557481406e-09
1921,7.572747762196741e-09
1922,5.90234855435412e-09
1923,7.431163684401554e-09
1924,7.734974660777993e-09
1925,7.698724324711748e-09
1926,6.687683296036084e-09
1927,1.3379070296082318e-08
1928,7.998228634953364e-09
1929,1.0026365959703298e-08
1930,1.260432402894196e-08
1931,5.7026783295555106e-09
1932,6.575721855917038e-09
1933,1.3764794637438627e-08
1934,3.5944740517379614e-09
1935,4.787313656606784e-09
1936,1.2124715009775855e-08
1937,2.5182236296217297e-09
1938,3.8895642262559704e-09
1939,3.058810094103137e-09
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
1942,0.0
1943,5.806470415592457e-09
1944,3.2131861615880553e-09
1945,8.714016175304096e-09
1946,5.568441707737293e-09
1947,1.7881307101674793e-08
1948,6.523132922708896e-09
1949,1.2762110479513922e-08
1950,1.0635361036293034e-08
1951,7.462981344019681e-09
1952,2.1089607837865287e-09
1953,9.69644453618912e-09
1954,8.795282724349818e-09
1955,1.3139850985055546e-08
1956,6.104799332717903e-09
1957,1.236905244894615e-08
1958,9.099467845885556e-09
1959,1.0851046838844525e-08
1960,1.1765417085030094e-08
1961,1.250668635321972e-08
1962,1.648908676266103e-08
1963,1.4871922138226523e-08
1964,1.8251904876365188e-08
1965,6.5664522708175355e-09
1966,1.1078149397825143e-08
1967,4.437301970305896e-09
1968,8.98283178396575e-09
1969,1.0446043141598693e-08
1970,6.438214850135182e-09
1971,7.707596338946132e-09
1972,6.156176013405457e-09
1973,7.718485461882807e-09
1974,6.18812873165453e-09
1975,2.2845920710778955e-09
1976,7.427584713948221e-09
1977,8.22749468554207e-09
1978,8.316828115084718e-09
1979,8.192762912528906e-09
1980,1.0801786132219604e-08
1981,1.5181319090729062e-08
1982,1.3656504593839713e-08
1983,8.84144257806696e-09
1984,1.1018115864125377e-08
1985,1.3234227602687554e-08
1986,1.558566253834215e-08
1987,1.0388388649307245e-08
1988,1.1993107784658008e-08
1989,9.329808037250586e-09
1990,5.993516016822298e-09
1991,8.20605094986604e-09
1992,5.5099441120809445e-09
1993,1.3294098266669607e-08
1994,1.1077346151466827e-08
1995,7.0491861237087505e-09
1996,5.871901187504136e-09
1997,1.2466725540782875e-08
1998,1.0013071261028017e-08
1999,6.8553016596695215e-09
2000,7.510653765585573e-09
2001,1.0076786682855499e-08
2002,1.4019908789464353e-08
2003,1.3334153337041244e-08
2004,1.409533237350935e-08
2005,1.0808999029165989e-08
2006,6.588623757686207e-09
2007,1.5977918377263478e-08
2008,1.4049551022576878e-08
2009,2.4317782232330387e-08
2010,2.3618964561933353e-08
2011,3.6710130491002246e-08
2012,3.302125195503436e-08
2013,4.9088600739821686e-08
2014,4.569089284700567e-08
2015,4.034167244704179e-08
2016,4.764082062180819e-08
2017,4.4023196643649953e-08
2018,4.878972070798682e-08
2019,4.5407582582868145e-08
