year,aux_ADP eaux_NOUN,aux_ADP chaux_NOUN
1800,3.361111790667337e-06,3.144164484325529e-09
1801,2.771696440362348e-06,1.1905912700171939e-08
1802,3.0389869323244056e-06,6.713520406265161e-09
1803,3.5242629508047685e-06,3.900678446910888e-09
1804,3.8115940714789076e-06,4.69651695311768e-08
1805,3.5933974196211693e-06,2.842877711017877e-09
1806,3.942123427691513e-06,0.0
1807,2.7359237684265736e-06,2.8469551160981155e-09
1808,2.984419516849357e-06,6.798221985349073e-09
1809,3.535382673724996e-06,1.8072244145628247e-08
1810,3.3908437382379475e-06,0.0
1811,2.9458152894790146e-06,5.0141535368197765e-09
1812,3.7740995573187774e-06,2.6672082320544632e-09
1813,3.3847480125359652e-06,2.5881675469463516e-08
1814,3.2379308390062533e-06,0.0
1815,3.1935125974769107e-06,2.1577788444915313e-08
1816,2.6374332460221694e-06,2.3176038865813098e-09
1817,2.7930308359458422e-06,1.120948880384276e-07
1818,3.6979491540023446e-06,8.583247490534518e-08
1819,2.961435393800116e-06,2.070209959015301e-08
1820,2.535867004382908e-06,4.153268307049984e-08
1821,3.0827011983092234e-06,2.9584463767662328e-09
1822,3.5129758657603816e-06,9.323822780515911e-08
1823,2.967770878825604e-06,6.81905376609393e-08
1824,2.752019703677888e-06,4.8000341479337294e-08
1825,3.0484444017986334e-06,1.2855946351919556e-07
1826,2.805343047640463e-06,3.963592831723872e-08
1827,3.2039241801840035e-06,1.3825909306319772e-08
1828,3.0020940897657056e-06,2.3389368664084031e-07
1829,3.2749532152820393e-06,4.543783305166471e-08
1830,3.222894797261233e-06,5.218417697960831e-09
1831,4.0007034911582195e-06,3.1182412207897414e-09
1832,3.7302125157623323e-06,6.764984572527055e-09
1833,4.814155886379012e-06,3.4750886612755494e-08
1834,3.110265744510343e-06,5.6940637760405366e-08
1835,3.806502121506128e-06,1.285724948729694e-08
1836,2.7373615081316416e-06,1.2097349788575684e-08
1837,3.3655317466241286e-06,1.3915781860163179e-09
1838,3.2791682169630576e-06,1.1361891427696946e-08
1839,2.9154452469981607e-06,5.942753844578874e-08
