year,quelques_DET oies_NOUN,quelques_DET choix_NOUN
1800,5.0306631749208464e-08,1.5720821977538435e-08
1801,1.6668277424969347e-08,0.0
1802,2.9091921760482364e-08,6.713520406265161e-09
1803,4.4857802805609026e-08,3.900678446910888e-09
1804,2.4718509905596875e-08,7.4155526164076946e-09
1805,5.4014676953428875e-08,3.695741046527701e-08
1806,5.76333825108577e-09,0.0
1807,5.693910232196231e-09,0.0
1808,3.852325747288887e-08,2.2660739951163578e-09
1809,3.162642769893864e-08,0.0
1810,1.2870697219113936e-07,2.3401267590372754e-09
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,4.315557688983063e-08,3.506390555685357e-08
1816,1.8540831092650478e-08,1.1588019432906549e-08
1817,1.2454987263765815e-08,7.784366928831332e-09
1818,3.695565098382758e-08,1.0729059418679299e-08
1819,1.035105001712111e-09,5.6930773539853874e-08
1820,3.5599443393152796e-09,4.6279274634741796e-08
1821,9.861488514673056e-09,2.9584464655840748e-08
1822,1.804610860745015e-08,5.012807946513931e-09
1823,8.894418535021487e-09,3.95307486744656e-09
1824,1.431589158329416e-08,1.6842225392110777e-08
1825,3.522177216552791e-09,8.805443485471187e-09
1826,1.8496766784892316e-08,1.4092774947016551e-08
1827,1.013900030599757e-08,4.7929820112813104e-08
1828,1.0089530988466322e-08,2.4765213879618386e-08
1829,9.430493552731178e-09,6.001223074036943e-09
1830,9.39315203396518e-09,2.922313990794123e-08
1831,3.1182412207897414e-09,5.14509785887185e-08
1832,1.0823975493678972e-08,2.570694235259907e-08
1833,2.0850531967653296e-08,2.3167256557599103e-08
1834,1.8669061851994684e-08,1.0267983796552471e-08
1835,7.563087933704082e-09,1.5126175867408165e-08
1836,1.949017514046858e-08,2.1506400216253496e-08
1837,1.7394727436226276e-08,1.7394727880315486e-08
1838,3.787297142565649e-09,1.830527018853445e-08
1839,4.894032734625853e-09,1.4682097426721441e-08
1840,4.458782232319436e-09,7.006657365415947e-09
1841,4.494383976094696e-09,1.3483151484194877e-08
1842,6.708265054555795e-10,1.1404050592744852e-08
1843,1.594865972620596e-08,1.7720733325177207e-08
1844,4.9397050894128824e-09,8.232841963717874e-09
1845,1.562463802784464e-08,9.486387342327873e-09
1846,8.196302303531411e-09,4.0981509297211005e-09
1847,1.0786447290911383e-08,1.6179670936367074e-08
1848,1.6090443422100975e-09,4.183515400768556e-08
1849,4.189707469848258e-09,3.016589289472904e-08
1850,1.8330290174617403e-08,2.4440385715251978e-08
1851,9.029214709244116e-09,1.1608989991529484e-08
1852,1.9531636308300904e-09,2.0833745395520964e-08
1853,2.388772735173461e-09,8.957897534855874e-09
1854,8.832629572186335e-09,1.8184826089395756e-08
1855,2.1227748447927297e-09,1.8043586180738203e-08
1856,3.1063135952358323e-09,1.0354378687793542e-08
1857,0.0,1.4156376737517462e-08
1858,8.80861672492017e-09,8.808616946964776e-09
1859,3.055304009791371e-09,1.323965115318515e-08
1860,1.327383358784573e-08,1.4646988594213539e-08
1861,1.8863854922557266e-09,1.0846716413936974e-08
1862,4.066187636597718e-09,2.4848924917719728e-08
1863,6.493007298491449e-09,1.748117206545885e-08
1864,1.102787461348953e-08,2.1576276321155774e-08
1865,0.0,1.5061901947888146e-08
1866,8.758103242634263e-09,1.6543083902753608e-08
1867,5.338092634588065e-09,1.261730986357179e-08
1868,2.3711396401893126e-08,8.397785578040384e-09
1869,9.767038400276817e-09,1.6115613732381462e-08
1870,3.4404292748035914e-09,8.027668307875047e-09
1871,8.496941816815706e-09,4.248470730772169e-08
1872,5.442605477412599e-09,1.2094678591978436e-08
1873,5.986004469882289e-10,2.4542617493850116e-08
1874,6.572069888299836e-09,1.732636717433067e-08
1875,5.721527251978387e-09,2.345826111138649e-08
1876,3.02300739996042e-09,8.464420719889176e-09
1877,6.80329748092845e-09,1.2988113695655557e-08
1878,9.058632954861423e-09,3.0195443923020093e-09
1879,7.94212295929242e-09,6.109325489944695e-09
1880,6.417846032391594e-09,1.0910338410496934e-08
1881,1.3945015142624584e-09,1.2550513517339823e-08
1882,5.989846396659004e-09,1.5972924316542958e-08
1883,6.319338829996468e-09,1.327061183165057e-08
1884,7.2618666635548834e-09,3.300848483434038e-09
1885,6.445635636342928e-09,1.3535834730848961e-08
1886,1.0325542088018835e-08,9.680196200179125e-09
1887,1.0446279397058333e-08,8.48760173255414e-09
1888,1.141310668195672e-08,5.706553007911452e-09
1889,3.7590820456401275e-09,2.9446143023914573e-08
1890,7.209825181320184e-09,5.243509015873116e-09
1891,1.0836173736095134e-08,1.4023283867459213e-08
1892,8.149066088591894e-09,1.817868611198037e-08
1893,3.0792082772457263e-09,1.7243566574620672e-08
1894,6.301539290376468e-09,2.0164925729204697e-08
1895,3.0093072478365457e-09,9.629782971032341e-09
1896,6.486731818355906e-09,8.255840677762194e-09
1897,8.157398867503218e-09,2.0393497557336104e-08
1898,7.355861253444118e-09,4.52668391659472e-09
1899,6.080336234504102e-09,1.0502398950507086e-08
1900,4.6719478286050276e-09,1.5573159428683425e-09
1901,7.265360535413379e-09,5.029865024486213e-09
1902,3.928227076954727e-09,4.419255628107521e-09
1903,3.2401321625741275e-09,7.020286130199338e-09
1904,1.0211787859759625e-08,1.0749250378694342e-09
1905,5.160758931310738e-09,4.1286072338664326e-09
1906,7.716276506641861e-09,5.144184633820714e-09
1907,1.131425531042396e-08,8.228549397415463e-09
1908,5.893666887857307e-09,7.858222517143076e-09
1909,8.251475669407426e-09,1.2102163715610459e-08
1910,1.0688301688155377e-08,5.878565967343263e-09
1911,3.7242618988742038e-09,4.25629931299909e-09
1912,6.772247651554153e-09,6.251305584292766e-09
1913,1.1136278676993072e-08,7.954484182448596e-09
1914,2.678697486047099e-09,6.696743715117748e-10
1915,2.3561523843085297e-09,2.0027295377644805e-08
1916,0.0,4.394984820521586e-09
1917,2.1932848870420685e-09,8.773139770212879e-09
1918,3.44591288836682e-09,1.1486376294556067e-08
1919,7.366278753639932e-09,9.207848372660976e-10
1920,5.300562211374427e-09,4.543339038320937e-09
1921,1.5145494858259667e-09,7.572747429129834e-09
1922,1.180469710870824e-08,0.0
1923,3.1847844361720945e-09,7.431163684401554e-09
1924,2.578324886925998e-09,1.1602462102189293e-08
1925,3.299453377181294e-09,7.698724324711748e-09
1926,7.802297030679028e-09,6.687682962969177e-09
1927,1.3379070296082318e-08,5.574612438330462e-09
