year,trois_DET arts_NOUN,trois_DET chars_NOUN
1800,3.144164395507687e-08,2.829747991484055e-08
1801,3.095537337571841e-08,1.1905912700171939e-08
1802,5.594600338554301e-08,3.3567602031325805e-08
1803,9.751696339321825e-09,4.290746247193056e-08
1804,7.4155526164076946e-09,2.9662210465630778e-08
1805,2.5585899399160894e-08,8.528632911009026e-09
1806,5.76333825108577e-09,5.187004603612877e-08
1807,2.2775641372874134e-08,0.0
1808,6.798221985349073e-09,4.5321479902327155e-09
1809,2.4849335478194234e-08,4.518061147429364e-08
1810,1.8721014072298203e-08,2.3401267590372754e-09
1811,3.5099073869560016e-08,2.0056614147279106e-08
1812,2.6672082320544632e-09,2.9339290108509886e-08
1813,1.4378708002027452e-08,1.4378708002027452e-08
1814,1.2586708564299443e-08,5.034683425719777e-08
1815,1.3486118000116676e-08,1.3486117778072071e-08
1816,2.7811246638975717e-08,2.3176038865813098e-09
1817,1.401186100480345e-08,1.401186100480345e-08
1818,2.384235475716423e-09,1.6689648107970356e-08
1819,1.3456364911235141e-08,3.415846538956657e-08
1820,3.085285271708926e-08,2.7292905713238724e-08
1821,9.86148829262845e-10,3.155676253641104e-08
1822,9.023054303725075e-09,2.90742860897808e-08
1823,5.929612356680991e-09,7.906149512848515e-09
1824,2.7789671008804362e-08,2.189489300974401e-08
1825,1.0566531649658373e-08,1.2327619813845558e-08
1826,1.0569580766173203e-08,2.4662355713189754e-08
1827,3.6869092223668076e-09,6.452091305675367e-09
1828,2.7516903755575584e-09,7.337841001486822e-09
1829,9.430493552731178e-09,8.57317605795771e-10
1830,1.4611570398059825e-08,7.305785310052215e-09
1831,4.677361609140007e-09,9.354723218280014e-09
1832,1.0823975493678972e-08,2.3000948701223933e-08
1833,2.0850531967653296e-08,1.3900354645102198e-08
1834,3.640467127752345e-08,2.5203233278148218e-08
1835,2.3445572594482655e-08,1.663879345414898e-08
1836,1.5457725766054864e-08,2.2178475944656384e-08
1837,4.87052354003481e-09,1.461157062010443e-08
1838,1.5780404538645598e-08,3.092959488526503e-08
1839,8.38977065598101e-09,5.5931801412612e-09
1840,3.821813265858509e-08,9.554533164646273e-09
1841,8.346713542550788e-09,4.687000387804119e-08
1842,1.0733224087289273e-08,2.884554062276834e-08
1843,1.8311423488626133e-08,3.366939355098353e-08
1844,9.330554107123135e-09,2.6345093329105396e-08
1845,1.3392547515422848e-08,3.3481366346066466e-08
