year,quelques_DET chantiers_NOUN
1800,3.144164484325529e-09
1801,1.1905912700171939e-08
1802,1.3427040812530322e-08
1803,1.950339267864365e-08
1804,2.4718509461507665e-09
1805,1.7057265822018053e-08
1806,0.0
1807,8.540865792383556e-09
1808,0.0
1809,9.036122072814123e-09
1810,1.4040760554223652e-08
1811,0.0
1812,5.3344164641089264e-09
1813,0.0
1814,0.0
1815,8.091670444798638e-09
1816,4.6352077731626196e-09
1817,4.670620334934483e-09
1818,0.0
1819,4.140420006848444e-09
1820,0.0
1821,0.0
1822,9.023054303725075e-09
1823,1.4824030003524058e-08
1824,1.6000115010683658e-08
1825,8.805443041381977e-10
1826,1.7615968683770689e-09
1827,1.8434546111834038e-09
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,9.470978667991403e-09
1833,2.3167257001688313e-09
1834,2.240287466648283e-08
1835,2.4201881387853064e-08
1836,2.688300027031687e-09
1837,1.461157062010443e-08
1838,8.2058102535143e-09
1839,1.4682097537743743e-08
1840,8.280594876453051e-09
1841,3.852329122366882e-09
1842,1.408735705865638e-08
1843,3.5441465873198297e-09
1844,1.0977122322231025e-08
1845,6.138250796539069e-09
1846,1.2294452345074092e-08
1847,2.2112217834546755e-08
1848,3.2180887510335765e-08
1849,2.5976186535103807e-08
1850,2.0366988096043315e-09
1851,0.0
1852,5.208436348880241e-09
1853,4.777545470346922e-09
1854,1.4028294081924741e-08
1855,1.8043586180738203e-08
1856,0.0
1857,9.274867152075927e-09
1858,1.9574704079872163e-09
1859,8.14747713739905e-09
1860,2.746310290291376e-09
1861,7.545541969022906e-09
1862,5.873382225018986e-09
1863,4.994620717013731e-09
1864,1.102787461348953e-08
1865,9.88437293125699e-09
1866,9.731225825149181e-09
1867,1.1161466417775046e-08
1868,5.433861360870651e-09
1869,3.906815315701806e-09
1870,1.0894693147633916e-08
1871,1.911811908783534e-08
1872,1.0885210732780592e-08
1873,8.380406590902112e-09
1874,9.559374625212058e-09
1875,1.2587359599081083e-08
1876,1.4510435741854621e-08
1877,1.4843558382438005e-08
1878,1.3285995359435532e-08
1879,9.774920428640144e-09
1880,2.3104247182104132e-08
1881,1.3945015142624584e-08
1882,2.2628309670480462e-08
1883,7.583206784733676e-09
1884,1.5844072720483382e-08
1885,1.8692343672910283e-08
1886,1.4197620856748472e-08
1887,1.1752064210668323e-08
1888,8.242799331981132e-09
1889,1.816889694250534e-08
1890,2.2940351840361473e-08
1891,1.5298128430707436e-08
1892,1.1283322720601063e-08
1893,1.4780200174868696e-08
1894,8.822155450616265e-09
1895,1.504653623918273e-08
1896,9.435246750566506e-09
1897,9.905412934330116e-09
1898,1.8672571266975524e-08
1899,1.2160672469008205e-08
1900,2.0245106924221545e-08
1901,1.3412973176585297e-08
1902,2.2587305914534284e-08
1903,1.3500550899436803e-08
1904,2.3110888314192835e-08
1905,1.7030504839699034e-08
1906,1.388929815604456e-08
1907,2.3657079850636364e-08
1908,2.6521501439447093e-08
1909,2.0353639218484432e-08
1910,2.2445433733864206e-08
1911,2.128149700908466e-08
1912,1.9274857931961265e-08
1913,1.0605979705591295e-08
1914,2.67869753045602e-08
1915,2.827382927783617e-08
1916,6.592477230782379e-09
1917,1.9739564316445524e-08
1918,1.378365155346728e-08
1919,1.565334223352366e-08
1920,1.3630017559052021e-08
1921,2.423279138463741e-08
1922,2.2871599725249325e-08
1923,1.0615948120573648e-08
1924,3.093989930924579e-08
1925,1.3197813952814386e-08
1926,1.6719207018844884e-08
1927,1.1149224765638621e-08
1928,9.14083297942625e-09
1929,1.6710609340719884e-08
1930,1.2604324250986565e-08
1931,2.2810713318222042e-08
1932,2.082311967299688e-08
1933,2.6382523721224516e-08
1934,1.1981580172459871e-08
1935,2.6330225111337313e-08
1936,2.7886843056990074e-08
1937,2.8959572295761404e-08
1938,2.463390735840676e-08
1939,2.5999886688055085e-08
1940,1.7750480196809804e-08
1941,5.9030051957620344e-09
1942,1.2136847082899749e-08
1943,1.161294105322952e-08
1944,9.639558484764166e-09
1945,2.6142048081823077e-08
1946,1.2528993842408909e-08
1947,1.7881307101674793e-08
1948,1.0871888278529696e-08
1949,2.4542520904446974e-08
1950,2.5524867108828175e-08
1951,1.3859822178829972e-08
1952,3.47978517112324e-08
1953,3.232148149123759e-08
1954,1.9545072671434127e-08
1955,2.7218263198847126e-08
1956,3.575668205968441e-08
1957,2.2971098467827744e-08
1958,2.8952852559882558e-08
1959,3.797866554577922e-08
1960,2.283875055741902e-08
1961,3.5435612832923624e-08
1962,2.2831042667537105e-08
1963,3.556329186693574e-08
