year,leurs_DET chantiers_NOUN
1800,3.458580977167003e-08
1801,8.572257570449437e-08
1802,3.3567602031325805e-08
1803,2.3404069793286908e-08
1804,3.9549615138412264e-08
1805,6.822906328807221e-08
1806,1.729001475325731e-08
1807,3.701041606518629e-08
1808,4.078933102391602e-08
1809,4.969867006821005e-08
1810,1.8721014072298203e-08
1811,4.262030373070047e-08
1812,9.335229123053068e-08
1813,3.4508900625951355e-08
1814,5.034683425719777e-08
1815,3.776112933451259e-08
1816,1.1588019432906549e-08
1817,6.383181272440197e-08
1818,6.079800130009971e-08
1819,3.2088255608186955e-08
1820,3.797273961936298e-08
1821,4.536284592404627e-08
1822,4.110502516141423e-08
1823,2.3718449426723964e-08
1824,2.7789671008804362e-08
1825,3.3460683113162304e-08
1826,6.958307352533666e-08
1827,3.2260455640198415e-08
1828,4.677873494118856e-08
1829,6.001223340490469e-08
1830,1.878630406793036e-08
1831,1.7150327158432788e-08
1832,4.6001897402447867e-08
1833,9.614411311531512e-08
1834,8.401077877806529e-08
1835,5.067268915581735e-08
1836,4.435695144522356e-08
1837,6.95789097449051e-08
1838,4.607878167917079e-08
1839,3.216078614531881e-08
1840,4.9046601446889326e-08
1841,2.5682194149112547e-08
1842,4.22620693996123e-08
1843,6.792947715439368e-08
1844,5.1043619997415135e-08
1845,6.640470928687137e-08
1846,6.732676638421253e-08
1847,3.020205241455187e-08
1848,1.0941501216166216e-07
1849,7.876650287563791e-08
1850,5.363306954109248e-08
1851,5.0305623222612894e-08
1852,5.208436348880241e-08
1853,6.987159895111006e-08
1854,2.1302223984775992e-08
1855,3.874064091746732e-08
1856,5.228961086345407e-08
1857,4.29572786231347e-08
1858,4.4532452392331834e-08
1859,4.532034347803915e-08
1860,3.936378267788143e-08
1861,4.857442559291769e-08
1862,6.551080400374332e-08
1863,7.192254258825415e-08
1864,6.233146621070773e-08
1865,6.448377010137563e-08
1866,9.001384171369864e-08
1867,6.26012663929032e-08
1868,5.977247563571098e-08
1869,8.643828985910318e-08
1870,1.0550649598428663e-07
1871,6.054071377548098e-08
1872,1.0582844112150269e-07
1873,6.285304854358742e-08
1874,7.587753925175633e-08
1875,8.010137975134057e-08
1876,5.441413364337677e-08
1877,5.1952454782622226e-08
1878,5.737134145533673e-08
