year,six_DET ans_NOUN,six_DET champs_NOUN
1800,6.759953720347767e-06,2.2009151834367913e-08
1801,7.886476510066132e-06,1.4287095950749062e-08
1802,7.107380127990837e-06,2.2378401354217203e-09
1803,7.389835104731901e-06,0.0
1804,7.1930861622604425e-06,0.0
1805,7.68145565643863e-06,0.0
1806,6.962112436781354e-06,2.881669125542885e-09
1807,6.9693459607833574e-06,0.0
1808,8.413932434336857e-06,0.0
1809,9.476632953919761e-06,0.0
1810,7.1186657208954784e-06,0.0
1811,9.504328119191996e-06,7.521229861140455e-09
1812,7.758908907362638e-06,0.0
1813,8.233248465217002e-06,0.0
1814,8.341840668890654e-06,0.0
1815,8.078184919213527e-06,2.697223555614414e-09
1816,7.103455928358926e-06,0.0
1817,7.508800294431239e-06,0.0
1818,9.274676045833985e-06,0.0
1819,8.741461670069839e-06,0.0
1820,9.78510053073478e-06,0.0
1821,9.401943003695123e-06,0.0
1822,8.174887526024577e-06,0.0
1823,8.049448595670583e-06,0.0
1824,8.182794758226919e-06,0.0
1825,8.92431688725992e-06,7.924898959288385e-09
1826,8.252200728975367e-06,0.0
1827,8.277110993049064e-06,0.0
1828,8.341290694602321e-06,6.420610709767516e-09
1829,8.215674355938063e-06,0.0
1830,7.826583114933783e-06,0.0
1831,8.09495422515738e-06,0.0
1832,8.316872239788609e-06,2.705993873419743e-09
1833,8.112014782568622e-06,0.0
1834,8.397344146260366e-06,1.120143711119681e-08
1835,7.983595736504867e-06,0.0
1836,9.062259721304144e-06,2.016224964762614e-09
1837,9.680513755938591e-06,2.0873671680021744e-09
1838,8.56118555248031e-06,3.787297142565649e-09
1839,8.098225379171708e-06,5.5931801412612e-09
1840,8.282506257728528e-06,6.3696887764308485e-09
1841,8.23692136009413e-06,6.420548537278137e-10
1842,8.677811962343185e-06,1.341653010911159e-09
1843,9.178749195370983e-06,1.1813822142769936e-09
1844,8.18783567524406e-06,3.841992946007622e-09
1845,8.483620376864565e-06,6.138250796539069e-09
1846,8.659393159859974e-06,5.269050973311096e-09
1847,8.745651399522103e-06,1.1865092020002521e-08
1848,9.116845689050024e-06,8.045221711050488e-10
1849,7.959606250551587e-06,1.6758829879393033e-09
1850,8.359969399407419e-06,1.1541293254424545e-08
1851,7.934099699014041e-06,5.159551008659946e-09
1852,8.295086217913195e-06,1.9531636308300904e-09
1853,8.6885632697431e-06,5.971931837933653e-10
1854,8.29332003604577e-06,2.5978321716024766e-09
1855,8.936351576949164e-06,1.0613874223963649e-09
1856,8.318707813259607e-06,2.0708756931497874e-09
1857,8.520673929979239e-06,3.905207268672939e-09
1858,8.792957231662513e-06,1.1255455234504552e-08
1859,8.425509747667093e-06,5.601390462572908e-09
1860,8.256781939053326e-06,9.154367819341758e-10
1861,8.391113908601255e-06,1.8863854922557266e-09
1862,8.504657046159991e-06,5.421583626485926e-09
1863,9.00729875752404e-06,1.4983863039219614e-09
1864,8.913879014471604e-06,4.794728170054441e-09
1865,8.438900920282322e-06,4.706844247692743e-09
1866,8.401940647217998e-06,3.8924903300596725e-09
1867,9.219371634117124e-06,1.455843445796745e-09
1868,8.474848101513999e-06,1.1361710683388537e-08
1869,8.290750784567535e-06,4.883519144627257e-10
1870,9.004749870200612e-06,5.160643912205387e-09
1871,7.561216136764415e-06,1.0621177271019633e-09
1872,8.254617711145329e-06,6.047339295989218e-10
1873,8.536042628293217e-06,1.0774807712721213e-08
1874,8.848395907534723e-06,0.0
1875,9.37243396492704e-06,0.0
1876,1.0109541591418747e-05,2.418405919968336e-09
1877,8.723682753952744e-06,7.421779191219002e-09
1878,9.005488635693837e-06,1.8117265465633636e-09
1879,9.308778459171663e-06,2.443730107160036e-09
1880,9.038252812842984e-06,6.417846254436199e-10
1881,8.993837383286518e-06,9.761510710859511e-09
1882,9.235012072394966e-06,2.0631693686823382e-08
1883,9.712824123653263e-06,8.847074184359371e-09
1884,9.60612931066862e-06,2.3105940272216685e-08
1885,9.295251317098518e-06,6.445635691854079e-10
1886,8.962570746007259e-06,3.872078380151578e-09
1887,9.25409787555509e-06,0.0
1888,9.33401850033988e-06,1.268122939990235e-08
1889,8.90589154778354e-06,3.759081934617825e-09
1890,8.727821324328033e-06,3.932631831293776e-09
1891,8.660015652139919e-06,6.374220040683554e-10
1892,9.039194992510602e-06,1.0656471260972467e-08
1893,8.597765742024421e-06,1.7243566574620672e-08
1894,8.841059724318256e-06,6.301539068331863e-09
1895,8.795001605221842e-06,3.0093072478365457e-09
1896,8.83846732335769e-06,4.127920338881097e-09
1897,8.67306337681839e-06,3.496028022631492e-09
1898,8.799873086218213e-06,1.13167097914868e-09
1899,9.519595380425017e-06,4.9748205555033564e-09
1900,9.252533004655561e-06,3.114631885736685e-09
1901,8.830207377741317e-06,3.353243460679778e-09
1902,7.725840589500876e-06,5.892340837476695e-09
1903,8.553949015777107e-06,5.400220270956879e-09
1904,9.039582124614753e-06,1.1824175416563776e-08
1905,9.115964360262296e-06,2.0643036169332163e-09
1906,9.140701195065049e-06,2.0576738091193647e-09
1907,9.28437549418959e-06,2.057137349353866e-09
1908,9.266317562151016e-06,2.0136695866312948e-08
1909,9.199295163853094e-06,4.400786846048277e-09
1910,8.924197516080312e-06,1.2291546447329438e-08
1911,9.115396665038134e-06,4.788336838146279e-09
1912,9.872894793261366e-06,3.125652625612929e-09
1913,9.067052019418043e-06,7.95448484858241e-09
1914,9.057345749852175e-06,1.0045115850232378e-08
1915,6.9506495208315755e-06,2.3561523843085297e-09
1916,6.81881874697865e-06,1.4283700444650549e-08
1917,6.603980949648758e-06,4.386569774084137e-09
1918,6.936622725106645e-06,0.0
1919,7.513604458608825e-06,3.6831394045755417e-09
1920,8.302195169562765e-06,5.300562211374427e-09
1921,7.881715504254316e-06,4.543648568500203e-09
1922,7.11675654940791e-06,8.853522359686394e-09
1923,7.289971534873985e-06,8.492758496458919e-09
1924,7.915457615581545e-06,1.1602462102189293e-08
1925,8.166147040356009e-06,6.598906754362588e-09
1926,7.673001761077103e-06,6.687683296036084e-09
1927,8.101026736540007e-06,2.2298449753321847e-09
1928,7.646306698916305e-06,4.570416489713125e-09
1929,8.35307687907516e-06,1.0026365737658693e-08
1930,8.281041317559357e-06,7.352522701786768e-09
1931,8.560860919715196e-06,7.983749661377715e-09
1932,8.659129548505007e-06,6.575722188983946e-09
1933,7.585548985389323e-06,8.029463538505865e-09
1934,7.029593177776405e-06,2.3963160344919743e-09
1935,7.556774704653435e-06,1.3165112555668657e-08
1936,7.696768733467252e-06,6.0623572828433225e-09
1937,7.2235244488183525e-06,1.6368453259474336e-08
1938,6.880639119799525e-06,6.482607339819424e-09
1939,6.9832632618727075e-06,4.588215141154706e-09
1940,6.937902242043492e-06,2.028626333583361e-08
1941,6.726474225615675e-06,8.854508237732261e-09
1942,6.9089000476196816e-06,3.034211770724937e-09
1943,6.662924818101601e-06,8.709705845433291e-09
1944,6.410306468751514e-06,1.6065930807940276e-08
1945,7.78161637526864e-06,2.178504043826024e-09
1946,7.978184697776669e-06,5.568441707737293e-09
