year,leurs_DET aises_NOUN,leurs_DET chaises_NOUN
1800,7.860410988769218e-08,8.803660600520402e-08
1801,1.0000967165524344e-07,1.4048977448055666e-07
1802,7.608656460433849e-08,5.594600338554301e-08
1803,3.315576790896557e-08,1.3457341196954076e-07
1804,6.426812149129546e-08,8.157108055684148e-08
1805,5.401467717547348e-08,1.9331568434921564e-07
1806,8.933174200365102e-08,2.2188852710769424e-07
1807,5.4092147649953404e-08,1.822051274302794e-07
1808,1.8128591960930862e-08,1.7222161829977267e-07
1809,4.969867006821005e-08,1.0617443280125372e-07
1810,4.44624070894406e-08,8.89248141788812e-08
1811,5.766276700569506e-08,6.267691787797958e-08
1812,8.801787032552966e-08,1.0668833283489221e-07
1813,4.3136125782439194e-08,3.738464116054274e-08
1814,5.034683425719777e-08,1.258670891957081e-07
1815,1.8880564667256294e-08,2.346584437873389e-07
1816,8.806894413737609e-08,1.2515060632267705e-07
1817,3.269434145636296e-08,1.774835741708003e-07
1818,6.199012148044858e-08,1.0848271614349869e-07
1819,6.93520334493769e-08,8.591371170041384e-08
1820,9.255855104584043e-08,1.5426425648001896e-07
1821,8.480879643002481e-08,7.297501491976277e-08
1822,9.223566621585633e-08,9.825103575167304e-08
1823,8.696764552951208e-08,9.882686669016039e-08
1824,1.9200136591734918e-07,1.2210612965191103e-07
1825,1.2327620879659662e-07,2.0516682752713677e-07
1826,1.3388135755576513e-07,6.78214817639855e-08
1827,9.585964022562621e-08,1.723629991512432e-07
1828,6.604057034564903e-08,9.906085551847355e-08
1829,5.486832677092934e-08,9.859152783064928e-08
1830,7.097048637660919e-08,1.2002361415852647e-07
1831,1.0602020239502963e-07,9.042899762334855e-08
1832,3.92369123858316e-08,1.4341767951009388e-07
1833,7.066013552048389e-08,2.258807541011265e-07
1834,7.187588835222414e-08,1.166816332442977e-07
1835,1.4445498663917533e-07,1.9058981592934288e-07
1836,1.4651234891971399e-07,1.2903839985423105e-07
1837,1.468115016223237e-07,1.5585675372520313e-07
1838,1.1488134532555705e-07,1.1425012758081721e-07
1839,8.94908822601792e-08,1.1535934163475758e-07
1840,1.0573683084658114e-07,1.172022692230712e-07
1841,5.264849889385914e-08,1.232745261425805e-07
1842,1.1940711885927158e-07,1.6032753080708062e-07
1843,1.0159887153804448e-07,1.4294724337560183e-07
1844,9.495210662180398e-08,1.344697482807966e-07
1845,1.0379223880363497e-07,8.481946611738067e-08
1846,7.318126904465316e-08,1.305553836150608e-07
1847,6.417936049274431e-08,7.874106700000993e-08
1848,8.367030801537112e-08,1.2711450686486714e-07
1849,1.1144621936409749e-07,1.3071887394744408e-07
1850,9.708264059327121e-08,1.4528451686146582e-07
1851,7.352360142931502e-08,1.0577079478935048e-07
1852,8.854341615460726e-08,9.961134850300368e-08
1853,1.176470547648023e-07,1.3675723664619e-07
1854,1.2989161746190803e-07,9.6639361069073e-08
1855,1.1091498208770645e-07,1.0348527723635925e-07
1856,8.179959110066193e-08,1.0923869098178329e-07
1857,1.039761414745044e-07,1.2643108959764504e-07
1858,8.368186144025458e-08,9.44479436326695e-08
1859,1.364702484352165e-07,1.1915685860230951e-07
1860,1.0756382096133166e-07,1.597437204736707e-07
1861,1.1365472829538703e-07,1.1931388349539773e-07
1862,1.0617267776069639e-07,7.861296325017975e-08
1863,1.0688488316645817e-07,1.613262594624132e-07
1864,1.0740190248270665e-07,1.117171620768076e-07
1865,1.0778673242839432e-07,1.1955384554562798e-07
1866,9.682569412916564e-08,1.3234466678113677e-07
1867,1.4170208828545583e-07,1.2374669289272333e-07
1868,1.4869020503738284e-07,1.2596679255238996e-07
1869,1.806902076850747e-07,9.083345275939791e-08
1870,1.0607990219568819e-07,1.25575664089439e-07
1871,1.2214353262152144e-07,1.4338588982809597e-07
1872,1.4634561296134052e-07,1.1248051379197932e-07
1873,7.721946104766175e-08,1.3348790650624665e-07
1874,1.200896377895333e-07,1.1053027204610544e-07
1875,6.40811066432434e-08,8.811151985810284e-08
1876,7.799359025284502e-08,9.250402532856583e-08
1877,9.895705943563371e-08,1.0823428264750135e-07
1878,8.515115013096874e-08,7.18651520514868e-08
1879,9.102894438228759e-08,1.23408369745448e-07
1880,1.0717803178295071e-07,1.0974517383743887e-07
1881,6.972507549107831e-08,1.0389036475544344e-07
1882,7.786800892972678e-08,1.2645232061458955e-07
1883,9.163041170268116e-08,1.1753970446948259e-07
1884,1.0034579389639475e-07,1.1618986395234288e-07
1885,9.990735350129398e-08,1.1344318551209653e-07
1886,1.0196472999268735e-07,1.3165066548026516e-07
1887,1.2731402421195526e-07,9.923965255120848e-08
1888,1.2554417594401457e-07,1.4202976528210343e-07
1889,9.02179664308278e-08,1.0776035486159685e-07
1890,9.30722876546497e-08,8.979509252826645e-08
1891,1.032623657692966e-07,9.30636131490914e-08
1892,7.27147408952078e-08,1.0343045420135866e-07
1893,7.574852389780062e-08,9.36079303515136e-08
1894,7.183754746620252e-08,9.137232126477102e-08
1895,8.787176852820267e-08,1.1977042979616215e-07
1896,6.663642437843009e-08,1.0201860267677887e-07
1897,6.292850684985751e-08,1.3226639128394169e-07
1898,1.0071871514583108e-07,1.408930385693452e-07
1899,8.678298257791539e-08,1.2989809583530132e-07
1900,9.084342877940799e-08,1.1731780080737053e-07
1901,1.0506828829193182e-07,9.61263105225818e-08
1902,7.610940144786582e-08,1.0606213152186683e-07
1903,9.50438732161274e-08,1.0260418292773466e-07
1904,7.685714109584296e-08,9.728071415082695e-08
1905,8.050783861790478e-08,1.3314758878779642e-07
1906,7.819160430244665e-08,1.111143861365349e-07
1907,9.514260312926126e-08,1.2702823742882785e-07
1908,1.0264803051995841e-07,1.1492650742184196e-07
1909,9.681730972488367e-08,1.1497055341092022e-07
1910,1.0207327960642942e-07,1.0634860103664323e-07
