year,moins_ADV armé_VERB,moins_ADV charmé_VERB
1800,9.432493897065797e-09,1.2576657937302116e-08
1801,1.4287095950749062e-08,5.714838380299625e-08
1802,4.475680270843441e-09,3.3567602031325805e-08
1803,0.0,3.90067853572873e-08
1804,2.4718509461507665e-09,6.921182915675672e-08
1805,2.842877711017877e-09,7.675770063997334e-08
1806,0.0,3.1698359492793315e-08
1807,0.0,5.124519120158766e-08
1808,1.5862518409903714e-08,1.3596443970698147e-08
1809,2.9367397402779716e-08,2.9367397402779716e-08
1810,0.0,6.31834211617388e-08
1811,0.0,8.273353557797236e-08
1812,5.3344164641089264e-09,4.000812481308458e-08
1813,5.751483289628823e-09,4.026038169513413e-08
1814,0.0,4.72001566720337e-08
1815,0.0,3.236668177919455e-08
1816,0.0,3.9399267848239106e-08
1817,3.113746771532533e-08,2.490997452753163e-08
1818,1.1921176934492905e-08,4.887682791832049e-08
1819,9.315945348475907e-09,6.521161566297451e-08
1820,0.0,3.559944161679596e-08
1821,5.9168927535324656e-09,4.437669787193954e-08
1822,6.015369535816717e-09,2.4061478143266868e-08
1823,9.882686891060644e-10,4.0519015698237126e-08
1824,1.8526447931321854e-08,3.705289586264371e-08
1825,4.4027217427355936e-09,4.138558296062911e-08
1826,1.76159691278599e-08,4.580151724553616e-08
1827,1.3825909306319772e-08,5.899054755786892e-08
1828,1.1923991571904935e-08,3.944089499441361e-08
1829,9.430493719264632e-09,3.5150023336427694e-08
1830,4.174734336004349e-09,1.5655253093882493e-08
1831,6.236482441579483e-09,3.741889287312006e-08
1832,2.1647950987357945e-08,1.6235963684607668e-08
1833,1.3900354645102198e-08,8.224376557564028e-08
1834,1.6802156110884425e-08,4.29388435918554e-08
1835,8.31939672707449e-09,3.327758690829796e-08
1836,1.2769425516978572e-08,6.653542783396915e-08
1837,7.653680356156656e-09,3.965997663613052e-08
1838,5.680945491803868e-09,2.5879863585487328e-08
1839,4.894032734625853e-09,2.7266752411492234e-08
