year,plus_ADV armé_VERB,plus_ADV charmé_VERB
1800,9.432493897065797e-09,2.829747991484055e-08
1801,0.0,3.333655484993869e-08
1802,0.0,4.475680270843441e-09
1803,0.0,1.3652374342143503e-08
1804,4.943701892301533e-09,9.887403784603066e-09
1805,0.0,2.842877755426798e-08
1806,0.0,3.7461699520235925e-08
1807,0.0,1.1387820464392462e-08
1808,0.0,2.039466551195801e-08
1809,0.0,1.3554183553310395e-08
1810,0.0,2.3401266702194334e-08
1811,0.0,1.7549536934780008e-08
1812,0.0,2.6672082320544632e-09
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,5.394447111228828e-09
1816,0.0,0.0
1817,0.0,1.71256075987003e-08
1818,0.0,3.099506074022429e-08
1819,0.0,1.7596784473994376e-08
1820,0.0,1.898636980968149e-08
1821,0.0,1.4792232327920374e-08
1822,0.0,1.804610860745015e-08
1823,0.0,4.15072847204101e-08
1824,1.3473780313688621e-08,8.421112696055388e-09
1825,0.0,1.6730341556581152e-08
1826,0.0,1.3211976401805714e-08
1827,9.217273055917019e-10,7.373818444733615e-09
1828,0.0,8.255071293206129e-09
1829,0.0,3.429270423183084e-09
1830,0.0,6.262101504006523e-09
1831,0.0,9.354723218280014e-09
1832,1.3529969367098715e-09,6.764984572527055e-09
1833,0.0,1.2741991461950875e-08
1834,0.0,5.600718555598405e-09
1835,2.2689263801112247e-09,1.5126175867408165e-08
1836,0.0,1.68018754465038e-08
1837,0.0,6.262101948095733e-09
1838,0.0,1.2624323808552163e-08
1839,0.0,9.788065469251706e-09
1840,3.1848443882154243e-09,7.64362617644565e-09
1841,0.0,2.247191943638427e-08
1842,2.683306021822318e-09,2.0795621225033756e-08
1843,1.7720733769266417e-09,2.3036953678001737e-08
1844,0.0,9.330554107123135e-09
1845,0.0,7.812318791877715e-09
1846,0.0,1.4050803187615202e-08
1847,5.393223645455691e-10,3.775256551818984e-09
1848,2.011305433313737e-08,1.287235473768078e-08
1849,0.0,1.6758829879393033e-09
1850,0.0,4.752297222410107e-09
1851,6.449438760824933e-10,5.8044946626978344e-09
1852,6.510545436100301e-10,8.463708844885787e-09
1853,9.555090940693844e-09,6.569124799682413e-09
1854,1.558699391779328e-09,5.195664343204953e-09
1855,0.0,4.2455496895854594e-09
1856,0.0,1.9155599773057475e-08
1857,4.881509085841174e-10,1.7085282522089074e-08
1858,7.34051397444091e-09,1.468102750479261e-09
1859,5.092173349652285e-09,1.9350258284589472e-08
1860,9.154367819341758e-10,2.3801355553132453e-08
1861,8.960331143725853e-09,1.8863854478468056e-08
1862,5.873382225018986e-09,1.9879140111811466e-08
1863,8.990317823531768e-09,1.3485475847119233e-08
1864,4.794727948009836e-10,1.3904711160250827e-08
1865,0.0,2.3534221682552925e-08
1866,3.8924903300596725e-09,1.702964524952222e-08
1867,1.455843445796745e-09,5.82337378318698e-09
1868,0.0,9.385760613156435e-09
1869,1.4650557433881772e-09,1.2208797528501236e-08
1870,0.0,1.490852596930381e-08
1871,0.0,5.3105884134652115e-09
1872,6.047339295989218e-10,2.4794090336399677e-08
1873,5.986004469882289e-10,8.380406590902112e-09
1874,0.0,7.169530746864439e-09
1875,0.0,1.8881038954532414e-08
1876,0.0,1.9951848173604958e-08
1877,0.0,2.288381928394756e-08
1878,0.0,4.831270938865373e-09
1879,3.0546627449723474e-09,7.331190321480108e-09
1880,3.2089231272180996e-09,8.343199908722454e-09
1881,1.3945015142624584e-09,0.0
1882,0.0,1.6638463051776853e-08
1883,4.423537092179686e-09,1.3270612164717477e-08
1884,5.941527270181268e-09,2.2445769687351458e-08
1885,6.445635691854079e-10,5.80107206715752e-09
1886,6.453463874400711e-10,8.38950331427668e-09
1887,6.528924623161458e-10,5.876032105334161e-09
1888,1.9021844099853524e-09,7.60873763994141e-09
1889,0.0,8.771191772893872e-09
1890,6.554386478008212e-10,4.5880703680722945e-09
1891,2.5496880162734215e-09,3.1871101313640793e-09
1892,1.8805537127519756e-09,3.761107425503951e-09
1893,3.079208221734575e-09,5.542574843531156e-09
1894,6.301539290376468e-10,6.301539290376468e-10
1895,1.8055843487019274e-09,1.625025980445116e-08
1896,5.89702897624278e-10,1.0024948871034667e-08
1897,5.826713556089658e-10,5.826713556089658e-10
1898,1.6975064687230201e-09,9.05336783318944e-09
1899,1.6582735185011188e-09,1.492446166651007e-08
1900,6.22926377147337e-09,1.2977633190303095e-08
