year,vieux_ADJ ans_NOUN,vieux_ADJ champs_NOUN
1800,3.0498395631184394e-07,2.5153315874604232e-08
1801,6.714934670526418e-07,0.0
1802,3.938598638342228e-07,0.0
1803,5.363432933336298e-07,0.0
1804,8.577322887504124e-07,0.0
1805,4.09374393939288e-07,0.0
1806,3.630903222529014e-07,8.645007376628655e-09
1807,3.644102548605588e-07,0.0
1808,2.923235342677799e-07,2.7192887941396293e-08
1809,3.7048101830805535e-07,1.8072244145628247e-08
1810,5.148278887645574e-07,0.0
1811,3.3845535085674783e-07,0.0
1812,3.5207148130211863e-07,0.0
1813,4.054795681440737e-07,0.0
1814,3.020809913323319e-07,0.0
1815,2.778140242298832e-07,0.0
1816,1.969963250303408e-07,0.0
1817,2.849078271083272e-07,0.0
1818,3.945909838876105e-07,0.0
1819,4.1611221490711614e-07,0.0
1820,4.4143308741695364e-07,0.0
1821,2.7612168196355924e-07,1.97229765852569e-09
1822,4.280938128431444e-07,1.0025615893027862e-09
1823,3.7158903865019965e-07,9.882686891060644e-10
1824,4.875824402006401e-07,0.0
1825,4.1913909853974474e-07,8.805443041381977e-10
1826,3.1532584898741334e-07,5.284790383086602e-09
1827,2.87578927782306e-07,3.6869092223668076e-09
1828,2.2105245989223476e-07,7.337841001486822e-09
1829,1.8175133220665884e-07,6.001223296081548e-09
1830,1.982998867333663e-07,7.30578508800761e-09
1831,2.1515865000765189e-07,0.0
1832,2.2730348803179368e-07,1.3529969367098715e-09
1833,3.5793411257145635e-07,1.1583628500844156e-09
1834,2.8283628239478276e-07,2.8003592777992026e-09
1835,1.958839845883631e-07,3.025235173481633e-09
1836,2.0565495617574925e-07,6.72075017860152e-09
1837,1.6629358867703559e-07,1.3915781860163179e-09
1838,1.6159134474946768e-07,1.2624323808552163e-09
1839,1.4961756278353278e-07,4.894032734625853e-09
1840,1.4013315308147867e-07,1.910906599622564e-09
1841,1.4189411956522235e-07,7.0626033910059505e-09
1842,1.583150606165873e-07,7.379091560011375e-09
1843,1.6007729186640063e-07,5.31621990873532e-09
1844,1.3227432305029652e-07,4.9397050894128824e-09
1845,9.82120127446251e-08,1.6182660544927785e-08
1846,1.4109348001056787e-07,1.1123552745573306e-08
1847,1.0354989399274928e-07,4.314578916364553e-09
1848,8.769291781618449e-08,3.218088684420195e-09
1849,1.6507446787272784e-07,9.217356655710773e-09
1850,1.4121111746590032e-07,2.0366988096043315e-09
1851,1.238292242078387e-07,5.159551008659946e-09
1852,1.4127883218861825e-07,1.9531636308300904e-09
1853,1.3675723664619e-07,2.388772735173461e-09
1854,1.1638288555104737e-07,7.79349651480743e-09
1855,1.496556194524601e-07,6.8990182455763716e-09
1856,1.2684112959959748e-07,1.4496129630003907e-08
1857,1.4205191689597996e-07,5.36965993891414e-09
1858,1.7421486120383634e-07,1.2723557984983813e-08
1859,1.7771685634215828e-07,1.2730433596175317e-08
1860,1.4418129978821526e-07,4.119465435437064e-09
1861,1.3487655792232545e-07,7.545541969022906e-09
1862,1.5451513490916113e-07,1.3553959066214816e-09
1863,1.1237897012961184e-07,3.4962345241140724e-09
1864,1.2082713851668814e-07,1.4384183844029508e-09
1865,1.1484700479513776e-07,5.177528628053096e-09
1866,1.0217787149713331e-07,5.352174259343201e-09
1867,1.2083501133020036e-07,8.249779526181555e-09
1868,1.1756900164527906e-07,1.0373735981339394e-08
1869,1.0108884396231588e-07,4.8835191446272574e-09
1870,1.2500225921030506e-07,6.307453670473251e-09
1871,1.317025919433945e-07,5.3105884134652115e-09
1872,1.088521059955383e-07,1.2094678925045343e-08
1873,8.260686001904105e-08,5.986004469882289e-10
1874,9.14115219075029e-08,1.7923826867161097e-09
1875,1.2701789842139988e-07,9.726596195136494e-09
1876,6.892457093954363e-08,9.673623679873344e-09
1877,1.4534317926973017e-07,7.4217790801967e-09
1878,1.2863259257756e-07,4.22736201599605e-09
1879,1.0508039594014917e-07,1.0385853066452455e-08
1880,1.2386443870582298e-07,1.0268554451187129e-08
1881,9.831235558976914e-08,4.183504653809678e-09
1882,9.716862336972554e-08,9.983077475794744e-09
1883,1.371296605157113e-07,6.319338829996468e-09
1884,6.667713847718915e-08,5.281357573494461e-09
1885,5.414333870135124e-08,4.511945039809007e-09
1886,1.0196472999268735e-07,3.872078213618124e-09
1887,5.027272109714431e-08,6.528924623161458e-10
1888,1.2998259535379475e-07,1.014498307583267e-08
1889,1.0086870361192268e-07,1.3156787381785051e-08
1890,7.537544632896243e-08,2.6217545912032847e-09
1891,5.5455714687013824e-08,3.824531802365527e-09
1892,9.089342967172342e-08,6.8953636134239105e-09
1893,9.545545509581643e-08,3.6950498771837204e-09
1894,6.679631781025819e-08,4.411077725308132e-09
1895,5.838056083007359e-08,7.824199066419624e-09
1896,5.366296207398591e-08,4.1279202278587945e-09
1897,6.5259193604561e-08,9.905413045352418e-09
