year,les_DET chantiers_NOUN
1800,8.489243854548079e-07
1801,1.1715418537505684e-06
1802,8.705198126790492e-07
1803,1.1955579473088562e-06
1804,8.873944778997611e-07
1805,8.812920915257649e-07
1806,7.809323179230887e-07
1807,1.2839768013250819e-06
1808,1.0242654910896931e-06
1809,8.155100381657121e-07
1810,8.564864057980515e-07
1811,1.0655076301269162e-06
1812,1.0615488470477885e-06
1813,1.2336931831669062e-06
1814,5.16055052912634e-07
1815,6.122697568944346e-07
1816,7.091867626485282e-07
1817,1.021308947635191e-06
1818,7.176548550980044e-07
1819,7.887500237391265e-07
1820,8.496400232260726e-07
1821,7.701822291039662e-07
1822,6.867546886724085e-07
1823,7.145182374657111e-07
1824,7.258998895309787e-07
1825,8.902302965907438e-07
1826,1.0252494061502304e-06
1827,1.2406449924062812e-06
1828,9.429125427118379e-07
1829,9.113286212891758e-07
1830,9.758441799068152e-07
1831,1.1412763143425764e-06
1832,8.131511304299011e-07
1833,1.1456209092486347e-06
1834,8.998487883715711e-07
1835,9.650500274460683e-07
1836,8.380775521898975e-07
1837,1.1334404214080607e-06
1838,1.0755923354199837e-06
1839,9.711159184577767e-07
1840,1.22998688850684e-06
1841,9.695028380107829e-07
1842,9.565985865656046e-07
1843,8.340558271813237e-07
1844,1.0724649089355331e-06
1845,1.1065592369630117e-06
1846,1.1287478351995617e-06
1847,1.1843519480692066e-06
1848,1.2011515799770223e-06
1849,1.1856872659254947e-06
1850,9.321291285502298e-07
1851,1.222813580170623e-06
1852,9.791860187124968e-07
1853,1.0516572179763983e-06
1854,9.731479788666064e-07
1855,1.0603260491848232e-06
1856,1.1576195427798197e-06
1857,9.621454549746389e-07
1858,9.684584818536734e-07
1859,1.055098314939329e-06
1860,1.0088113171491386e-06
1861,1.1794625711658568e-06
1862,1.4059973028057726e-06
1863,1.4569308424139393e-06
1864,1.491639866846306e-06
1865,1.3522763456230713e-06
1866,1.5482380136266904e-06
1867,1.931904259677708e-06
1868,1.314500457594292e-06
1869,1.2912024737188332e-06
1870,1.276399211214141e-06
1871,1.465722419213833e-06
1872,1.5759366562839716e-06
1873,1.57431916969486e-06
