year,vos_DET ans_NOUN,vos_DET champs_NOUN
1800,4.4018303668735825e-08,6.508420256068348e-07
1801,1.1905912700171939e-08,5.167166268194023e-07
1802,2.6854081625060644e-08,3.0210841828193225e-07
1803,3.315576790896557e-08,3.1985564419301227e-07
1804,4.69651695311768e-08,3.584183765337201e-07
1805,3.4114531644036106e-08,7.220909556959754e-07
1806,8.35684019762084e-08,3.198652791525092e-07
1807,3.4163463169534225e-08,2.135216305987342e-07
1808,3.3991110370834576e-08,3.5803967968206507e-07
1809,1.129515236897305e-08,2.4397530129505185e-07
1810,3.7442028144596406e-08,1.474279875957052e-07
1811,9.27618373225414e-08,1.7549536934780008e-07
1812,1.3336041604361526e-08,9.868670503010435e-08
1813,2.5881675469463516e-08,1.8404746526812232e-07
1814,5.349351184236184e-08,1.699205665062209e-07
1815,1.8880564667256294e-08,2.3465845622183679e-07
1816,2.7811246638975717e-08,1.1819780176836048e-07
1817,2.3353100786493997e-08,3.1915904097346015e-07
1818,2.741870730460505e-08,2.384235480157315e-07
1819,3.8298885840504227e-08,3.001804498303784e-07
1820,1.1510486785937246e-07,2.8479554270433027e-07
1821,1.2819934447350079e-08,2.5935713665603544e-07
1822,5.413832582235045e-08,2.1354561852149345e-07
1823,6.324919610278812e-08,2.1346604484051568e-07
1824,2.86317822784099e-08,3.0063373213096156e-07
1825,3.9624492131906663e-08,2.5447729967709165e-07
1826,2.290075862276808e-08,2.0522603505490622e-07
1827,4.147772969531616e-08,2.3596218728938467e-07
1828,1.3758452155343548e-08,1.5684635457091645e-07
1829,1.971830521085849e-08,1.7575010247128375e-07
1830,3.652892388572582e-08,1.4924675184602165e-07
1831,7.795603274018958e-09,1.8709446747422476e-07
1832,2.8412935559885e-08,1.4747666476910837e-07
1833,9.266902800675325e-09,2.351476601214486e-07
1834,9.334531370086552e-09,1.9789206007203575e-07
1835,1.663879345414898e-08,2.117664621437143e-07
1836,2.2178475223011418e-08,1.7205120483865244e-07
1837,1.7394727436226276e-08,1.9482094737455213e-07
1838,1.8936486156917454e-08,2.2092566620557363e-07
1839,1.6080392128969834e-08,1.5451159640633705e-07
1840,1.52872523528913e-08,2.2867182847274847e-07
1841,1.733548060656176e-08,2.0096317232543015e-07
1842,1.60998356868447e-08,1.978938160007715e-07
1843,1.1813821920725331e-08,1.7189111467530438e-07
1844,8.781698090931656e-09,1.789270984708935e-07
1845,6.69627359117797e-09,1.729870717781523e-07
1846,8.781752436348711e-09,2.3827820427868573e-07
1847,3.775256551818984e-09,1.612573878873036e-07
1848,7.24069959545659e-09,1.7699487386835244e-07
1849,8.379414495607307e-09,1.6088476373354865e-07
1850,1.9009188889640427e-08,2.2743136618430526e-07
1851,6.449438760824933e-09,2.0509215303832207e-07
1852,2.6042181744401205e-09,1.5950836562694803e-07
1853,3.5831591027601917e-09,1.773663806936554e-07
1854,1.8184825201217336e-08,1.5327209634818928e-07
1855,4.6701046585440054e-08,1.6716851902742746e-07
1856,4.0899795550330964e-08,2.1381792136843103e-07
1857,1.2203773103180993e-08,2.0697598390739813e-07
1858,1.4681027837859517e-08,1.7372549510064061e-07
1859,1.1202780925145817e-08,1.3494259309965173e-07
1860,6.408057640072684e-09,2.0963501912163451e-07
1861,2.6409397335669382e-08,1.593995788695679e-07
1862,3.5692092836825395e-08,2.164115375791198e-07
1863,1.9479021062807078e-08,1.5683109744202284e-07
1864,2.3014694150447212e-08,1.8891227848705228e-07
1865,7.0602665935837194e-09,1.6238613542718383e-07
1866,1.8489328568183083e-08,1.7370238580838304e-07
1867,2.6690463172940326e-08,1.184086020344921e-07
1868,1.1361710683388537e-08,1.3436457990678718e-07
1869,1.3673853160867111e-08,1.1134423294478779e-07
1870,2.0069171213776826e-08,1.267224756240637e-07
1871,7.434824311758348e-09,1.667524776038931e-07
1872,1.2094679036067646e-08,1.6146395642735456e-07
1873,2.095101514498765e-08,1.0774807956970278e-07
1874,3.2262889249068394e-08,1.2427187012775676e-07
1875,2.2313955128083762e-08,1.4933185354948364e-07
1876,9.069021977836655e-09,1.3059391923420094e-07
1877,3.958282235316801e-08,1.1380061559762567e-07
1878,1.8117266742390115e-08,1.3889903438535356e-07
1879,1.221865097988939e-08,2.1627010937663727e-07
1880,1.8611753915820373e-08,9.498412367747733e-08
1881,1.8825771164188154e-08,1.2411063177175663e-07
1882,1.0648616211028639e-08,9.18443141539882e-08
1883,1.9589950994713945e-08,1.0237329317597244e-07
1884,2.3766109080725073e-08,9.572460424323026e-08
1885,9.023890079618013e-09,1.2633446488941047e-07
1886,1.355227396970804e-08,1.0712750103669677e-07
1887,1.3710741875172516e-08,9.0752051429277e-08
1888,1.7119660356001987e-08,1.6422191606579872e-07
1889,2.192797943223468e-08,9.648310506094049e-08
1890,1.3108772733971819e-08,8.127439343752485e-08
1891,5.736798147637501e-09,8.860165712221146e-08
1892,1.8178685001757344e-08,9.465453465473672e-08
1893,4.926733243593162e-09,9.114456389625047e-08
1894,1.1342770278588432e-08,8.31803155243449e-08
1895,2.2268873856035043e-08,5.898242183555169e-08
1896,1.4152869098893461e-08,8.96348403833791e-08
1897,2.4472196713531957e-08,8.157398889707679e-08
1898,1.3014216371232123e-08,9.279701818076802e-08
1899,3.8693048765026106e-09,8.457194766720022e-08
1900,6.22926377147337e-09,8.98052183728737e-08
1901,1.0618603774048552e-08,7.656572270642314e-08
1902,4.419255628107521e-09,6.28516339529206e-08
1903,1.83607493653426e-08,8.208334656423233e-08
1904,9.674325340824907e-09,7.685713754312928e-08
1905,1.754658074393234e-08,7.844353522301617e-08
1906,1.4403716441790948e-08,7.870602303228225e-08
1907,7.199980611716228e-09,7.662836826183295e-08
1908,1.9154416719402434e-08,7.46531130246808e-08
1909,1.430255680556769e-08,7.866406165346618e-08
1910,6.412980813053082e-09,7.374928268077952e-08
