year,les_DET airs_NOUN,les_DET chairs_NOUN
1800,1.3324968762162825e-05,4.6942376741299086e-06
1801,9.998585923653991e-06,6.005342669368474e-06
1802,9.871112979453756e-06,3.392565702142747e-06
1803,1.2858586558195384e-05,4.474078110661139e-06
1804,1.5327947807008968e-05,3.428457233667359e-06
1805,1.2190259582212093e-05,2.9509069605637706e-06
1806,1.3604359764940455e-05,3.3859613068898398e-06
1807,9.542993836930691e-06,1.9672460211950238e-06
1808,1.1763189775138017e-05,2.5266726098038816e-06
1809,9.46985633731856e-06,2.3606868282399773e-06
1810,1.557588387868236e-05,2.747308755601807e-06
1811,1.0391833313860843e-05,2.271411631227238e-06
1812,1.0028703343323286e-05,5.742499183725158e-06
1813,1.183942828220097e-05,3.097173809862852e-06
1814,1.101022309057953e-05,3.0208099843775926e-06
1815,8.515134723552364e-06,4.218457632987338e-06
1816,7.467319932175087e-06,2.9804384951148677e-06
1817,9.496927731333926e-06,3.2024887133275115e-06
1818,1.0029286769963619e-05,3.128117000983366e-06
1819,9.241417828320664e-06,3.3806530268520874e-06
1820,1.0386730480149708e-05,2.997473103505399e-06
1821,9.884169799079245e-06,2.6734493872027087e-06
1822,9.61155804191094e-06,2.443242536287471e-06
1823,8.369647432004967e-06,1.9043937129481492e-06
1824,9.600068523241134e-06,2.1633838116486004e-06
1825,1.0828053007116978e-05,1.9504056467667397e-06
1826,9.133879913747478e-06,2.241632081734224e-06
1827,6.846590473230663e-06,1.9042885881503935e-06
1828,7.461666939434508e-06,3.0296110082872474e-06
1829,8.055356147451675e-06,2.6199625295930673e-06
1830,9.430724787762301e-06,1.9266398787465278e-06
1831,8.018557679179139e-06,2.271638763318151e-06
1832,9.112434710800699e-06,2.9576512190487847e-06
1833,1.0465808713888691e-05,3.497097438298624e-06
1834,8.686714238592685e-06,2.770488713110808e-06
1835,8.70738324465492e-06,2.970780826672126e-06
1836,8.332386045140083e-06,2.8858900549266764e-06
1837,7.959827073023007e-06,3.049643638064481e-06
1838,7.293702950050829e-06,2.5299144539303597e-06
1839,7.055097526631471e-06,3.569847166318141e-06
1840,6.677344650540817e-06,2.3364017351923394e-06
1841,7.537724059147877e-06,2.6696641839407675e-06
1842,6.920917101638224e-06,2.062120756818331e-06
1843,7.585655282582593e-06,2.4625912686815354e-06
1844,7.089025793050041e-06,2.727266199542555e-06
1845,6.053989366705537e-06,3.3447886096382717e-06
1846,5.999107713705598e-06,3.459424846141701e-06
1847,5.701716169426163e-06,2.1810196884075594e-06
1848,6.272859550904286e-06,2.168187165807467e-06
1849,6.230932918072085e-06,2.1970825585526654e-06
1850,6.899656739278726e-06,2.010900587379183e-06
1851,6.306261127519974e-06,2.2714923062494563e-06
1852,6.749482395207451e-06,2.380255459399905e-06
1853,6.968049916622476e-06,2.9453566696702183e-06
1854,6.6852613400669725e-06,1.9566872566656457e-06
1855,7.634559651137351e-06,2.8885659730804036e-06
1856,6.480805353703545e-06,1.95076489717394e-06
1857,7.01619282494903e-06,2.079034786106604e-06
1858,6.3020758886978e-06,1.7989152496511451e-06
1859,6.959473168421937e-06,1.8988714032275311e-06
1860,7.022773090170631e-06,2.382424298730257e-06
1861,7.099411860167493e-06,2.452301117727984e-06
1862,6.448973493888843e-06,1.8153268968035263e-06
1863,6.414591609882336e-06,1.995351048833527e-06
1864,6.506445842546782e-06,2.1744091611708427e-06
1865,5.8444885695507764e-06,2.130788402610051e-06
1866,5.933615113917767e-06,1.9287289205749403e-06
1867,6.235862642256507e-06,1.9285073022956567e-06
1868,5.725807923795401e-06,2.1829303591403004e-06
1869,5.786481651171016e-06,2.0398459952275516e-06
1870,6.216282130822037e-06,2.5310092297559095e-06
1871,5.228805733281661e-06,1.530511617886532e-06
1872,5.312587347816589e-06,2.021020762299486e-06
1873,4.743908711191125e-06,2.3471123284934947e-06
1874,5.086184728497756e-06,1.8198659788026816e-06
