year,vos_DET oies_NOUN,vos_DET choix_NOUN
1800,0.0,4.7162465932615305e-08
1801,0.0,4.0480102825313224e-08
1802,2.2378401354217203e-09,1.1189200677108602e-08
1803,3.900678446910888e-09,9.751696339321825e-09
1804,0.0,2.7190360185613827e-08
1805,0.0,3.695740957709859e-08
1806,2.305335300434308e-08,5.76333825108577e-09
1807,2.8469551160981155e-09,3.4163461837266595e-08
1808,1.1330369531492579e-08,4.5321479902327155e-09
1809,0.0,1.129515236897305e-08
1810,1.6380887757350138e-08,7.254392642153107e-08
1811,1.504245972228091e-08,1.7549536934780008e-08
1812,1.0668832928217853e-08,7.734903562095496e-08
1813,0.0,5.751483289628823e-09
1814,1.2586708564299443e-08,5.349351139827263e-08
1815,0.0,4.5852800667489646e-08
1816,0.0,1.8540831092650478e-08
1817,6.227493631882908e-09,2.3353100786493997e-08
1818,0.0,8.702459552978326e-08
1819,4.140420006848444e-09,6.210630343339574e-08
1820,3.5599443393152796e-09,7.713212824000948e-08
1821,5.9168927535324656e-09,1.2031015916846854e-07
1822,4.010246357211145e-09,6.416394171537831e-08
1823,9.882686891060644e-10,1.1859224380295075e-08
1824,1.6842225392110777e-09,4.968456579490521e-08
1825,5.283265824829186e-09,2.0252519661312363e-08
1826,9.688783109140786e-09,3.6112734136395375e-08
1827,6.452091305675367e-09,2.2121454890111636e-08
1828,0.0,3.3020285172824515e-08
1829,0.0,3.0006116702452346e-08
1830,3.1310507520032616e-09,2.1917355041978226e-08
1831,0.0,4.989185953263586e-08
1832,0.0,4.0589908545385356e-08
1833,2.3167257001688313e-09,6.370995575544214e-08
1834,6.534171426153534e-09,3.360431222176885e-08
1835,1.285724948729694e-08,2.193295500774184e-08
1836,2.016224964762614e-09,1.545772554401026e-08
1837,6.957891152126194e-09,1.8786304845086477e-08
1838,1.8936485712828244e-09,2.3986215902382924e-08
1839,9.788065469251706e-09,5.593180363305805e-09
1840,0.0,2.4204816595485568e-08
1841,1.2841097074556274e-09,4.8154114473675236e-08
1842,3.3541325272778977e-09,6.171603983418095e-08
1843,5.906911071384968e-10,2.7762482091020502e-08
1844,2.195424508855126e-09,2.744280647171138e-08
1845,3.348136878855712e-09,2.6785095030845696e-08
1846,5.854501328173001e-10,1.3465352832753297e-08
1847,3.235934187273415e-09,3.289866423727972e-08
1848,6.43617736884039e-09,1.761903496433348e-07
1849,4.1897072478036534e-09,3.9383248662261394e-08
1850,0.0,5.0238568860550004e-08
1851,1.9993260380601896e-08,2.0638204034639784e-08
1852,3.2552727180501506e-09,4.166749079104193e-08
1853,6.569124799682413e-09,9.555090940693844e-09
1854,1.558699391779328e-09,2.4939189602335432e-08
1855,3.714855978387277e-09,1.8043586180738203e-08
1856,5.694908100650764e-09,2.9509978460851016e-08
1857,2.4407544874094356e-09,1.6597130114703873e-08
1858,1.9574704079872163e-09,2.3489644007668176e-08
1859,4.073738679721828e-09,1.5785737161877478e-08
1860,2.288591982591015e-09,3.707518914097818e-08
1861,4.715963730639317e-10,3.206855225812433e-08
1862,1.3553959066214816e-09,3.207770415958322e-08
1863,9.989241656072068e-10,2.5472566278494924e-08
1864,0.0,5.753673448793961e-08
1865,1.4120533631256649e-09,1.1296426905005319e-08
1866,4.865612801552288e-09,1.0704348796242158e-08
1867,4.367530337390235e-09,2.426405742994575e-08
1868,1.4819622196071691e-09,3.457912001181285e-08
1869,9.767038289254515e-10,2.8812762842278516e-08
1870,0.0,1.6055336615750093e-08
1871,2.1242354542039266e-09,3.080141297573391e-08
