year,les_DET eaux_NOUN,les_DET chauds_ADJ
1800,6.798626600357238e-05,1.5720821977538435e-08
1801,5.570538405663683e-05,3.809892135109294e-08
1802,6.57835489619174e-05,6.713520406265161e-09
1803,6.877285841255798e-05,0.0
1804,6.552382501467946e-05,7.4155526164076946e-09
1805,6.032870669514523e-05,2.842877711017877e-09
1806,5.051277844358992e-05,2.881669125542885e-09
1807,5.490352896231343e-05,3.701041784154313e-08
1808,5.092548053653445e-05,6.798221985349073e-09
1809,5.907139029659447e-05,4.743964154840796e-08
1810,5.2238649459468434e-05,4.680253518074551e-09
1811,5.3568709972751094e-05,2.5070767684098882e-09
1812,5.794242997581023e-05,8.00162425207418e-09
1813,4.849650667893002e-05,2.8757416448144113e-09
1814,4.401571959533612e-05,2.2026739543434815e-08
1815,5.169229098100914e-05,2.966945977789237e-08
1816,5.242188080956112e-05,3.0128852301913867e-08
1817,4.4865978225061554e-05,1.401186100480345e-08
1818,5.1160924613213865e-05,3.5763532135746345e-09
1819,4.7381931381096365e-05,0.0
1820,3.839281180262333e-05,1.1866481131050932e-09
1821,3.80860542463779e-05,3.648750634965836e-08
1822,4.8787653213366866e-05,6.015369535816717e-09
1823,3.7892198633926455e-05,1.8777104315859106e-08
1824,4.0812080214891466e-05,6.06320114115988e-08
1825,4.547130765786278e-05,1.320816522820678e-08
1826,4.5599815848618164e-05,5.284790383086602e-09
1827,4.266859968993231e-05,2.8573547083965423e-08
1828,4.227238491694152e-05,1.7427371545863934e-08
1829,4.606024685926968e-05,9.430493719264632e-09
1830,4.466026530280942e-05,9.393152256009785e-09
1831,4.8145645450858865e-05,4.67736174236677e-08
1832,4.258693161318661e-05,5.411987746839486e-09
1833,5.670186237693997e-05,2.3167257112710615e-08
1834,4.441183205017296e-05,1.1201436889152205e-08
1835,5.218606474954868e-05,3.857174846189082e-08
1836,4.175064509581716e-05,2.688300071440608e-08
1837,4.713414455181919e-05,4.453050195252217e-08
1838,4.5350988330028486e-05,3.092959488526503e-08
1839,4.228024772601202e-05,2.3771015822404706e-08
1840,4.3711350599551224e-05,2.356784811752277e-08
1841,4.367578185338061e-05,3.0818633423024266e-08
1842,3.850678172057087e-05,1.0062397581833693e-08
1843,4.213517991047411e-05,3.9576303123567413e-08
1844,4.2020973978651455e-05,6.037417676907353e-08
1845,4.3623432247841265e-05,4.910600637231255e-08
1846,4.385255556371703e-05,2.6930706553685013e-08
1847,3.948055450564425e-05,2.9662730938184723e-08
1848,4.3825539705721894e-05,2.815827571112095e-08
1849,4.31640432907443e-05,2.8490011683146577e-08
1850,3.981474583270028e-05,2.308258562067067e-08
1851,4.472298724067514e-05,3.805169002113473e-08
1852,4.753544521918229e-05,2.2135854038651814e-08
1853,4.7953417379176244e-05,5.374738498709064e-08
1854,4.652613529287919e-05,2.5458755104068587e-08
1855,4.722218659480859e-05,5.5722839675809155e-08
1856,4.4654809698840836e-05,2.899226048125314e-08
1857,4.9362308800482424e-05,5.564920368961168e-08
1858,4.278541041458084e-05,4.8936761087858827e-08
1859,4.789290733242524e-05,5.805077640808065e-08
1860,4.40297640125209e-05,7.460809614556752e-08
1861,4.351419875092688e-05,5.3761985085998276e-08
1862,4.55652457276301e-05,8.177555388400037e-08
1863,4.365847894405306e-05,4.295374012031061e-08
1864,4.697203030445962e-05,3.931676950674756e-08
1865,4.387814396977774e-05,5.318734053183505e-08
1866,4.269624105290859e-05,4.379051726788319e-08
1867,4.248054256095202e-05,5.8233736055512964e-08
1868,4.514106421993347e-05,5.236266531483125e-08
1869,4.1994847379100975e-05,7.227608467275104e-08
1870,4.5666539335798007e-05,7.454263606376799e-08
1871,3.967434554397187e-05,8.921789174110017e-08
1872,4.122652535443194e-05,5.6844989160254045e-08
