year,suis_VERB au_ADP,suis_VERB chaud_ADJ
1800,8.17482771253708e-07,3.144164484325529e-09
1801,1.4953826621422195e-06,7.143547975374531e-09
1802,7.742926868559152e-07,6.713520406265161e-09
1803,8.932553896556783e-07,3.900678446910888e-09
1804,2.1455666683323216e-06,0.0
1805,1.2195945373605355e-06,8.528632911009026e-09
1806,1.6339064359272015e-06,0.0
1807,8.512395766047121e-07,0.0
1808,7.070150900290173e-07,6.798221985349073e-09
1809,1.0504492138352362e-06,4.518061036407062e-09
1810,1.6825511011120398e-06,4.680253518074551e-09
1811,1.2410030194587307e-06,5.0141535368197765e-09
1812,1.1895748457391164e-06,5.3344164641089264e-09
1813,1.1675510904751718e-06,2.8757416448144113e-09
1814,8.873629440131481e-07,0.0
1815,9.763949719854281e-07,1.8880564667256294e-08
1816,7.972557227731158e-07,0.0
1817,1.3716054354517837e-06,0.0
1818,1.6379697171942098e-06,0.0
1819,9.440157668905158e-07,1.035105001712111e-09
1820,1.5485758240174619e-06,1.1866481131050932e-09
1821,1.876641249509703e-06,0.0
1822,1.5389319969472126e-06,2.0051231786055723e-09
1823,1.5535583770542871e-06,1.9765373782121287e-09
1824,1.3069567330603604e-06,0.0
1825,1.4159152215142967e-06,1.7610886082763955e-09
1826,7.909570172159874e-07,0.0
1827,9.291011338063981e-07,1.566936447261469e-08
1828,9.851052027443075e-07,6.420610709767516e-09
1829,9.216164471581578e-07,0.0
1830,1.1637072248049662e-06,0.0
1831,1.3268116845210898e-06,0.0
1832,1.2758761158693233e-06,0.0
1833,1.0958112852677004e-06,3.4750886612755494e-09
1834,9.334530659543816e-07,8.401078055442213e-09
1835,1.1208496744075092e-06,3.025235173481633e-09
1836,1.0901056839429657e-06,6.720750067579218e-10
1837,9.379236871609464e-07,0.0
1838,8.849651180753426e-07,2.5248647617104325e-09
1839,7.704605877734139e-07,6.9914751765765e-10
1840,7.611777732563496e-07,1.9109065441114126e-09
1841,7.878012979745108e-07,6.420548537278137e-10
1842,9.042741453413328e-07,1.341653010911159e-09
1843,9.492405865785258e-07,1.0041748765843295e-08
1844,7.497374667764234e-07,2.7442805805577564e-09
1845,8.152712780429283e-07,2.2320911785556063e-09
1846,7.429362085531466e-07,0.0
1847,6.196813728820416e-07,0.0
1848,8.600342198405997e-07,0.0
1849,6.728670314259944e-07,0.0
1850,7.780189434924978e-07,0.0
1851,6.907349074936064e-07,0.0
1852,8.053544888753095e-07,6.510545436100301e-10
1853,8.127799446810968e-07,0.0
1854,7.996127351361793e-07,4.676098175337984e-09
1855,1.0937596925941762e-06,6.8990182455763716e-09
1856,9.298231589127681e-07,5.177189232874468e-10
1857,9.489653507444018e-07,9.763018171682347e-10
1858,1.0076079206555733e-06,9.787352039936081e-10
1859,1.0128333087777719e-06,1.5276520048956854e-09
1860,9.927912287821528e-07,3.204028820036342e-09
1861,1.0040287179435836e-06,4.715963730639317e-10
1862,1.147568468695681e-06,2.710791813242963e-09
1863,1.034885485751147e-06,6.99246927027275e-09
1864,1.0874442750719027e-06,3.3563094525845827e-09
1865,1.1442339200584684e-06,1.4120533631256649e-09
1866,1.002316253106983e-06,1.4596839292835284e-09
1867,1.0685890856620972e-06,0.0
1868,9.75131115410477e-07,4.93987406535723e-10
1869,1.0587469887468615e-06,9.278686263769487e-09
1870,9.317829494648322e-07,0.0
1871,9.006758432406059e-07,1.0621177271019633e-09
1872,1.0105103456226061e-06,0.0
1873,8.146952268361929e-07,0.0
1874,8.537716666978667e-07,0.0
1875,1.171768758467806e-06,1.1443054281912168e-09
1876,9.818728585742065e-07,4.232210137899983e-09
1877,1.0767764706542948e-06,0.0
1878,8.406411211581144e-07,1.2078177347163432e-09
1879,1.0538585684116697e-06,6.10932526790009e-10
1880,1.0153032690141117e-06,3.8507077526617195e-09
1881,1.084224891201302e-06,2.091752326904839e-09
1882,1.0289224974258104e-06,0.0
1883,1.073023781827942e-06,0.0
1884,9.5460541160719e-07,1.9805090900604227e-09
1885,6.806591272834339e-07,1.933690763067375e-09
1886,6.685788775939727e-07,6.453463874400711e-10
1887,8.494130838698766e-07,4.570247291724172e-09
1888,7.538990871580609e-07,0.0
1889,8.382752980651276e-07,0.0
1890,7.537544206570601e-07,0.0
1891,7.311230660889123e-07,0.0
1892,8.055038165366568e-07,6.268512375839919e-10
1893,6.718832423757704e-07,1.847525021858587e-09
1894,6.881280683046498e-07,5.041231432301174e-09
1895,7.992720156835276e-07,0.0
1896,7.477432859559485e-07,0.0
1897,7.353312412305968e-07,1.1653427112179315e-09
