year,derniers_ADJ ans_NOUN,derniers_ADJ champs_NOUN
1800,4.087413785214267e-08,0.0
1801,6.667310969987739e-08,2.6193008650921e-08
1802,3.1329761895904085e-08,0.0
1803,4.290746247193056e-08,0.0
1804,4.449331569844617e-08,2.4718509461507665e-09
1805,3.4114531644036106e-08,0.0
1806,2.881669125542885e-08,0.0
1807,2.8469550272802735e-08,2.8469551160981155e-09
1808,5.6651849433819734e-08,0.0
1809,2.4849335034105025e-08,0.0
1810,3.978215445954447e-08,0.0
1811,4.763445815569867e-08,0.0
1812,5.601137331723294e-08,2.6672082320544632e-09
1813,5.176335093892703e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,3.776112933451259e-08,0.0
1816,1.0429217667251578e-07,0.0
1817,2.1796227045456362e-08,0.0
1818,3.337929754820834e-08,8.344824387052086e-09
1819,1.8631890696951814e-08,1.3456364911235141e-08
1820,8.662531314485022e-08,8.306536791735653e-09
1821,4.536284592404627e-08,0.0
1822,3.0076847679083585e-08,2.0051231786055723e-09
1823,4.644862983127496e-08,0.0
1824,7.157945702829238e-08,0.0
1825,4.490776106536032e-08,0.0
1826,3.699353356978463e-08,2.642395191543301e-09
1827,4.977327350275118e-08,9.217273166939322e-09
1828,2.2930752408001354e-08,1.3758452155343548e-08
1829,5.1439055681612444e-08,2.743416338546467e-08
1830,2.7135772739939057e-08,1.2524203008013046e-08
1831,2.9623292263636358e-08,1.5591206103948707e-09
1832,2.0294953273491956e-08,5.411987746839486e-09
1833,2.20088942626262e-08,1.0425265983826648e-08
1834,2.0535967593104942e-08,8.401078055442213e-09
1835,1.3613558280667348e-08,6.050470346963266e-09
1836,3.8980349614803345e-08,6.048674894287842e-09
1837,1.948209416013924e-08,1.461157062010443e-08
1838,1.5780404538645598e-08,5.680945491803868e-09
1839,1.11863602825224e-08,8.38977065598101e-09
1840,3.121147429396842e-08,2.229391071750797e-08
1841,1.7977535904378783e-08,4.494383976094696e-09
1842,2.817471411731276e-08,1.0062397137744483e-08
1843,3.307870244384503e-08,2.953455480181333e-09
1844,1.811225303072206e-08,7.1351298203126134e-09
1845,1.6182660544927785e-08,6.138250796539069e-09
1846,2.9272506196775794e-08,1.8148954339380907e-08
1847,2.8044762956369595e-08,1.240441438454809e-08
1848,2.735375304041554e-08,1.6090443422100975e-09
1849,1.9272654583346593e-08,3.3517659758786067e-09
1850,2.0366988096043315e-08,7.467895635215882e-09
1851,2.192809134271556e-08,1.2898877521649865e-09
1852,1.6927417689771573e-08,1.6276363368206148e-08
1853,1.1346670270029335e-08,8.360704129017904e-09
1854,5.5593609715742787e-08,2.5978321716024766e-09
1855,2.5473298137512757e-08,1.539011762474729e-08
1856,2.329735160344626e-08,9.836659486950339e-09
1857,1.757343248698362e-08,6.8341128311999455e-09
1858,2.1532175153993194e-08,1.0276719919488642e-08
1859,2.5460867192350634e-08,3.564521477983362e-08
1860,3.4786598490654796e-08,1.4646988510946812e-08
1861,2.4051415081771665e-08,6.6023493339173456e-09
1862,2.3493528900075944e-08,7.680577063240435e-09
1863,2.1976331865403154e-08,1.7980635647063536e-08
1864,2.7809422320501653e-08,5.753673537611803e-09
1865,1.4591217123438582e-08,9.41368871743009e-10
1866,1.9949013108089275e-08,7.784980660119345e-09
1867,2.6690463172940326e-08,5.82337378318698e-09
1868,2.2723421366777075e-08,7.903798504571569e-09
1869,1.5627261262807224e-08,3.4184632902167778e-09
1870,6.422134646300037e-08,9.17447806614291e-09
1871,7.116188527334089e-08,8.496941816815706e-09
1872,2.53988243770209e-08,2.6003558417642125e-08
1873,3.95076291681562e-08,2.334541804316359e-08
1874,2.4495896866483235e-08,2.5093358502203955e-08
1875,2.7463329388410784e-08,1.716458086775674e-09
1876,2.478866001354163e-08,6.650616057868319e-09
1877,2.535774612510977e-08,1.36065949618569e-08
1878,2.6571990829893366e-08,1.0266450800600069e-08
1879,1.588424503040642e-08,1.4662380642960215e-08
