year,dix_DET ans_NOUN,dix_DET champs_NOUN
1800,1.7610464794870495e-05,0.0
1801,1.829224450489164e-05,0.0
1802,1.818916427964723e-05,0.0
1803,1.607079448717741e-05,5.851017448321727e-09
1804,2.0239514867625985e-05,0.0
1805,1.802100203462942e-05,0.0
1806,1.5411166344847516e-05,0.0
1807,1.8112328632469143e-05,0.0
1808,1.9125665374986056e-05,6.798221985349073e-09
1809,2.101350162320159e-05,0.0
1810,1.967110583223075e-05,0.0
1811,2.1641087187163066e-05,5.0141535368197765e-09
1812,1.9884036987605214e-05,2.6672082320544632e-09
1813,2.2767246377952688e-05,0.0
1814,2.1170844320295146e-05,0.0
1815,1.821435131432736e-05,0.0
1816,1.557198086743483e-05,0.0
1817,1.6722376585676102e-05,0.0
1818,1.942079006767017e-05,0.0
1819,1.939579755116938e-05,8.280840013696888e-09
1820,1.742236753443649e-05,1.1866481131050932e-09
1821,1.85208608627363e-05,0.0
1822,1.815739369703806e-05,1.0025615893027862e-09
1823,1.7548687083035475e-05,0.0
1824,1.7724757356063492e-05,1.6842225392110777e-09
1825,2.0351139369267912e-05,0.0
1826,1.9736051314112046e-05,0.0
1827,2.2108551434030232e-05,1.566936447261469e-08
1828,1.851520687523589e-05,2.7516904310687096e-09
1829,1.936937599111843e-05,0.0
1830,1.8881278862181716e-05,5.218417697960831e-09
1831,2.281461104303162e-05,1.5591206103948707e-09
1832,2.147476646996438e-05,0.0
1833,2.077407896194927e-05,0.0
1834,2.0340875551028148e-05,0.0
1835,1.9089233376234915e-05,5.294161553592858e-09
1836,2.142575107200173e-05,6.720750067579218e-10
1837,2.0301734821259743e-05,3.478945576063097e-09
1838,2.0358615358873067e-05,4.418513555037862e-09
1839,1.9610389074387058e-05,3.4957374772659477e-09
1840,2.2441686894580926e-05,1.0191501864653674e-08
1841,2.2487329999876238e-05,3.2102742686390684e-09
1842,2.127190759892983e-05,3.3541325272778977e-09
1843,2.073975525718197e-05,1.1813822142769936e-09
1844,2.2156223906222294e-05,4.390849017710252e-09
1845,2.2573138153347827e-05,3.348136878855712e-09
1846,2.116402157525954e-05,1.1709002656346001e-09
1847,2.1606872621759976e-05,6.47186837454683e-09
1848,2.2406747234526847e-05,5.63165514222419e-09
1849,1.9788825625255413e-05,4.1897072478036534e-09
1850,2.018232657974295e-05,1.2899092460827433e-08
1851,2.0541463300105534e-05,1.0319102017319892e-08
1852,2.0848719827881723e-05,1.9531636308300904e-09
1853,2.0599582569502672e-05,5.971931837933653e-09
1854,1.93372233638911e-05,1.558699391779328e-09
1855,2.0927905950429704e-05,1.3798036491152743e-08
1856,2.0336517081886996e-05,1.0354378465748937e-09
1857,2.0284135189285735e-05,1.9526036343364694e-09
1858,2.151847257891859e-05,1.712786690255541e-08
1859,2.1541420380799536e-05,1.018434669930457e-09
1860,2.2547208232026605e-05,9.154367819341758e-10
1861,2.1855191164377175e-05,7.073945429425521e-09
1862,2.180605986268347e-05,9.035972914350765e-09
1863,2.190241190191955e-05,1.4983863039219614e-09
1864,2.2096982945640775e-05,9.589455896019672e-10
1865,2.1638775081100903e-05,4.23615986733239e-09
1866,2.1109948761477426e-05,4.379051787850585e-09
1867,2.4091296779715776e-05,3.88224918879132e-09
1868,2.2148913160435768e-05,1.975949626142892e-09
1869,2.1258936442336562e-05,5.371870948067681e-09
1870,2.0962534961199708e-05,4.013834153937523e-09
1871,1.8884452458678425e-05,4.248470908407853e-09
1872,2.111851802055753e-05,1.8142017887967654e-09
1873,1.95419108877104e-05,6.584604861359367e-09
1874,2.0336972283985233e-05,1.4339061493728877e-08
1875,2.1083827846268832e-05,6.865832347102696e-09
1876,2.081884662175071e-05,7.859819461941697e-09
1877,2.0745727681514836e-05,1.793596560162314e-08
1878,2.151606599909428e-05,4.831270938865373e-09
1879,2.293135179343153e-05,4.887460214320072e-09
1880,2.2367478493379167e-05,3.8507077526617195e-09
1881,2.298278025136824e-05,4.183504653809678e-09
1882,2.3556070232189086e-05,1.3310770263785798e-09
1883,2.2371723446212854e-05,0.0
1884,2.150040694459676e-05,1.9805090900604227e-09
1885,2.1295734939030808e-05,9.023890079618013e-09
1886,2.1249966550840327e-05,1.2906927748801422e-09
1887,2.4395979721703043e-05,1.1752064210668323e-08
1888,2.2036805887637456e-05,5.706553452000662e-09
1889,2.3295030700865027e-05,3.1325683158556217e-09
1890,2.336704335448303e-05,6.554386478008212e-10
1891,2.2598523003125592e-05,5.736797703548291e-09
1892,2.1383148805398378e-05,9.402768563759878e-09
1893,2.1303811081452295e-05,3.695050043717174e-09
1894,2.1235556459942018e-05,8.192000855444803e-09
1895,2.2980273683970154e-05,1.2037228991346183e-09
1896,2.209321991131219e-05,4.1279202278587945e-09
1897,2.1869987506306643e-05,0.0
1898,2.2040989847482706e-05,2.8291774478717002e-09
1899,2.2889149363436445e-05,1.6582735185011188e-09
1900,2.311316472969338e-05,1.038210628578895e-09
1901,2.250529314551386e-05,5.58873880507349e-09
1902,1.996325022446399e-05,3.928227076954727e-09
1903,2.1366511077758332e-05,5.400220270956879e-09
1904,2.1281903400449664e-05,8.061937784020756e-09
1905,2.2547355570168293e-05,1.0321518084666081e-09
1906,2.225785794962576e-05,1.0288369045596824e-09
1907,2.204942688877054e-05,4.114274698707732e-09
1908,2.2889528167979734e-05,2.2592390180875555e-08
1909,2.322625255146704e-05,4.950885368337765e-09
1910,2.2801352884016524e-05,5.878565634276356e-09
1911,2.2852071197121404e-05,3.7242617878519013e-09
1912,2.3193385914055398e-05,4.167536982180309e-09
1913,2.2215283820514742e-05,7.42418571064718e-09
1914,2.186888536925835e-05,2.0090231700464756e-09
1915,1.8632453645750502e-05,3.534228465440492e-09
1916,1.8714944360453956e-05,1.0987461607214755e-08
1917,1.7660329035606992e-05,3.070598708632133e-08
1918,1.7873949730073946e-05,6.89182577673364e-09
1919,2.0472730057008448e-05,7.366278698128781e-09
1920,1.945457751162394e-05,2.2716695191604686e-09
1921,1.9785316851539392e-05,1.2873671018098776e-08
1922,1.9981663342605316e-05,2.951174193910333e-09
1923,1.8994054471477284e-05,2.1231896241147297e-09
1924,1.9873728433594806e-05,2.578324886925998e-09
1925,2.0431314396773814e-05,5.499089184013428e-09
1926,1.9116741668767645e-05,5.57306911730393e-09
1927,2.123481442595221e-05,2.2298449753321847e-09
1928,2.117588280725613e-05,0.0
1929,2.2207285383046838e-05,4.4561625500705304e-09
