year,es_VERB aux_ADP
1800,9.432493897065797e-09
1801,7.143547975374531e-09
1802,3.1329761895904085e-08
1803,1.1702034896643454e-08
1804,2.7190360185613827e-08
1805,1.7057265822018053e-08
1806,1.152667650217154e-08
1807,5.124519120158766e-08
1808,3.6257183921861724e-08
1809,3.388545621874073e-08
1810,2.8081521108447305e-08
1811,2.757784400841956e-08
1812,2.400487453257938e-08
1813,2.0130190847567064e-08
1814,4.72001566720337e-08
1815,3.506390555685357e-08
1816,4.8669683394564345e-08
1817,2.80237220096069e-08
1818,2.384235386898581e-08
1819,4.140419918030602e-08
1820,7.475883023744245e-08
1821,1.4792232327920374e-08
1822,2.90742860897808e-08
1823,1.3835761869529506e-08
1824,9.263223965660927e-09
1825,2.8177417732422327e-08
1826,2.8185549894033102e-08
1827,1.566936447261469e-08
1828,3.5771975603893225e-08
1829,1.457439946506156e-08
1830,3.965997663613052e-08
1831,3.274153215215847e-08
1832,2.570694235259907e-08
1833,4.170106393530659e-08
1834,3.453776287187793e-08
1835,1.7319470657639613e-07
1836,2.9571300075303952e-08
1837,3.75726116885744e-08
1838,4.7341213615936795e-08
1839,4.9639474752893875e-08
1840,9.23604872582473e-08
1841,4.4301785351308354e-08
1842,8.385331540239349e-08
1843,4.1939067330076796e-08
1844,2.7442807137845193e-08
1845,2.399498022498392e-08
1846,6.322861167973315e-08
1847,2.588747349818732e-08
1848,1.206783295515379e-08
1849,1.005529792763582e-08
1850,6.44954596396019e-08
1851,3.611685883697646e-08
1852,3.450589147746541e-08
1853,2.7470886010405593e-08
1854,3.4291385730966795e-08
1855,3.343370380548549e-08
1856,1.1493359863834485e-07
1857,2.245494101771328e-08
1858,6.753273140702731e-08
1859,6.059686086246074e-08
1860,1.4601216946630302e-07
1861,8.017138242166766e-08
1862,2.981871105589562e-08
1863,1.5982786649715308e-08
1864,3.308362295229017e-08
1865,2.729969672543575e-08
1866,3.2113046444237625e-08
1867,5.386620927083641e-08
1868,3.013323279787983e-08
1869,3.027781758646597e-08
1870,2.8670243068518175e-08
1871,1.0621176826930423e-08
1872,1.7537283625301825e-08
1873,1.0176207432266438e-08
1874,7.766991494406739e-09
1875,1.3731664694205392e-08
1876,2.2974855795609983e-08
1877,2.040989244278535e-08
1878,1.509772218355465e-08
1879,1.710611030603104e-08
1880,1.0268554007097919e-08
1881,2.4403776777148778e-08
1882,1.5972924316542958e-08
1883,1.2638677659992936e-08
1884,6.535680086017237e-08
1885,2.127059772760731e-08
1886,1.7424351739236954e-08
1887,9.793386546164129e-09
1888,1.6485598663962264e-08
1889,2.8193115397812107e-08
1890,3.211649257650606e-08
1891,2.4859458491732767e-08
1892,1.6924984080901595e-08
1893,2.6481190573690583e-08
1894,2.2685540557176864e-08
1895,4.513960760732516e-08
1896,2.358811634906033e-08
1897,7.341659369330955e-08
1898,2.9423445013776472e-08
1899,1.8241008703512307e-08
1900,2.180242297811219e-08
1901,2.9061443029831935e-08
1902,8.347482705062248e-09
1903,2.8621167658116065e-08
1904,1.7736262236667244e-08
1905,1.4450125540577119e-08
1906,1.2860461140462576e-08
1907,7.71426478252124e-09
1908,1.1296195090437777e-08
1909,2.0903737407707013e-08
1910,1.8170112525695004e-08
1911,1.702519725199636e-08
1912,1.5628263128064646e-08
1913,1.590896836489719e-08
1914,1.6741859454327823e-08
1915,2.709575319670421e-08
1916,3.076489463182952e-08
1917,2.9609346086090227e-08
1918,2.6418664589300533e-08
1919,3.038589824200244e-08
1920,1.741613253614105e-08
1921,1.741731914250977e-08
1922,2.2133805899215986e-08
1923,2.653987074552333e-08
1924,3.0939897754933554e-08
1925,2.639562701745035e-08
1926,1.2260752413340015e-08
1927,1.2264147031260109e-08
1928,2.0566874425753667e-08
1929,1.3368487650211591e-08
1930,1.6805765667982087e-08
1931,2.3951248095954725e-08
1932,1.753525857850491e-08
1933,2.982372038218273e-08
1934,3.9539216345474415e-08
1935,1.555876849579363e-08
1936,2.66743711563322e-08
1937,2.392312481447334e-08
1938,1.6854778905894818e-08
1939,3.6705721129237645e-08
1940,8.368083825871508e-08
1941,2.066051862925633e-08
1942,1.8205270180260413e-08
1943,2.9032351633873077e-08
1944,1.2852744646352221e-08
1945,1.5249527862692958e-08
1946,2.3665876369705074e-08
1947,2.0265479960812627e-08
1948,1.4133454406817236e-08
1949,3.239612667016445e-08
1950,2.9779013033248702e-08
1951,2.4521224162299404e-08
1952,2.741649041126948e-08
1953,8.619061908632375e-09
1954,1.6613311615287785e-08
1955,1.5016972554349195e-08
1956,1.2209598665435806e-08
1957,1.6786572132332367e-08
1958,1.9853384713997002e-08
1959,3.1778064624177205e-08
1960,2.8375417571169237e-08
1961,2.848745239703021e-08
1962,2.4099433559854333e-08
1963,1.681173777967615e-08
1964,4.319617374903828e-08
1965,4.2134733035936733e-08
1966,4.486650695412209e-08
1967,3.5498416650625586e-08
1968,3.0092486724697665e-08
1969,4.405504938631566e-08
1970,3.7709543931896405e-08
1971,3.699646100585596e-08
1972,4.052816038324636e-08
1973,2.4258095976392724e-08
1974,2.193973003272731e-08
1975,2.227477224892027e-08
1976,2.399681342524218e-08
1977,2.291944944943225e-08
1978,2.4356424432880885e-08
1979,2.925986741786346e-08
1980,3.865902442612423e-08
1981,2.340453342242199e-08
1982,3.41412622617554e-08
1983,4.862793190341108e-08
1984,4.1752862500743504e-08
1985,3.9702683807263384e-08
1986,2.7574632355253925e-08
1987,2.4443266966045485e-08
1988,3.657897806874644e-08
1989,8.341945800793837e-08
1990,2.7788120249283565e-08
1991,3.223805933316726e-08
1992,3.7467621893938485e-08
1993,3.268132431344384e-08
1994,2.4264663167627987e-08
1995,4.771756678678685e-08
1996,4.217092808289635e-08
1997,3.787966562640577e-08
1998,7.819731706604216e-08
1999,5.895559596069688e-08
2000,4.152949628632996e-08
2001,4.6440845835604705e-08
2002,4.162160394116654e-08
2003,4.916968876500505e-08
2004,4.052407831522942e-08
2005,4.593824698417848e-08
2006,3.87081655617294e-08
2007,5.552326598490254e-08
2008,3.7039725953036395e-08
2009,4.196009228962794e-08
2010,6.188168555354423e-08
2011,5.3153211609924256e-08
2012,4.765953676155732e-08
2013,7.502746512955127e-08
2014,6.539644203940043e-08
2015,8.312157717682567e-08
2016,8.968902420747327e-08
2017,1.2477431710067322e-07
2018,7.77021469389183e-08
2019,6.530528651182976e-08
