year,vrais_ADJ champs_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,1.7615968683770689e-09
1827,0.0
1828,1.8344602503717056e-09
1829,8.57317605795771e-10
1830,0.0
1831,3.1182412207897414e-09
1832,2.705993873419743e-09
1833,1.50587169400751e-08
1834,1.8669061851994684e-09
1835,3.781543966852041e-09
1836,5.376600054063374e-09
1837,6.957890930081589e-10
1838,0.0
1839,0.0
1840,1.9109065441114126e-09
1841,3.852329122366882e-09
1842,0.0
1843,1.1813821920725331e-08
1844,1.0428266250528395e-08
1845,1.1160455892778032e-09
1846,6.439951460990301e-09
1847,5.9325460100012606e-09
1848,3.218088684420195e-09
1849,8.379414939696517e-10
1850,1.0183494048021657e-08
1851,4.514607354622058e-09
1852,1.3021090872200602e-09
1853,1.7915795513800958e-09
1854,5.195664343204953e-09
1855,1.0083180512765466e-08
1856,1.5531567143511893e-09
1857,4.881509085841174e-09
1858,1.468102750479261e-09
1859,9.675129586383946e-09
1860,1.373155189554609e-08
1861,1.1318312787000906e-08
1862,2.2589932147099034e-09
1863,4.9946209945694875e-09
1864,4.794728170054441e-09
1865,3.294791106611683e-09
1866,3.405928983291062e-09
1867,1.3102591012170706e-08
1868,1.975949626142892e-09
1869,5.860222973552709e-09
1870,1.0321287380321564e-08
1871,1.0621177271019633e-09
1872,4.837871325769072e-09
1873,2.9930022904522957e-09
1874,2.3898436563030145e-09
1875,4.005069165202713e-09
1876,3.02300739996042e-09
1877,1.0514186854493346e-08
1878,4.831270938865373e-09
1879,8.55305515301552e-09
1880,5.134277003548959e-09
1881,9.761510710859511e-09
1882,1.3976308999019693e-08
1883,6.319338829996468e-09
1884,7.922036360241691e-09
1885,1.2891271161663553e-08
1886,1.097088819790315e-08
1887,9.140494583448344e-09
1888,1.1413106904001324e-08
1889,1.3783300722991498e-08
1890,1.2453334363726754e-08
1891,1.784781566982474e-08
1892,8.149066088591894e-09
1893,2.46336657738766e-08
1894,6.9316934414587195e-09
1895,5.416753268150387e-09
1896,2.948514543632541e-09
1897,1.8645483379486905e-08
1898,5.092519295146758e-09
1899,5.527578395003729e-09
1900,6.2292638824956725e-09
1901,1.1177477832191585e-08
1902,1.1293653123800595e-08
1903,5.940242076007962e-09
1904,8.061937784020756e-09
1905,1.0837593933388234e-08
1906,1.0802787109298606e-08
1907,1.594281451300361e-08
1908,1.276961114626829e-08
1909,1.1552065082298668e-08
1910,5.34415089958884e-09
1911,6.384448969498635e-09
1912,2.083768435579003e-09
1913,1.0075680734189518e-08
1914,7.366418142140674e-09
1915,1.8849219074468238e-08
1916,3.2962386153911893e-09
