year,tels_ADJ chants_NOUN
1800,0.0
1801,0.0
1802,1.5664880947952042e-08
1803,7.801356893821776e-09
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,2.8469550272802735e-08
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,1.2586708564299443e-08
1815,0.0
1816,2.3176038865813098e-09
1817,0.0
1818,7.152706427149269e-09
1819,1.035105001712111e-09
1820,0.0
1821,0.0
1822,1.1028177482330648e-08
1823,1.581229902569703e-08
1824,5.052667617633233e-09
1825,1.584979791857677e-08
1826,5.284790383086602e-09
1827,5.530363722527909e-09
1828,0.0
1829,4.286587973467704e-09
1830,9.39315203396518e-09
1831,4.677361609140007e-09
1832,2.705993829010822e-08
1833,6.950177322551099e-09
1834,7.467624740797874e-09
1835,1.285724948729694e-08
1836,3.36037508930076e-09
1837,4.87052354003481e-09
1838,7.574594285131298e-09
1839,2.7965900706306e-09
1840,3.821813088222825e-09
1841,5.1364388298225094e-09
1842,1.0062397137744483e-08
1843,1.6539351221922516e-08
1844,7.683985892015244e-09
1845,4.464182357111213e-09
1846,1.1123552745573306e-08
1847,1.5640349459999925e-08
1848,1.528592186161859e-08
1849,3.6869426622843093e-08
1850,4.073397619208663e-09
1851,1.6123596680017727e-08
1852,1.1718981340891332e-08
1853,7.166318205520383e-09
1854,2.0782657372819813e-08
1855,1.4859423913549108e-08
1856,1.1907535402144731e-08
1857,3.124165814938351e-08
1858,1.663849857891364e-08
1859,1.7313389832906978e-08
1860,1.0527522853465143e-08
1861,1.7920662287451705e-08
1862,1.490935552794781e-08
1863,1.3485475847119233e-08
1864,8.151037178549814e-09
1865,1.6003271596787272e-08
1866,1.0217787504984699e-08
1867,1.6014277903764196e-08
1868,1.531360993567432e-08
1869,2.0510780629479086e-08
1870,5.160643912205387e-09
1871,3.18635318130589e-09
1872,5.442605477412599e-09
1873,1.4366410283628284e-08
1874,1.0156835372754358e-08
1875,5.721527251978387e-09
1876,5.441413541973361e-09
1877,6.184816214727107e-09
1878,1.6305540029293297e-08
1879,9.163987790827832e-09
1880,1.6686399817444908e-08
1881,5.5780060570498335e-09
1882,3.9932310791357395e-09
1883,4.423537092179686e-09
1884,1.2543224237049344e-08
1885,5.80107206715752e-09
1886,1.677900662855336e-08
1887,2.6115698048556624e-08
1888,6.340614699951175e-09
1889,1.1277245803853475e-08
1890,9.831579994568074e-09
1891,1.0836173736095134e-08
1892,4.387958441043338e-09
1893,1.847525021858587e-09
1894,1.8904617871129403e-09
1895,1.8055843487019274e-09
1896,1.0614652268259306e-08
1897,2.9133566670225264e-09
1898,1.4711722506888236e-08
1899,1.2713430308508578e-08
1900,5.710158568206225e-09
1901,5.029864968975062e-09
1902,5.4013122863239005e-09
1903,3.2401321625741275e-09
1904,2.1498500757388683e-09
1905,6.192911072844254e-09
1906,1.5432553013283723e-09
1907,1.2342823652033985e-08
1908,2.4556945366072114e-09
