year,dix_DET ans_NOUN,dix_DET chants_NOUN
1800,1.7610464794870495e-05,1.980823611802407e-07
1801,1.829224450489164e-05,4.286128785224719e-08
1802,1.818916427964723e-05,7.384872446891677e-08
1803,1.607079448717741e-05,1.5602713787643552e-08
1804,2.0239514867625985e-05,1.8044511440606925e-07
1805,1.802100203462942e-05,1.5635827899096455e-07
1806,1.5411166344847516e-05,1.5272846720648658e-07
1807,1.8112328632469143e-05,9.394951661079176e-08
1808,1.9125665374986056e-05,2.3793777392810966e-07
1809,2.101350162320159e-05,9.262025457701384e-08
1810,1.967110583223075e-05,1.4976811080202879e-07
1811,2.1641087187163066e-05,2.507076715119183e-07
1812,1.9884036987605214e-05,4.107500650718521e-07
1813,2.2767246377952688e-05,2.5881675469463516e-07
1814,2.1170844320295146e-05,1.4789382074553714e-07
1815,1.821435131432736e-05,4.0458352890127e-08
1816,1.557198086743483e-05,8.1116134253989e-08
1817,1.6722376585676102e-05,1.2454987408094809e-07
1818,1.942079006767017e-05,4.053200441944682e-08
1819,1.939579755116938e-05,1.335285482184645e-07
1820,1.742236753443649e-05,1.4714437135410208e-07
1821,1.85208608627363e-05,9.072569184809254e-08
1822,1.815739369703806e-05,8.120748873352568e-08
1823,1.7548687083035475e-05,8.597937872778516e-08
1824,1.7724757356063492e-05,1.406325873531955e-07
1825,2.0351139369267912e-05,8.805442908155214e-08
1826,1.9736051314112046e-05,5.108631029315802e-08
1827,2.2108551434030232e-05,3.871254605769536e-08
1828,1.851520687523589e-05,9.264023975719127e-08
1829,1.936937599111843e-05,6.515613881763471e-08
1830,1.8881278862181716e-05,9.393152566872232e-08
1831,2.281461104303162e-05,2.9623292041591753e-08
1832,2.147476646996438e-05,1.055337577327009e-07
1833,2.077407896194927e-05,6.370995520033063e-08
1834,2.0340875551028148e-05,1.0828055985179219e-07
1835,1.9089233376234915e-05,4.9916380362446944e-08
1836,2.142575107200173e-05,4.9061476659062464e-08
1837,2.0301734821259743e-05,5.287997240088771e-08
1838,2.0358615358873067e-05,3.2192025711808014e-08
1839,1.9610389074387058e-05,5.2436065267613685e-08
1840,2.2441686894580926e-05,3.885510002632486e-08
1841,2.2487329999876238e-05,5.778493639141402e-08
1842,2.127190759892983e-05,3.6895456911878455e-08
1843,2.073975525718197e-05,8.210606727843128e-08
1844,2.2156223906222294e-05,4.610391357573462e-08
1845,2.2573138153347827e-05,3.6829504446167505e-08
1846,2.116402157525954e-05,2.2247104380923588e-08
1847,2.1606872621759976e-05,6.525800611001387e-08
