year,mes_DET oies_NOUN,mes_DET choix_NOUN
1800,3.144164484325529e-09,3.144164484325529e-09
1801,2.3811825844433088e-09,1.1905913144261149e-08
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,0.0,7.801356893821776e-09
1804,1.730295728918918e-08,0.0
1805,8.528633133053631e-09,0.0
1806,0.0,0.0
1807,5.693910232196231e-09,8.540865792383556e-09
1808,2.2660739951163578e-09,0.0
1809,2.259030518203531e-09,2.710836577435316e-08
1810,1.8721014072298203e-08,1.6380886869171718e-08
1811,0.0,0.0
1812,2.6672082320544632e-09,1.3336041604361526e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,1.8880061958270744e-08
1815,0.0,7.282503400318774e-08
1816,0.0,3.708166040894412e-08
1817,0.0,4.0478708385194295e-08
1818,4.768470951432846e-09,4.768470951432846e-09
1819,0.0,3.208825671840998e-08
1820,1.1866481131050932e-09,1.898636980968149e-08
1821,2.9584463767662328e-09,3.352905952880292e-08
1822,1.4035862250239006e-08,2.4061478143266868e-08
1823,0.0,4.941343334508019e-09
1824,0.0,1.0105335235266466e-08
1825,0.0,1.584979747448756e-08
1826,2.642395191543301e-09,2.466235649034587e-08
1827,9.217273055917019e-10,1.751281847317543e-08
1828,5.503380862137419e-09,1.2841221419535032e-08
1829,1.714635211591542e-09,7.715858452161939e-09
1830,1.3567886369969528e-08,1.3567886147924924e-08
1831,1.5591206103948707e-09,6.236482441579483e-09
1832,2.705993873419743e-09,3.51779220197912e-08
1833,0.0,6.950177322551099e-09
1834,2.8003592777992026e-09,5.600718555598405e-09
1835,1.5882484660778573e-08,3.781543966852041e-09
1836,2.016224964762614e-09,1.344150035720304e-08
1837,3.478945576063097e-09,2.1569462660409044e-08
1838,1.8936485712828244e-09,5.680945491803868e-09
1839,4.194885327990505e-09,6.991475065554198e-09
1840,3.821813088222825e-09,1.3376346252869098e-08
1841,5.778493683550323e-09,2.5682194149112547e-09
1842,6.708265054555795e-10,8.049918065466954e-09
1843,2.953455480181333e-09,1.2995204135002325e-08
1844,4.9397050894128824e-09,1.3721403568922597e-08
1845,1.1160455670733427e-08,7.254296274794569e-09
1846,1.1709002656346001e-09,3.5127007969038004e-09
1847,6.47186837454683e-09,4.853901280910122e-09
1848,0.0,8.849743549088629e-09
1849,9.217356655710773e-09,9.217356655710773e-09
1850,6.788996032014438e-10,2.5798184921654865e-08
1851,1.2253933867611977e-08,4.514607354622058e-09
1852,5.859490670445666e-09,7.1615997576657264e-09
1853,5.971931837933653e-10,2.388772735173461e-09
1854,9.352196350675968e-09,8.313063126763609e-09
1855,1.0613874223963649e-09,8.491099379170919e-09
1856,1.5531567143511893e-09,5.694908100650764e-09
1857,1.4644527812635033e-09,4.393358121745905e-09
1858,9.787352039936081e-10,2.2510910469009104e-08
1859,2.036869339860914e-09,9.165912473463322e-09
1860,1.8308735638683515e-09,1.0069804629031509e-08
1861,3.3011746669586728e-09,1.3676294763342867e-08
1862,9.035972858839614e-09,3.6143890103090826e-09
1863,3.496234635136375e-09,9.489779906335372e-09
1864,1.3904711160250827e-08,1.0068928801842958e-08
1865,7.530950973944073e-09,1.1767110841276462e-08
1866,1.0704348518686402e-08,1.1190909532388105e-08
1867,0.0,6.79393608038481e-09
1868,7.903798504571569e-09,1.7289560005906424e-08
1869,9.767038289254515e-10,5.860222973552709e-09
1870,4.013834153937523e-09,1.77755516972411e-08
1871,9.55905954391767e-09,1.0621177271019633e-09
1872,6.047339518033823e-09,7.861540751719076e-09
1873,3.591602570907071e-09,9.577607151811662e-09
1874,4.779687312606029e-09,1.4339061493728877e-08
1875,5.721527251978387e-09,1.0870901512305409e-08
1876,1.874264654588842e-08,1.813804395567331e-08
1877,1.9172929910382663e-08,6.80329748092845e-09
1878,3.0195443923020093e-09,9.058632954861423e-09
1879,3.0546627449723474e-09,9.774920428640144e-09
1880,1.9253538763308597e-09,1.3477476912271413e-08
1881,4.183504653809678e-09,4.8807553554297556e-09
1882,3.9932310791357395e-09,6.655385131892899e-09
1883,8.847074184359371e-09,6.319338829996468e-09
1884,4.621187876807653e-09,9.242375753615306e-09
1885,5.80107206715752e-09,5.156508553483263e-09
1886,2.5813855497602844e-09,6.453463874400711e-10
1887,6.528924623161458e-10,4.570247291724172e-09
1888,5.07249175996094e-09,8.876860135842435e-09
1889,3.132568426877924e-09,1.2530273707511697e-08
1890,2.6217545912032847e-09,5.243509182406569e-09
1891,1.2748440081367107e-09,8.92390783491237e-09
1892,3.1342561879199593e-09,7.522214851007902e-09
1893,5.542574843531156e-09,4.926733243593162e-09
1894,5.041231432301174e-09,1.2603078580752936e-08
1895,1.8055843487019274e-09,1.444467478961542e-08
1896,1.7691086373616827e-09,7.66613794667137e-09
1897,1.1653427112179315e-09,1.631479840114025e-08
1898,4.52668391659472e-09,7.921697076085366e-09
1899,1.1055156790007459e-08,1.0502398950507086e-08
1900,3.633737311048435e-09,2.595526460424935e-09
1901,3.912117296778206e-09,6.706486532781497e-09
1902,5.4013122863239005e-09,8.347482705062248e-09
1903,4.860198465905796e-09,2.3220946943069976e-08
1904,1.0749250378694342e-09,5.912087708281888e-09
1905,2.0643036169332163e-09,1.5998352864698973e-08
1906,4.115347618238729e-09,1.4403716441790948e-08
1907,3.5999902503469627e-09,7.199980611716228e-09
1908,6.875944702500192e-09,1.080505551698252e-08
1909,0.0,4.400786846048277e-09
1910,3.740905363258662e-09,1.2825961626106164e-08
1911,4.788336838146279e-09,1.3832972989291648e-08
1912,7.814131564032323e-09,4.167536982180309e-09
1913,3.181793939432964e-09,5.302989602995467e-09
1914,6.696743715117748e-10,5.357394972094198e-09
1915,5.890381071793627e-09,3.5342285764627945e-09
1916,1.0987462051303964e-09,3.2962386153911893e-09
1917,3.289927441585405e-09,2.1932848870420685e-09
1918,1.4932289182922887e-08,1.1486376294556067e-09
1919,9.207848372660976e-10,8.287063479883727e-09
1920,2.2716695191604686e-09,5.300562211374427e-09
1921,3.0290989716519334e-09,4.543648568500203e-09
1922,5.164555005876537e-09,1.9182632371439468e-08
