year,plusieurs_DET arts_NOUN,plusieurs_DET chars_NOUN
1800,7.766086334015654e-07,9.432493897065797e-09
1801,5.357660786131646e-07,2.6193008650921e-08
1802,5.661735258399858e-07,2.0140561218795483e-08
1803,5.577970290104872e-07,0.0
1804,4.7212353271319785e-07,7.4155526164076946e-09
1805,4.093743901645297e-07,3.4114531644036106e-08
1806,2.9681191904273874e-07,1.729001475325731e-08
1807,3.871858860193811e-07,3.9857372513552036e-08
1808,4.1922368332336646e-07,2.2660739062985158e-08
1809,7.635523013860279e-07,1.581321384946932e-08
1810,3.112368620605821e-07,3.2761775514700275e-08
1811,4.512738200901367e-07,1.7549536934780008e-08
1812,2.853912830502736e-07,5.867858021701977e-08
1813,2.990771328370556e-07,0.0
1814,2.6746754855366817e-07,0.0
1815,1.6722785467493395e-07,4.8550024445148665e-08
1816,1.4832664518849015e-07,3.7081662185300956e-08
1817,4.1568520714463375e-07,3.42512151974006e-08
1818,3.016057954496887e-07,7.152706427149269e-09
1819,4.357792082743117e-07,2.173720581311045e-08
1820,3.4650124192125986e-07,5.933240565525466e-09
1821,3.471243843478078e-07,6.508582117703554e-08
1822,3.8498363608141517e-07,3.107940926838637e-08
1823,3.9333094969951077e-07,6.917880934764753e-09
1824,2.4758071415220684e-07,6.736890156844311e-09
1825,3.099516074911435e-07,2.993850500843109e-08
1826,2.5366994194087056e-07,5.2847905607222856e-08
1827,2.1752764922666756e-07,5.530363722527909e-09
1828,3.21947770887121e-07,1.1006761724274838e-08
1829,3.0263310835110246e-07,1.1145129263923081e-08
1830,2.6092088400986313e-07,3.444155893816969e-08
1831,2.728461083734146e-07,1.091384405071949e-08
1832,2.638344049898933e-07,8.117981842303834e-09
1833,2.050302256861869e-07,6.950177322551099e-09
1834,2.0535968037194152e-07,1.6802156110884425e-08
1835,3.494146625371286e-07,2.2689263801112247e-08
1836,2.2447305703110487e-07,2.688300071440608e-08
1837,1.405494008954733e-07,1.2524203452102256e-08
1838,2.0451403881516228e-07,2.9667161394186792e-08
1839,2.1323999810363148e-07,2.586845759822154e-08
1840,1.5350949489345567e-07,1.1465439264668476e-08
1841,1.5794548735570402e-07,1.1556987367100646e-08
1842,1.0599058430926789e-07,1.542900918138912e-08
1843,1.4058448238873922e-07,1.476727762295127e-08
1844,1.7673167462817219e-07,2.1954245643662773e-09
1845,8.258737693722651e-08,1.6182660544927785e-08
1846,8.898842129845264e-08,2.2832555623963913e-08
1847,9.707802473002403e-08,1.7797638030003782e-08
1848,7.884317199113866e-08,1.7699488319422585e-08
1849,4.1897074254393374e-08,1.6758829435303824e-08
1850,9.436704129228701e-08,4.752297222410107e-09
1851,1.5220675564364683e-07,1.3543821175687754e-08
1852,9.765818420603978e-08,7.812654523320361e-09
1853,1.0868916211492774e-07,2.20961471342207e-08
1854,9.923718924387259e-08,5.7152309551611324e-09
1855,7.960405667972736e-08,0.0
1856,7.040977090255751e-08,6.73034605824796e-09
1857,6.297146915024143e-08,1.6597130780837688e-08
1858,9.444794857316197e-08,6.8511463169329545e-09
1859,7.179964311987419e-08,9.675129808428551e-09
1860,5.263761626572716e-08,1.0985241161165504e-08
1861,8.488734826173072e-08,5.187559992680946e-09
1862,1.1566044877397985e-07,3.1625904395315985e-09
1863,7.09236124274426e-08,1.048870412745373e-08
1864,5.801620939216434e-08,7.1920918109924514e-09
1865,6.966129806329491e-08,1.0355057478150798e-08
1866,5.6927672575923793e-08,5.838735717134114e-09
1867,3.882249011155636e-08,6.308654931785895e-09
1868,4.5940827586576916e-08,9.385760613156435e-09
1869,3.662639258550371e-08,5.371871059089983e-09
1870,4.7019200977160835e-08,1.3188312220080434e-08
1871,3.611200227737754e-08,3.18635318130589e-09
1872,5.684499060354398e-08,1.8142017887967654e-09
1873,6.524744566860363e-08,9.577607151811662e-09
1874,4.002988296392118e-08,2.987304570378768e-09
1875,5.549881265665135e-08,9.154443147973979e-09
1876,9.613163598487517e-08,7.255217537860403e-09
1877,3.154256233983688e-08,8.658742389755503e-09
1878,6.884561010167545e-08,1.3285995414946683e-08
1879,5.864952212775165e-08,1.0385852955430153e-08
1880,6.546203334956147e-08,4.492492378105339e-09
1881,2.3009274485730202e-08,9.064260009239433e-09
1882,2.7952617998039386e-08,5.324308105514319e-09
1883,5.308244865886991e-08,1.2638677882037541e-09
1884,6.60169714450376e-08,1.0562715146988921e-08
