year,des_DET eaux_NOUN,des_DET chaux_NOUN
1800,1.2161627836348998e-05,1.351990706055517e-07
1801,1.0810568916497232e-05,6.191074675143682e-08
1802,1.0750584408469877e-05,9.175144555229053e-08
1803,1.2193521158110343e-05,7.606323038089613e-08
1804,1.1934096463050992e-05,9.640218934237055e-08
1805,1.0493061409988513e-05,5.685755510853596e-08
1806,8.725694257805117e-06,9.221341201737232e-08
1807,1.0451171831959982e-05,5.97860605466849e-08
1808,9.442730757314166e-06,5.891792298484688e-08
1809,1.143069447095968e-05,9.03612189517844e-08
1810,9.154575806746834e-06,7.488405628919281e-08
1811,1.0775416043884434e-05,8.524060746140094e-08
1812,1.0788856940280311e-05,5.601137331723294e-08
1813,9.303023773554742e-06,1.0640244108017782e-07
1814,7.325464238761015e-06,1.8880062846449164e-08
1815,9.127404766218206e-06,4.5852800667489646e-08
1816,8.081484850208653e-06,4.6352077731626196e-09
1817,7.968077664344264e-06,7.161617787687646e-08
1818,8.528410489816451e-06,1.6332013696995773e-07
1819,8.172153641794466e-06,4.968504185853817e-08
1820,7.181594508409717e-06,1.4239777357261119e-08
1821,6.7215905588113856e-06,3.35290586406245e-08
1822,8.149823329972605e-06,8.020492714422289e-08
1823,6.7113327801848754e-06,7.708495530778237e-08
1824,7.527632703840936e-06,2.0968570435542233e-07
1825,7.487268231187727e-06,5.609067494916076e-07
1826,8.103345280119356e-06,1.0481501533377013e-07
1827,7.783987014065019e-06,9.770309361556428e-08
1828,7.69739506267797e-06,3.2836839114480654e-07
1829,8.64176151793572e-06,1.7746474673119295e-07
1830,8.167867537878237e-06,2.0769303432643937e-07
1831,8.966502967666656e-06,4.677361786775691e-08
1832,8.223515258976022e-06,5.006088621417604e-08
1833,9.679280147167901e-06,8.456049127580911e-08
1834,8.237723786663764e-06,3.761815889902209e-07
1835,8.491078808958719e-06,1.0210168710500511e-07
1836,6.8820482610476574e-06,1.0282747808787462e-07
1837,7.70795137583491e-06,1.1341361982886156e-07
1838,7.458450674846517e-06,1.0415067452917981e-07
1839,6.9446324175714835e-06,1.957612996150715e-07
1840,7.442981001304361e-06,2.0064519778983936e-07
1841,7.3110786047436704e-06,2.2343508288003022e-07
1842,6.6042869377724855e-06,4.494537586552383e-08
1843,7.415536231292208e-06,5.7887728388550386e-08
1844,7.332169111862186e-06,7.299786375369877e-08
1845,7.733079932847886e-06,7.868121604248657e-08
1846,7.986125666548105e-06,7.786486522221026e-08
1847,6.925438384541849e-06,8.952750985002922e-08
1848,6.943831074579521e-06,7.964769510593328e-08
1849,7.152668619170299e-06,4.776266493422554e-08
1850,6.721785084096155e-06,1.4732121123017805e-07
1851,7.5155312018182485e-06,1.1415506406819986e-07
1852,8.450037128682197e-06,1.6015941484148755e-07
1853,7.715138671926525e-06,1.7975514765566913e-07
1854,8.09380572519558e-06,1.402829354901769e-07
1855,8.42688534419267e-06,1.4965562655788744e-07
1856,7.945431899969435e-06,3.4376537444424926e-07
1857,8.011532955265466e-06,8.396195833038078e-08
1858,7.1614053993585e-06,8.808616769329092e-08
1859,8.112850899522073e-06,7.943790336639722e-08
1860,7.203114428477875e-06,8.010071872455171e-08
1861,7.572423086799063e-06,1.2591622944313485e-07
1862,7.998191151159517e-06,2.118935498729435e-07
1863,7.627784853525554e-06,1.0039188130805954e-07
1864,7.602041137033666e-06,8.390773864608292e-08
1865,7.054618528457013e-06,8.660593664444605e-08
1866,7.208892000676315e-06,6.082016312802807e-08
1867,7.036091247414333e-06,6.163070409570537e-08
1868,7.288290028384381e-06,5.483260101524223e-08
1869,6.767580892130809e-06,7.032267745898935e-08
1870,7.1973782382883655e-06,2.0413213519532292e-07
1871,6.624428294799145e-06,1.635661277532563e-07
