year,ses_DET ans_NOUN,ses_DET champs_NOUN
1800,3.0812812790159683e-07,1.436883174221748e-06
1801,1.9049460320275102e-07,1.959713280541564e-06
1802,1.991677720525331e-07,1.4568339850029588e-06
1803,2.86699872731333e-07,9.088580803506829e-07
1804,3.534746895184071e-07,1.2260380977124896e-06
1805,2.3595885068061762e-07,1.1627370408717752e-06
1806,2.651135684317296e-07,1.259289376775996e-06
1807,1.6512339584551228e-07,8.683213259530476e-07
1808,2.3793776904312836e-07,1.284863966333205e-06
1809,1.4683698168482806e-07,1.350900202368166e-06
1810,1.9189039335287816e-07,1.3432327605755745e-06
1811,1.1281845502253418e-07,1.208411010367172e-06
1812,1.3869482984318893e-07,8.054968958504105e-07
1813,3.0770434955584847e-07,8.713497354762012e-07
1814,3.1152103474596515e-07,8.999496685646591e-07
1815,1.9959454156115441e-07,6.500308522561227e-07
1816,1.7382029149359823e-07,8.06526172070221e-07
1817,2.0550728674351149e-07,6.928086708768433e-07
1818,1.5855166157763279e-07,7.343445140861604e-07
1819,2.5463583597229444e-07,9.79209353602073e-07
1820,2.2190319004522507e-07,6.752027701395491e-07
1821,2.0610510154117634e-07,7.080548662941055e-07
1822,2.0452256421776838e-07,7.719724095522906e-07
1823,3.508353771941586e-07,8.884535471764821e-07
1824,3.309497262904415e-07,7.410579350164426e-07
1825,2.985045226555627e-07,8.946330112280521e-07
1826,1.7704049115607745e-07,7.891953988092837e-07
1827,1.6683263970307394e-07,8.793278389873649e-07
1828,1.72439257539736e-07,8.392655388433923e-07
1829,1.5431717381719778e-07,6.935699623511482e-07
1830,1.711641122170704e-07,7.806753332673111e-07
1831,1.1225668572478753e-07,7.374640702551005e-07
1832,1.6371262312464552e-07,8.158571480620935e-07
1833,1.4942881421120546e-07,1.0552685623110847e-06
1834,1.3255033382009174e-07,9.045160673792907e-07
1835,1.1495893659230205e-07,8.440406062959482e-07
1836,1.52561029753695e-07,7.547402427476868e-07
1837,1.342872963938646e-07,7.93199548709822e-07
1838,1.5338553316368575e-07,7.050685066900542e-07
1839,1.2864314835603352e-07,8.690403507927158e-07
1840,9.363442332599448e-08,8.643667328556148e-07
1841,1.438202890113871e-07,7.903694978494968e-07
1842,1.0531976091243678e-07,7.499840144475911e-07
1843,1.0455232551942473e-07,7.182803845040553e-07
1844,9.056126382134266e-08,7.541283428835754e-07
1845,6.417262066182872e-08,8.07458960139229e-07
1846,8.781751636988133e-08,7.68696006403502e-07
1847,8.898818659730523e-08,6.687597462473605e-07
1848,8.769291981458593e-08,7.337242102778418e-07
1849,1.03066805534624e-07,7.868270728295101e-07
1850,8.622024783022653e-08,7.121657112918456e-07
1851,8.126293105092941e-08,7.345910795208965e-07
1852,5.3386471465799445e-08,6.126423048868901e-07
1853,8.300985521181303e-08,6.688563907175649e-07
1854,1.080698244226852e-07,7.294713011418708e-07
1855,1.0189318899733735e-07,7.886108264187897e-07
1856,1.2942973603990993e-07,5.617250362632831e-07
1857,1.9818926455528185e-07,8.034963947523011e-07
1858,1.1255455079073329e-07,7.041999694479273e-07
1859,1.217029423905558e-07,7.521140297228612e-07
1860,1.1580275360856263e-07,7.904796550661786e-07
1861,8.677372975718356e-08,8.69152117388694e-07
1862,9.894390129439046e-08,7.915512103551237e-07
1863,1.0538649997116067e-07,7.212232588926781e-07
1864,1.1699136004406085e-07,7.345522963220219e-07
1865,8.425251252219823e-08,7.836896038782015e-07
1866,1.1093597684919132e-07,6.179328426725306e-07
1867,9.899735431417866e-08,6.507620273765724e-07
1868,8.842374432660449e-08,6.905943834567552e-07
1869,8.497323022993442e-08,6.695304843873373e-07
1870,8.601073497871425e-08,6.095294047270272e-07
1871,7.965882775629041e-08,5.703572369952781e-07
1872,7.498700549390946e-08,6.04733955356096e-07
1873,9.098726883038921e-08,5.267684013432472e-07
1874,7.528007572865647e-08,5.29350396405448e-07
1875,9.669380807153516e-08,6.32800901456676e-07
1876,9.915464427301401e-08,5.65302411104085e-07
1877,1.063788335198268e-07,5.875575261882204e-07
1878,1.0568405106603507e-07,6.335003881474677e-07
1879,1.2951769345903585e-07,6.57363397493782e-07
1880,8.407378460084658e-08,5.782479473026569e-07
1881,7.181682448731408e-08,5.159655511732808e-07
1882,6.122954476772691e-08,5.93660343994884e-07
1883,6.066565261253487e-08,6.433087085255806e-07
1884,6.139578090369469e-08,6.053756109736241e-07
1885,5.41433392009516e-08,6.239375505145972e-07
1886,6.195325363833604e-08,5.750036073948195e-07
1887,5.353718296463583e-08,5.340660385044771e-07
1888,6.213802317134309e-08,6.537173611320668e-07
1889,6.82899904402845e-08,6.61598411610953e-07
1890,4.653614471550327e-08,5.662990005816937e-07
1891,5.2268602779292905e-08,5.800540083811256e-07
1892,4.8894397863818995e-08,4.845560077626487e-07
