year,ayons_VERB eu_VERB
1800,2.2323567350213125e-07
1801,1.2144030847593967e-07
1802,1.969299319171114e-07
1803,1.7553053055507917e-07
1804,2.669599155069591e-07
1805,1.648869130121966e-07
1806,1.0085842205853623e-07
1807,2.562259737715067e-07
1808,1.11037628869326e-07
1809,1.197286110254936e-07
1810,1.0764583180389309e-07
1811,2.3315813280078146e-07
1812,1.0935553973467904e-07
1813,2.8469841595324397e-07
1814,2.1397404736944736e-07
1815,1.537417375629957e-07
1816,2.062667476820934e-07
1817,2.2574664626517915e-07
1818,2.777634335870971e-07
1819,1.531955433620169e-07
1820,1.281579926626364e-07
1821,2.2977268088197889e-07
1822,2.3660453507545753e-07
1823,1.7690010167825676e-07
1824,2.39159589909832e-07
1825,1.514536194235916e-07
1826,2.078684246953344e-07
1827,1.7236300209333422e-07
1828,1.9445278098828567e-07
1829,2.3061843990035413e-07
1830,2.4526565312044113e-07
1831,2.1671776551102084e-07
1832,2.54363413887404e-07
1833,2.2472239891158097e-07
1834,2.2869600968533632e-07
1835,2.0344705831121246e-07
1836,1.371032993802146e-07
1837,2.2126093313090678e-07
1838,2.202944529017259e-07
1839,2.544896915424033e-07
1840,1.9172762222297024e-07
1841,2.3563413265037525e-07
1842,1.784398477866489e-07
1843,2.1855571219475678e-07
1844,1.65205690905168e-07
1845,2.3102143131836783e-07
1846,1.639260318597735e-07
1847,1.7905502147641528e-07
1848,2.300933346077727e-07
1849,2.220544956799131e-07
1850,1.9212858148875966e-07
1851,1.5220675209093315e-07
1852,2.161501129194221e-07
1853,1.911018188138769e-07
1854,1.9795481875917176e-07
1855,2.1811511885516666e-07
1856,2.334912352353058e-07
1857,2.269901671070329e-07
1858,2.2657719966900913e-07
1859,2.2049110270927486e-07
1860,1.7576385857864807e-07
1861,2.1457634602484177e-07
1862,2.1731513299982907e-07
1863,1.9528967243331863e-07
1864,2.152832792035042e-07
1865,2.1604415678666555e-07
1866,2.243047561023559e-07
1867,2.0236224429481808e-07
1868,2.2723421011505707e-07
1869,2.3440891538939468e-07
1870,1.9266403228357376e-07
1871,3.3775344832065457e-07
1872,2.50359846631909e-07
1873,2.3824297556984675e-07
1874,2.2882753114572552e-07
1875,2.2828893975201936e-07
1876,2.194703370150819e-07
1877,1.7193788437452895e-07
1878,2.3250491665294248e-07
1879,2.3765275614096026e-07
1880,2.5607207021494105e-07
1881,2.405515147074766e-07
1882,1.6771571154095e-07
1883,2.395029525814607e-07
1884,2.237975280650062e-07
1885,2.5524718694214243e-07
1886,2.426502305752365e-07
1887,2.3569417351154698e-07
1888,2.5362459155076067e-07
1889,2.41834271719199e-07
1890,2.497221203157096e-07
1891,2.1672347827461635e-07
1892,2.33815512729052e-07
1893,2.53110925996225e-07
1894,2.186634162626433e-07
1895,2.6301344746570976e-07
1896,2.1642095759943913e-07
1897,2.150057270000616e-07
1898,2.1784666159874178e-07
1899,2.4652999286445265e-07
1900,1.9310718357701262e-07
1901,2.777603356207692e-07
1902,1.8855490679925424e-07
1903,1.852275488545274e-07
1904,2.12297692314678e-07
1905,2.1107504721840087e-07
1906,1.9753667857003165e-07
1907,1.6971382876818097e-07
1908,2.0529606103991682e-07
1909,1.7548137520861928e-07
1910,2.1643809589022567e-07
1911,2.0111014009671635e-07
1912,2.078559049323303e-07
1913,2.1954377871225006e-07
1914,2.0090230634650652e-07
1915,3.4164210660492245e-07
1916,2.7358780130271043e-07
1917,2.324882046877974e-07
1918,2.848621249995631e-07
1919,2.2559228796126263e-07
1920,2.2716695013969002e-07
1921,2.2188149273461022e-07
1922,2.0805778433441446e-07
1923,1.9639503534563119e-07
1924,2.062659945067935e-07
1925,2.1006519546062918e-07
1926,2.4298580569848127e-07
1927,2.062606654362753e-07
1928,1.9538531148555194e-07
1929,2.2392217147171323e-07
1930,1.6700730043339718e-07
1931,2.0073427720035397e-07
1932,1.6220114673615171e-07
1933,1.950012631368736e-07
1934,2.0129054689732584e-07
1935,1.5080037485404318e-07
1936,1.4549657123552606e-07
1937,1.9768054926316836e-07
1938,1.78919961513202e-07
1939,2.003520620519339e-07
1940,2.0032685199566913e-07
1941,1.3872062254449702e-07
1942,1.7598428314613557e-07
1943,1.800005833274554e-07
1944,1.767252371109862e-07
1945,3.289541155027109e-07
1946,1.8515068234137289e-07
1947,2.205361084861579e-07
1948,1.6851426209996134e-07
1949,1.4823682192854903e-07
1950,1.6059395591128123e-07
1951,1.7697927034987515e-07
1952,1.5289965915599169e-07
1953,1.4867882214275596e-07
1954,1.807919147722714e-07
1955,1.8677359037155838e-07
1956,1.8663243395167228e-07
1957,1.8465229345565604e-07
1958,1.505548254954192e-07
1959,1.5501495909120422e-07
1960,1.27343326994378e-07
1961,1.5494394745019235e-07
1962,1.464991896682477e-07
1963,1.6035812677728245e-07
1964,1.825190452109382e-07
1965,1.3734829451550468e-07
1966,1.25183092336556e-07
1967,1.3804940124373388e-07
1968,1.5854698176553939e-07
1969,1.7440349608932593e-07
1970,1.535974121225081e-07
1971,1.5723496460395836e-07
1972,1.431311034139071e-07
1973,1.356248162664997e-07
1974,1.2601280729995779e-07
1975,1.1308731018289109e-07
1976,1.3369653117933922e-07
1977,1.1988635151283233e-07
1978,1.2891082690202893e-07
1979,1.2581742225847847e-07
1980,1.3189549008529866e-07
1981,1.2777610436387477e-07
1982,1.0242379033797988e-07
1983,1.1304415892254838e-07
1984,1.1250076425994848e-07
1985,1.263267250806166e-07
1986,1.3667427367636265e-07
1987,1.0449496556930171e-07
1988,1.1573348501769942e-07
1989,1.1744581485118033e-07
1990,1.1333194294138593e-07
1991,1.0726481036726909e-07
1992,1.1736180738353141e-07
1993,1.05798861227413e-07
1994,1.2712573038697883e-07
1995,9.651962784573698e-08
1996,8.594328448907618e-08
1997,8.678758689484312e-08
1998,8.630313885760188e-08
1999,9.87163417676129e-08
2000,9.719668980778806e-08
2001,9.857726723794258e-08
2002,9.594874939011788e-08
2003,1.1167353619612186e-07
2004,9.954828072977762e-08
2005,9.592986316420138e-08
2006,1.0047651244349254e-07
2007,1.1264432231428145e-07
2008,1.0260429661457238e-07
2009,1.2349619282758795e-07
2010,1.2659765502576192e-07
2011,1.498997050930484e-07
2012,1.657871138149858e-07
2013,1.6344272069090948e-07
2014,1.769168704868207e-07
2015,1.8441907911892486e-07
2016,1.8207079222065659e-07
2017,1.7307405641986406e-07
2018,1.6366499266950996e-07
2019,1.62497926226024e-07
