year,les_DET airs_NOUN,les_DET chères_ADJ
1800,1.3324968762162825e-05,2.829747991484055e-08
1801,9.998585923653991e-06,9.524730337773235e-09
1802,9.871112979453756e-06,2.2378401354217203e-08
1803,1.2858586558195384e-05,9.751695895232615e-09
1804,1.5327947807008968e-05,1.9774807569206132e-08
1805,1.2190259582212093e-05,3.695740935505398e-08
1806,1.3604359764940455e-05,5.76333825108577e-09
1807,9.542993836930691e-06,2.8469551160981155e-09
1808,1.1763189775138017e-05,1.1330369975581789e-08
1809,9.46985633731856e-06,2.710836710662079e-08
1810,1.557588387868236e-05,4.680253518074551e-09
1811,1.0391833313860843e-05,1.2535384286138651e-08
1812,1.0028703343323286e-05,5.3344164641089264e-09
1813,1.183942828220097e-05,8.627225156487839e-09
1814,1.101022309057953e-05,1.8880061958270744e-08
1815,8.515134723552364e-06,2.4275012222574333e-08
1816,7.467319932175087e-06,6.489290882427667e-08
1817,9.496927731333926e-06,1.4011860671736542e-08
1818,1.0029286769963619e-05,3.337929754820834e-08
1819,9.241417828320664e-06,2.79478351572493e-08
1820,1.0386730480149708e-05,2.8479555602700657e-08
1821,9.884169799079245e-06,2.7612166775270452e-08
1822,9.61155804191094e-06,5.81485721795616e-08
1823,8.369647432004967e-06,4.941343512143703e-08
1824,9.600068523241134e-06,3.536867332343263e-08
1825,1.0828053007116978e-05,1.1447076175841175e-08
1826,9.133879913747478e-06,2.3781557834112732e-08
1827,6.846590473230663e-06,1.0139000472531023e-08
1828,7.461666939434508e-06,1.4675682002973645e-08
1829,8.055356147451675e-06,6.001223074036943e-09
1830,9.430724787762301e-06,2.6092089377982575e-08
1831,8.018557679179139e-06,3.4300654760954785e-08
1832,9.112434710800699e-06,1.2176972430388844e-08
1833,1.0465808713888691e-05,7.876867158529421e-08
1834,8.686714238592685e-06,2.8937046536725575e-08
1835,8.70738324465492e-06,3.6302822081779595e-08
1836,8.332386045140083e-06,1.6129800606279332e-08
1837,7.959827073023007e-06,2.2961040069269245e-08
1838,7.293702950050829e-06,1.5780404982734808e-08
1839,7.055097526631471e-06,2.0974426195863316e-08
1840,6.677344650540817e-06,1.3376346585936005e-08
1841,7.537724059147877e-06,5.264849844976993e-08
1842,6.920917101638224e-06,4.695785627006899e-08
1843,7.585655282582593e-06,4.016699506337318e-08
1844,7.089025793050041e-06,6.311845490714063e-08
1845,6.053989366705537e-06,4.519984520001685e-08
1846,5.999107713705598e-06,2.810160659727501e-08
1847,5.701716169426163e-06,3.937053261182655e-08
1848,6.272859550904286e-06,3.0571842168924945e-08
1849,6.230932918072085e-06,3.184177610471295e-08
1850,6.899656739278726e-06,3.258718184184772e-08
1851,6.306261127519974e-06,4.966067668199514e-08
1852,6.749482395207451e-06,4.427170807730363e-08
1853,6.968049916622476e-06,6.569124888500255e-08
1854,6.6852613400669725e-06,2.8576155441939477e-08
1855,7.634559651137351e-06,8.066544054941005e-08
1856,6.480805353703545e-06,5.436048566842544e-08
1857,7.01619282494903e-06,6.882927916507242e-08
1858,6.3020758886978e-06,4.061751246453582e-08
1859,6.959473168421937e-06,6.772590577241999e-08
1860,7.022773090170631e-06,8.9255088209228e-08
1861,7.099411860167493e-06,7.498382181836405e-08
1862,6.448973493888843e-06,6.099281479876595e-08
1863,6.414591609882336e-06,1.0538650219160672e-07
1864,6.506445842546782e-06,6.52083014252014e-08
1865,5.8444885695507764e-06,9.178346704885598e-08
1866,5.933615113917767e-06,1.1142253342200092e-07
1867,6.235862642256507e-06,1.0918826198746956e-07
1868,5.725807923795401e-06,8.101393511594779e-08
1869,5.786481651171016e-06,1.2404138605148773e-07
1870,6.216282130822037e-06,9.231818243193857e-08
1871,5.228805733281661e-06,7.753459163595267e-08
1872,5.312587347816589e-06,8.587221778100229e-08
1873,4.743908711191125e-06,9.817047508242638e-08
1874,5.086184728497756e-06,7.169531313078181e-08
1875,5.059546225538725e-06,8.296214559777582e-08
1876,5.622189149789847e-06,1.1064207328104203e-07
1877,5.453770590690965e-06,6.926994178257928e-08
1878,5.661645488430622e-06,8.21316041843545e-08
1879,4.9705468612160075e-06,8.369775783556577e-08
1880,5.092560776631672e-06,6.610381753091588e-08
1881,4.6862222120580554e-06,8.227559278317642e-08
1882,4.654776411427974e-06,8.65200071586969e-08
1883,4.673151266842979e-06,7.267239876540543e-08
1884,4.776327870104069e-06,7.988053418728214e-08
1885,4.115538224880311e-06,9.410628054595804e-08
1886,4.749103958090473e-06,7.937760670984062e-08
1887,4.286238905137907e-06,7.573552363027147e-08
1888,4.136617135941378e-06,1.0398608019102085e-07
1889,4.393740184127637e-06,9.460356231727474e-08
1890,3.71699246670687e-06,1.0028211283596988e-07
