year,certains_DET ans_NOUN,certains_DET champs_NOUN
1800,0.0,3.772997558826319e-08
1801,2.3811825844433088e-09,5.2386017301842e-08
1802,0.0,3.3567602031325805e-08
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,2.5935023018064385e-08
1807,0.0,2.8469551160981155e-09
1808,0.0,3.172503593162901e-08
1809,0.0,6.325285539787728e-08
1810,0.0,1.8721014072298203e-08
1811,0.0,4.011322829455821e-08
1812,0.0,1.0668832928217853e-08
1813,0.0,8.627225156487839e-09
1814,0.0,6.293354282149721e-09
1815,0.0,0.0
1816,0.0,2.3176038865813098e-09
1817,0.0,7.784366928831332e-09
1818,0.0,7.152706427149269e-09
1819,0.0,3.1053151161586356e-09
1820,0.0,2.8479554714522237e-08
1821,0.0,7.88919063410276e-09
1822,0.0,6.015369535816717e-09
1823,0.0,6.917880934764753e-09
1824,0.0,1.2631669044083083e-08
1825,1.7610886082763955e-09,2.1133063299316746e-08
1826,0.0,4.403992281964975e-09
1827,1.566936447261469e-08,2.5808365222701468e-08
1828,0.0,5.503380862137419e-09
1829,0.0,6.858540846366168e-09
1830,0.0,1.1480519646056564e-08
1831,1.5591206103948707e-09,6.236482219534878e-09
1832,0.0,1.488296597074168e-08
1833,0.0,9.266902800675325e-09
1834,3.733812370398937e-09,1.120143711119681e-08
1835,6.050470346963266e-09,1.4369867074037757e-08
1836,6.720750067579218e-10,8.064899859050456e-09
1837,6.957890930081589e-10,9.74104708006962e-09
1838,0.0,1.830526885626682e-08
1839,0.0,4.194885327990505e-09
1840,3.1848443882154243e-09,1.3376346252869098e-08
1841,0.0,7.0626033910059505e-09
1842,0.0,4.695785538189057e-09
1843,0.0,8.269675610961258e-09
1844,0.0,1.4819115712327857e-08
1845,0.0,1.6740683339566687e-08
1846,5.854501328173001e-10,1.1709002656346001e-08
1847,0.0,1.4022381478184798e-08
1848,0.0,5.63165514222419e-09
1849,8.379414939696517e-10,2.513824481908955e-09
1850,0.0,9.504594444820214e-09
1851,0.0,2.257303499675345e-08
1852,0.0,2.018269107395554e-08
1853,0.0,1.2541056637616066e-08
1854,2.5978321716024766e-09,1.454786069388092e-08
1855,5.306937111981824e-10,2.1227748447927297e-08
1856,4.141751386299575e-09,1.656700510110909e-08
1857,4.393358121745905e-09,1.757343248698362e-08
1858,0.0,2.0553439616932678e-08
1859,1.5276520048956854e-09,1.0184346477259965e-08
1860,9.154367819341758e-10,2.5632230116201526e-08
1861,6.13075279431996e-09,1.839225793887067e-08
1862,4.517986262886353e-10,1.8071945717679228e-08
1863,9.989241656072068e-10,1.9978482868054925e-08
1864,4.794727948009836e-10,2.0617330065419992e-08
1865,5.6482134525026595e-09,3.012380389577629e-08
1866,1.4596839292835284e-09,3.843834051053818e-08
1867,0.0,2.4749338578544666e-08
1868,0.0,3.951899207876863e-08
1869,0.0,2.1487484458404538e-08
1870,2.2936195165357276e-09,3.38308887570804e-08
1871,0.0,5.629223842618103e-08
1872,6.047339295989218e-10,1.7537283181212615e-08
1873,0.0,1.7958013742713774e-08
1874,0.0,2.5093358502203955e-08
1875,0.0,2.9751940910927033e-08
1876,3.627608879952504e-09,3.0230073333470386e-08
1877,0.0,2.968711676487601e-08
1878,3.6234530931267273e-09,7.850815053611626e-09
1879,0.0,3.482315313885209e-08
1880,0.0,4.55667077403632e-08
1881,2.091752326904839e-09,5.159655502851024e-08
1882,0.0,2.3959387140948252e-08
1883,0.0,2.4013488364449387e-08
1884,6.601696966868076e-10,2.1125429405799423e-08
1885,0.0,2.1915161296792718e-08
1886,1.2906927748801422e-09,3.872078380151578e-08
1887,0.0,4.113222606960676e-08
1888,5.706553452000662e-09,3.8043688421751654e-08
1889,6.265136742733546e-10,2.004843729919159e-08
1890,2.6217545912032847e-09,5.505684708140279e-08
1891,2.5496880162734215e-09,5.736797970001817e-08
1892,0.0,6.080456915746879e-08
1893,6.158416554491453e-10,5.2962381591470375e-08
1894,0.0,4.0960005165402436e-08
1895,6.018614495673091e-10,3.791726976842824e-08
1896,0.0,4.068950054669784e-08
1897,0.0,3.437761164626352e-08
1898,5.6583548957434e-10,4.2437661385008596e-08
1899,0.0,4.477338677588705e-08
1900,5.191053142894475e-10,2.9069898377365178e-08
1901,0.0,4.3033289820471055e-08
1902,0.0,4.0755354424604207e-08
1903,0.0,6.966284082920993e-08
1904,5.374625189347171e-10,5.750848774965789e-08
1905,0.0,3.9221770387065646e-08
1906,0.0,5.504277539314373e-08
1907,0.0,5.708556072292481e-08
1908,2.4556945366072114e-09,7.809108293344025e-08
1909,0.0,5.1709246384756824e-08
1910,5.344150677544235e-10,7.000837176640573e-08
1911,6.384448969498635e-09,3.883873012089367e-08
1912,5.209421227725386e-10,5.469892450093994e-08
1913,1.060597942803554e-09,7.052976025434532e-08
1914,0.0,8.370929993617438e-08
1915,0.0,8.717763566590264e-08
1916,0.0,6.482602454838116e-08
1917,0.0,7.6764971268517e-08
1918,1.1486376294556067e-09,5.7431879696423493e-08
1919,0.0,7.826671399868701e-08
1920,0.0,7.2693424613135e-08
1921,0.0,8.935841755430829e-08
1922,1.4755870969551665e-09,7.156597536805975e-08
1923,1.0615948120573648e-09,6.051090517544822e-08
1924,0.0,1.0442215891970363e-07
1925,0.0,1.0668232297561531e-07
1926,0.0,7.467912777059382e-08
1927,0.0,1.0480271406265729e-07
1928,0.0,8.455270172902374e-08
1929,2.2280812750352652e-09,7.57547624630206e-08
1930,0.0,7.142450586528071e-08
1931,2.2810713318222042e-09,1.0721035526017886e-07
1932,3.287861094491973e-09,6.794912810192955e-08
1933,1.1470662197865522e-09,6.767690519104974e-08
1934,0.0,9.944711365506009e-08
1935,8.377798899061872e-09,8.736847068036013e-08
1936,0.0,8.002311302490739e-08
1937,1.2591118148108649e-09,6.043736866523375e-08
1938,3.8895642262559704e-09,7.26051982979925e-08
