year,suis_VERB aux_ADP,suis_VERB chaud_ADJ
1859,1.6091267696083378e-07,1.5276520048956854e-09
1860,1.6432090887974482e-07,3.204028820036342e-09
1861,1.362913479852068e-07,4.715963730639317e-10
1862,1.6535830127395457e-07,2.710791813242963e-09
1863,1.5483324489196093e-07,6.99246927027275e-09
1864,1.8172019622397784e-07,3.3563094525845827e-09
1865,1.6521023837867688e-07,1.4120533631256649e-09
1866,1.7224269299731532e-07,1.4596839292835284e-09
1867,1.4558435168510186e-07,0.0
1868,1.8129337320260674e-07,4.93987406535723e-10
1869,1.958291164783077e-07,9.278686263769487e-09
1870,1.605533697102146e-07,0.0
1871,2.0923718579979322e-07,1.0621177271019633e-09
1872,2.545929760344734e-07,0.0
1873,2.687716005311813e-07,0.0
1874,2.2225546558729548e-07,0.0
1875,2.5003072323670494e-07,1.1443054281912168e-09
1876,2.454682146435516e-07,4.232210137899983e-09
1877,1.5400192410197633e-07,0.0
1878,1.7513356453946471e-07,1.2078177347163432e-09
1879,1.5823152921257133e-07,6.10932526790009e-10
1880,1.5980437240159517e-07,3.8507077526617195e-09
1881,1.9104670911929134e-07,2.091752326904839e-09
1882,1.9100954773421108e-07,0.0
1883,1.8452469419116824e-07,0.0
1884,1.3533478693261713e-07,1.9805090900604227e-09
1885,1.4180398011376383e-07,1.933690763067375e-09
1886,1.4778431989270757e-07,6.453463874400711e-10
1887,1.7562807386184431e-07,4.570247291724172e-09
1888,1.616856764030672e-07,0.0
1889,1.8482153052445938e-07,0.0
1890,1.4354105815073126e-07,0.0
1891,1.5871808045631042e-07,0.0
1892,1.673692793247028e-07,6.268512375839919e-10
1893,1.3240595819752343e-07,1.847525021858587e-09
1894,1.4367509493240505e-07,5.041231432301174e-09
1895,1.5106722628388525e-07,0.0
1896,1.2324790077400394e-07,0.0
1897,1.4275448734224483e-07,1.1653427112179315e-09
1898,1.5617060000749916e-07,1.13167097914868e-09
1899,1.5974701739196462e-07,0.0
1900,1.3237185214620695e-07,0.0
1901,1.4698383665745496e-07,0.0
1902,1.2423018347362813e-07,0.0
1903,1.2204498034407152e-07,1.0800440541913758e-09
1904,1.4941457493478083e-07,3.2247751136083025e-09
1905,1.3676012144969718e-07,5.160759042333041e-10
1906,1.21917167916763e-07,0.0
1907,1.4039962081824342e-07,0.0
1908,1.3997458836456644e-07,4.911389073214423e-10
1909,1.2707272389889113e-07,5.500983557560346e-10
1910,1.464297270103998e-07,0.0
1911,1.3194528492022073e-07,5.320374141248863e-10
1912,1.437800278836221e-07,0.0
1913,1.1560517521047586e-07,0.0
1914,1.3393487563462259e-07,0.0
1915,1.1427339074998599e-07,0.0
1916,9.229468389548856e-08,0.0
1917,8.992468281121546e-08,1.0966424435210342e-09
1918,1.1141784739265859e-07,0.0
