year,mêmes_ADJ armes_NOUN,mêmes_ADJ charmes_NOUN
1800,6.099679126236879e-07,1.1633408547595536e-07
1801,3.5003384368792467e-07,1.262026785298076e-07
1802,4.1176258491759654e-07,4.923248297927785e-08
1803,5.070882025393075e-07,7.216254971353919e-08
1804,5.957160738034872e-07,8.898663139689234e-08
1805,4.889749902758922e-07,5.970043304159844e-08
1806,3.7173532518863794e-07,6.051504897186533e-08
1807,4.0996152961270127e-07,3.9857372513552036e-08
1808,4.781416009791428e-07,7.024829073998262e-08
1809,5.421672994998517e-07,4.969867006821005e-08
1810,4.984469796909252e-07,2.3401266702194334e-08
1811,4.713304235792748e-07,1.504245972228091e-08
1812,3.3073382610382396e-07,5.867858021701977e-08
1813,5.147577439856832e-07,2.5881675469463516e-08
1814,5.852819526808162e-07,1.2586708564299443e-08
1815,5.340502866602037e-07,2.1577788444915313e-08
1816,5.77083369535103e-07,6.952811304472561e-08
1817,4.888582338935521e-07,6.538868291272593e-08
1818,6.985810045989638e-07,1.0848271614349869e-07
1819,6.158874725770147e-07,2.6912729822470283e-08
1820,7.428417347909999e-07,3.441279616822612e-08
1821,6.321213845694729e-07,5.325203744632745e-08
1822,7.449032466411154e-07,2.0051231786055723e-08
1823,5.099466307001421e-07,3.656594316225892e-08
1824,4.665296557959664e-07,5.894779064874456e-08
1825,5.080740379526105e-07,3.169959583715354e-08
1826,5.531414427606407e-07,3.2589543508265706e-08
1827,5.613319444819354e-07,2.488663675137559e-08
1828,4.7237351918916204e-07,4.586150481600271e-08
1829,5.186771545595548e-07,3.772197487705853e-08
1830,4.3312869024703105e-07,4.905312778191728e-08
1831,5.410148773421497e-07,0.0
1832,3.1930727573126205e-07,2.976593194148336e-08
1833,5.467472874443047e-07,2.7800709290204395e-08
1834,4.0418518665319425e-07,2.5203233278148218e-08
1835,3.554651470949466e-07,2.647080776796429e-08
1836,4.113099123514985e-07,2.352262562510532e-08
1837,4.042534564874245e-07,2.922314124020886e-08
1838,5.396898359322222e-07,2.840472923537618e-08
1839,4.3556889295359724e-07,1.11863602825224e-08
1840,5.433344405503249e-07,1.2102408852854296e-08
1841,3.5569838408022747e-07,2.8892468861840825e-08
1842,4.481121038679703e-07,1.341653010911159e-08
1843,4.418369505820863e-07,2.5990408047960045e-08
1844,4.6323456548424957e-07,2.5247381074677833e-08
1845,4.2911954328817004e-07,3.013322924516615e-08
1846,3.5771003581430705e-07,1.1123552745573306e-08
1847,3.920873696827698e-07,2.0494249852731627e-08
1848,3.2904955649115664e-07,2.976732105253177e-08
1849,4.307019256799549e-07,8.379414495607307e-09
1850,3.652479829696631e-07,2.2403686017469226e-08
1851,4.35982059343587e-07,1.0319102017319892e-08
1852,4.40763925135812e-07,1.2370036550635177e-08
1853,3.863839974638239e-07,1.6124216628554677e-08
1854,3.7668567509641093e-07,2.7537021551893304e-08
1855,3.5715687118909045e-07,3.6087172361476405e-08
1856,3.644741184416489e-07,2.6403665032148638e-08
1857,4.16880887588178e-07,1.9037885934380938e-08
1858,4.0323890448945576e-07,1.5170396494568195e-08
1859,4.4149143185734374e-07,1.2221216039165483e-08
1860,4.5726067021689687e-07,2.746310379109218e-08
1861,4.036864993395284e-07,6.6023493339173456e-09
1862,3.8583603334529926e-07,1.8975542914745347e-08
1863,4.929690868848979e-07,2.1976331865403154e-08
1864,3.778245760699406e-07,1.7740493518658695e-08
1865,4.838636016302189e-07,1.4120533187167439e-08
1866,5.313249573646317e-07,1.6056523222118813e-08
1867,5.211919500425211e-07,2.91168689159349e-09
1868,4.722519548749915e-07,1.1361710683388537e-08
1869,4.3463321475201155e-07,1.3673853160867111e-08
1870,3.2913438818837903e-07,8.601073631098188e-09
1871,3.0695201758135227e-07,2.0180236148803488e-08
1872,4.2210426975941573e-07,1.0280476914203973e-08
1873,3.7831548738154197e-07,4.788803575905831e-09
1874,4.194175549088186e-07,5.974609251779839e-09
1875,4.2797023169782733e-07,1.0298748520654044e-08
1876,3.8936334068040424e-07,1.3301232115736639e-08
1877,4.1685660345791575e-07,3.710889595609501e-09
1878,3.750273975811069e-07,1.3285995414946683e-08
1879,4.0321545924371094e-07,7.94212251520321e-09
1880,3.3693694234671057e-07,1.1552122813895949e-08
1881,3.4862537656721315e-07,9.064259565150223e-09
1882,3.3609694582992233e-07,2.6621540527571597e-08
1883,3.039601891297039e-07,1.7694148368718743e-08
1884,3.5715179347306503e-07,1.386356363042296e-08
1885,2.69427577248571e-07,1.740321664556177e-08
1886,4.285100150269727e-07,6.4534639854230136e-09
1887,2.78132178621604e-07,1.5016526688782506e-08
1888,2.8469360557892287e-07,2.028996703984376e-08
1889,2.7629251864169646e-07,2.5687061366852504e-08
1890,3.6376844142482767e-07,7.209825181320184e-09
1891,3.365588217008053e-07,1.784781566982474e-08
1892,2.532479124184306e-07,1.1283322720601063e-08
1893,3.5349310856247484e-07,1.2932674486876294e-08
1894,3.377624979705729e-07,9.452309157609307e-09
1895,3.0815306928388964e-07,4.814891596538473e-09
1896,2.907235163718269e-07,1.1204354777305525e-08
1897,2.388952609067019e-07,9.322741689743452e-09
1898,2.0822746382709312e-07,7.355861253444118e-09
1899,3.0070027179363024e-07,6.633094074004475e-09
1900,3.218452879760747e-07,7.26747462209687e-09
1901,2.6602396396846473e-07,2.794369402536745e-09
1902,2.2685511869013908e-07,5.892340837476695e-09
1903,2.554304234791971e-07,5.940242076007962e-09
1904,3.2892706514076053e-07,9.674325340824907e-09
1905,2.528771885224046e-07,1.1353670004154992e-08
1906,2.191422590058778e-07,1.3374879870298173e-08
1907,3.1165630787199916e-07,8.228549397415463e-09
1908,2.3378212166136336e-07,1.2278472460991452e-08
1909,2.436935719885014e-07,1.1552065082298668e-08
1910,2.4262444542344497e-07,1.3894791983659616e-08
1911,2.3303238450012032e-07,2.181353409014264e-08
1912,2.0264648048495815e-07,8.856016364688912e-09
1913,1.967409184455704e-07,4.772690687104841e-09
1914,2.1429579977194635e-07,1.4732836284281348e-08
1915,1.9438256471104864e-07,8.246533234057551e-09
1916,2.6369910255397144e-07,2.0876177231343718e-08
1917,2.3577812946484755e-07,3.289927441585405e-09
1918,2.1479524292544738e-07,2.2972752589112133e-09
1919,2.2006757482984085e-07,7.366278698128781e-09
1920,1.50687410549466e-07,6.815008557481406e-09
1921,1.4994040054006064e-07,1.2873671018098776e-08
1922,1.8444839344766706e-07,8.115729421831475e-09
1923,2.271812955534358e-07,2.1231896241147297e-08
1924,1.998201812902778e-07,1.1602462102189293e-08
1925,2.4086009720036827e-07,7.698724324711748e-09
1926,3.0206035361857175e-07,7.802296586589819e-09
1927,2.1629495983166436e-07,1.2264147031260109e-08
1928,1.4739592635315546e-07,1.82816659588525e-08
1929,1.7713245825667912e-07,1.1140405931087116e-08
1930,2.8044622268907915e-07,1.3654684494213143e-08
1931,1.5511284789937463e-07,1.0264820993199919e-08
1932,1.830242579714536e-07,5.4797681947604815e-09
1933,1.743540682941358e-07,4.588264879146209e-09
1934,1.8451633287952518e-07,9.585264137967897e-09
1935,1.6994962948047032e-07,2.393656828303392e-09
1936,1.6125869706229423e-07,6.0623572828433225e-09
1937,1.9264410111574648e-07,7.554670666820584e-09
