year,tes_DET ans_NOUN,tes_DET champs_NOUN
1800,3.45858084394024e-08,3.458580977167003e-08
1801,5.0004833385131064e-08,9.762848662830947e-08
1802,2.0140561218795483e-08,6.713520406265161e-08
1803,2.7304748684287006e-08,4.6808139586573816e-08
1804,6.92118238276862e-08,3.559465451274946e-07
1805,5.685755510853596e-08,5.970043259750923e-08
1806,1.498467980809437e-07,1.2391177506287931e-07
1807,1.1387820464392462e-08,4.839823830593559e-08
1808,6.798221985349073e-09,7.024829473678551e-08
1809,3.6144488291256494e-08,4.0662549327663555e-08
1810,3.978215445954447e-08,1.8955026037659195e-07
1811,3.760615285841595e-08,5.0141535368197765e-08
1812,7.20146218213813e-08,6.934741492159446e-08
1813,4.6011867427253605e-08,5.176335093892703e-08
1814,5.97868634599763e-08,8.810695817373926e-08
1815,4.8550024445148665e-08,8.091670622434322e-08
1816,3.708166040894412e-08,3.244645441213834e-08
1817,5.449056961204235e-08,2.9580593974287694e-08
1818,2.8610826152686286e-08,4.053200441944682e-08
1819,7.659776724011635e-08,9.005413348361913e-08
1820,1.0561168295453172e-07,4.2719333848140195e-08
1821,3.8459806006585495e-08,8.973954068736134e-08
1822,3.709477880420309e-08,6.817418807258946e-08
1823,3.557767347395213e-08,3.458940478484607e-08
1824,6.989523360090288e-08,1.4989580421342907e-07
1825,3.698286188402733e-08,6.163810284398608e-08
1826,3.8755132436563144e-08,1.0393421490118016e-07
1827,3.2260455640198415e-08,3.4103909640759156e-08
1828,4.402704451011985e-08,7.24611788349705e-08
1829,3.257806824308318e-08,6.258418627780316e-08
1830,1.1480518979922749e-08,8.975679022249494e-08
1831,1.7150327380477393e-08,7.016042502527853e-08
1832,4.735489356200162e-08,7.306183236188701e-08
1833,6.023486831541192e-08,1.2741991639586558e-07
1834,3.080395205579123e-08,5.787409040891589e-08
1835,3.1764969321557146e-08,5.218530674255817e-08
1836,3.22596004909137e-08,9.610672657700547e-08
1837,3.1310509740478665e-08,6.888311654407175e-08
1838,3.3454458758797045e-08,6.564648380447125e-08
1839,2.7965900262216792e-08,6.222413029277618e-08
1840,2.930056863803543e-08,4.522479013502334e-08
1841,2.760835826620678e-08,4.879616799513542e-08
1842,3.4212152222323766e-08,4.293289590506788e-08
1843,1.5357968674578615e-08,4.725528701676751e-08
1844,1.701454005464953e-08,4.4457346359827454e-08
1845,2.17628883802945e-08,3.9619617142605534e-08
1846,2.2247105713191218e-08,5.503231181869239e-08
1847,1.887628275909492e-08,5.9325461876369445e-08
1848,1.2067832455553429e-08,5.470750652492029e-08
1849,2.262441967104678e-08,4.4410898070168514e-08
1850,1.6972489191857676e-08,4.95596710337054e-08
1851,1.3543821397732358e-08,4.3856185127921776e-08
1852,2.539112786692499e-08,3.971432827043486e-08
1853,2.9262466672008713e-08,5.912212541758777e-08
1854,2.3380490266067255e-08,3.533051895487915e-08
1855,3.874064091746732e-08,5.890700194299825e-08
1856,2.381507024917795e-08,3.5722604430077354e-08
1857,4.7838790040444223e-08,6.834112392661851e-08
1858,2.055343872875426e-08,5.627727395207671e-08
1859,4.328347347204442e-08,4.684799481680102e-08
1860,1.8308735055816427e-08,7.186178985207903e-08
1861,2.9710572058139206e-08,5.659156609993943e-08
1862,3.840288445577933e-08,6.596260293534328e-08
1863,2.2475794225762513e-08,6.493007198571377e-08
1864,3.0206785961439664e-08,5.370095168544253e-08
1865,1.647395531101381e-08,7.060266371539115e-08
1866,2.7733993990253225e-08,5.3035181579730306e-08
1867,2.717574432153924e-08,3.0572712361731647e-08
1868,1.0867722721741302e-08,2.2229432738996024e-08
1869,2.5882651355502162e-08,4.0533210565740774e-08
1870,2.408300403544672e-08,4.472557968426827e-08
1871,2.124235387590545e-08,3.0801414974135355e-08
1872,2.297988976884824e-08,5.1402385903287495e-08
1873,1.3169209722718733e-08,2.514121905106137e-08
1874,2.2106053876314036e-08,3.4055271935784504e-08
1875,1.4875970677508121e-08,4.920513196893239e-08
1876,1.0882827083946722e-08,4.111290219377395e-08
1877,2.1028373708986692e-08,4.143826792812888e-08
1878,9.662541766708443e-09,3.140326126915838e-08
1879,1.5884245807562536e-08,3.9099682602738994e-08
1880,2.1820676820993867e-08,3.914886059774858e-08
1881,4.183504653809678e-09,2.5798277292210514e-08
1882,1.9966154729544883e-08,3.1945849077175126e-08
1883,1.7062214974217227e-08,4.865890890215496e-08
1884,2.9047466654219534e-08,4.027035149789526e-08
1885,1.5469526104539e-08,2.384885189332664e-08
1886,2.1941776617850905e-08,3.807543691447535e-08
1887,2.546280519766242e-08,3.656197833379338e-08
1888,1.7119660356001987e-08,2.6630581739794934e-08
1889,1.3156787381785051e-08,3.069916942877171e-08
1890,3.015017774332662e-08,4.6536142328523766e-08
1891,2.4222036598686714e-08,2.932141285327816e-08
1892,2.3820346362057876e-08,2.2566645219157522e-08
1893,1.1085149798084615e-08,2.7712873995611176e-08
1894,2.3315696040526745e-08,4.222031479983457e-08
1895,1.745398137131815e-08,2.888934913514163e-08
1896,1.1204355165883584e-08,1.8870493112554954e-08
1897,1.9228155068162778e-08,3.6125624824911995e-08
1898,1.4711722506888236e-08,3.451596342074481e-08
1899,8.291367592505594e-09,2.8743407654019393e-08
1900,7.267474400052265e-09,3.3741843985524156e-08
1901,2.794369402536745e-09,3.576792911852422e-08
1902,7.856454153909453e-09,2.6024505217492333e-08
1903,9.720396931811592e-09,2.808114585306498e-08
1904,1.5048950530172078e-08,2.203596416450182e-08
1905,2.528772019561032e-08,3.5609238058231796e-08
1906,1.6461390472954918e-08,3.755254862625179e-08
1907,2.0571373937627868e-08,2.3657079850636364e-08
1908,1.1787333775714615e-08,3.781769430943882e-08
1909,1.1552065415365576e-08,4.34577707153494e-08
1910,7.481811059584231e-09,4.489086569137157e-08
1911,1.1172786140711821e-08,4.41591071487224e-08
1912,7.814131564032323e-09,3.6986889107026855e-08
1913,1.6969567750990677e-08,3.181793989393e-08
1914,1.875088229130739e-08,4.821655458231433e-08
1915,1.2958838335741518e-08,6.008188790929125e-08
1916,8.789969863087777e-09,4.724608748674086e-08
1917,9.8697816586224e-09,4.0575772075612804e-08
1918,1.2635013924011673e-08,5.054005569604669e-08
1919,2.4861190661695787e-08,5.7088660909698774e-08
1920,9.086677632552664e-09,5.4520070236208085e-08
1921,2.4232791773215467e-08,3.180553864723379e-08
1922,2.0658220023506146e-08,3.320071062518082e-08
1923,5.095655097875351e-08,6.369568961162031e-08
1924,3.0939897754933554e-08,4.512068585427187e-08
1925,3.409435223034052e-08,5.1691434688194704e-08
1926,2.7865347029809584e-08,2.5636119005412183e-08
1927,1.0034302388994831e-08,4.6826743371752855e-08
1928,1.5996457491951332e-08,3.1992914983902665e-08
1929,1.4482528065684619e-08,6.127223173280072e-08
1930,1.575540553577781e-08,2.6259009189288918e-08
1931,1.710803587684495e-08,3.649714308551211e-08
1932,1.6439305028370654e-08,1.6439305028370654e-08
1933,5.735331320977366e-09,1.6058926410877916e-08
1934,9.585264137967897e-09,1.4377896206951846e-08
1935,1.196828414151696e-08,3.4708023122220766e-08
1936,1.8187071404440758e-08,4.9711328831136825e-08
1937,2.7700460591972842e-08,5.0364472592434595e-08
1938,5.963998717106733e-08,4.2785206488815675e-08
1939,1.6823456405745674e-08,1.988226472349197e-08
1940,1.0143131667916805e-08,2.028626333583361e-08
1941,8.854507793643052e-09,2.6563523380929155e-08
1942,2.1239482173029955e-08,5.46158132053165e-08
1943,1.7419411024732767e-08,2.9032351855917682e-08
1944,1.6065930807940276e-08,4.819779064746399e-08
1945,0.0,2.832055256973831e-08
1946,3.6194869323935563e-08,5.150808668474838e-08
1947,9.536696765621855e-09,4.1723047017327985e-08
1948,4.348755133776194e-09,4.6749117910138693e-08
1949,2.2579119018928395e-08,1.3743811422273211e-08
1950,4.892266147749069e-08,3.722376362702562e-08
1951,1.2793682557799002e-08,1.4925962688039363e-08
1952,1.3708244983590134e-08,2.4253048236388963e-08
1953,1.4005975934594517e-08,1.2928592529881655e-08
1954,8.795282502305213e-09,3.615838206627586e-08
1955,6.569925492527773e-09,2.0648337706319353e-08
1956,1.3953826760726429e-08,2.5291311489539225e-08
1957,8.835037590415595e-09,3.3573143376486314e-08
1958,1.3235589513271862e-08,2.7298403371123214e-08
1959,1.9376869886400527e-08,3.720359043057897e-08
