year,plus_ADV eu_VERB
1800,6.382653623404622e-07
1801,8.857999205247324e-07
1802,9.689847502158955e-07
1803,7.547812970187806e-07
1804,7.909923169791e-07
1805,9.324638767793658e-07
1806,6.656655955339374e-07
1807,8.512395766047121e-07
1808,9.562832019582856e-07
1809,1.070780513146019e-06
1810,9.313704367741593e-07
1811,1.0153661378353718e-06
1812,9.735309731695452e-07
1813,1.1502966117404867e-06
1814,7.898159424257756e-07
1815,1.1652006151052774e-06
1816,9.502176112619054e-07
1817,9.590339686837979e-07
1818,1.0097237463924102e-06
1819,9.057168881554389e-07
1820,9.88477836472157e-07
1821,9.930519127010484e-07
1822,8.712260068932665e-07
1823,1.0485530310688773e-06
1824,8.783220550867554e-07
1825,9.589127785147866e-07
1826,8.78156015460263e-07
1827,9.632050250729662e-07
1828,1.0337183766750968e-06
1829,1.0176360092373216e-06
1830,9.372278668706713e-07
1831,9.167629286821466e-07
1832,9.268028975384368e-07
1833,9.417490218766034e-07
1834,9.297193059865094e-07
1835,9.408481673744973e-07
1836,1.0034079878096236e-06
1837,1.0235057743557263e-06
1838,8.319429412040336e-07
1839,1.0095690186062711e-06
1840,1.0573683084658114e-06
1841,1.1409314311094931e-06
1842,1.0236811931463308e-06
1843,9.557381872582482e-07
1844,8.6938808863124e-07
1845,8.911624149732233e-07
1846,8.816879244477605e-07
1847,9.448928040001192e-07
1848,1.034615479511558e-06
1849,1.0139092410099693e-06
1850,9.647163778936374e-07
1851,1.1060787983296905e-06
1852,1.0241087693430018e-06
1853,1.0856972494366346e-06
1854,1.0271828614349943e-06
1855,9.579021025274415e-07
1856,1.029225245474663e-06
1857,1.1129840231660637e-06
1858,9.753096037456999e-07
1859,1.0403309715911746e-06
1860,9.364918014398427e-07
1861,1.0096878213516902e-06
1862,9.415483646080247e-07
1863,9.734516197568155e-07
1864,1.0706627335821395e-06
1865,9.907906814987655e-07
1866,1.105467276829586e-06
1867,1.0472367648617364e-06
1868,9.138767040894891e-07
1869,1.0338410447729984e-06
1870,1.1043778158636997e-06
1871,1.0674283430489595e-06
1872,1.0679601700758212e-06
1873,9.691341347206617e-07
1874,1.093950913855224e-06
1875,1.0052723382614204e-06
1876,8.651847451801586e-07
1877,9.029831176121661e-07
1878,1.0417428484288394e-06
1879,9.243408953807375e-07
1880,1.019795718093519e-06
1881,9.55233531385602e-07
1882,9.284262318942638e-07
1883,1.0351077435188927e-06
1884,9.612070925868466e-07
1885,9.301052159571555e-07
1886,9.62856802289025e-07
1887,1.016553596855374e-06
1888,1.0614188568069949e-06
1889,1.0387597058070241e-06
1890,9.294120104641479e-07
1891,1.0491966122572194e-06
1892,9.734999366628472e-07
1893,9.915050895870081e-07
1894,1.0271509154335945e-06
1895,1.0027011967395083e-06
1896,1.0490814474906074e-06
1897,1.0097694485011743e-06
1898,9.738029120853753e-07
1899,1.0143106692339643e-06
1900,1.0106980425916845e-06
1901,9.590276022208855e-07
1902,8.023403665902151e-07
1903,9.099371141019219e-07
1904,1.0088170938615804e-06
1905,9.862210390565451e-07
1906,9.064053188012622e-07
1907,8.938261544244597e-07
1908,9.130272360380332e-07
1909,9.285660098612425e-07
1910,9.27744565615285e-07
1911,8.108250426630548e-07
1912,8.882063298187859e-07
1913,9.248414016838069e-07
1914,8.123150223582343e-07
1915,9.318582669948228e-07
1916,1.0449076626173337e-06
1917,1.0944492032649578e-06
1918,1.010801156553498e-06
1919,9.419628668183577e-07
1920,8.041710088946274e-07
1921,9.208461051457562e-07
1922,8.809254836705804e-07
1923,8.981091923487838e-07
1924,9.320644380750309e-07
1925,9.249467893823748e-07
1926,8.816595595817489e-07
1927,1.0379928880865918e-06
1928,1.0786183111122227e-06
1929,9.580749065207783e-07
1930,8.717991022422211e-07
1931,8.474179935546999e-07
1932,7.923745215521194e-07
1933,8.006522307368868e-07
1934,8.554848136554938e-07
1935,7.851194254726579e-07
1936,7.105082886482705e-07
1937,8.083497959887609e-07
1938,6.923424393789901e-07
1939,8.029376772356045e-07
1940,8.494872645314899e-07
1941,7.614876835759787e-07
1942,8.617161597612721e-07
1943,7.432282131958345e-07
1944,8.354284091183217e-07
1945,9.062576964424807e-07
1946,7.684449769840285e-07
1947,7.915458581919665e-07
1948,7.153702199502732e-07
1949,7.735802682873327e-07
1950,6.806631063227542e-07
1951,8.347877837877604e-07
1952,7.634437793058169e-07
1953,7.767929446345079e-07
1954,7.036226179479854e-07
1955,6.128801715021837e-07
1956,6.93330775902723e-07
1957,6.705793680339411e-07
1958,7.808997679603635e-07
1959,6.20834896380984e-07
1960,5.993441618556972e-07
1961,6.100484029047948e-07
1962,6.811260959693755e-07
1963,6.685899052172317e-07
1964,6.120471880421974e-07
1965,5.898862696085416e-07
1966,6.259154474719253e-07
1967,6.97642462910153e-07
1968,6.108325578679796e-07
1969,6.222207957762294e-07
1970,6.258864573283063e-07
1971,5.70875954508665e-07
1972,5.812456151943479e-07
1973,5.34229457116453e-07
1974,4.98988185881899e-07
1975,4.86046985770372e-07
1976,5.302152885633404e-07
1977,4.871852183896408e-07
1978,5.150492938810203e-07
1979,5.489151249093993e-07
1980,5.764742923020094e-07
1981,5.256531494524097e-07
1982,5.79780703446886e-07
1983,5.658523036800034e-07
1984,5.369881819206057e-07
1985,5.317753561939753e-07
1986,6.084403025852225e-07
1987,5.542510734812822e-07
1988,5.378908554121153e-07
1989,5.866802439413732e-07
1990,5.230704687164689e-07
1991,5.193257948121754e-07
1992,5.317095883583534e-07
1993,5.566903382714372e-07
1994,5.248551815384417e-07
1995,5.595969128080469e-07
1996,5.439516144178924e-07
1997,5.259999511508795e-07
1998,5.559638793783961e-07
1999,5.900129735891824e-07
2000,5.597646008936863e-07
2001,5.331934858077148e-07
2002,5.910267759645649e-07
2003,5.767021207248035e-07
2004,5.796705409011338e-07
2005,6.516925736832491e-07
2006,6.242721042326593e-07
2007,7.114168170119228e-07
2008,7.510123509746336e-07
2009,8.558905619793222e-07
2010,1.012308871395362e-06
2011,9.647881142882397e-07
2012,1.13191401851509e-06
2013,1.2679362271228456e-06
2014,1.3300164027896244e-06
2015,1.2559115702970303e-06
2016,1.2599961110026925e-06
2017,1.3410724477580516e-06
2018,1.380826574859384e-06
2019,1.3622274082081276e-06
