year,étiez_VERB aux_ADP
1800,5.973912209356058e-08
1801,1.6668277424969347e-08
1802,1.1189200677108602e-08
1803,1.950339223455444e-09
1804,3.213406074564773e-08
1805,1.9900143755080535e-08
1806,2.0171682990621775e-08
1807,2.8469551160981155e-09
1808,2.4926814390369145e-08
1809,1.3554183553310395e-08
1810,7.020380277111826e-09
1811,1.2535384286138651e-08
1812,1.8670457180292033e-08
1813,2.8757416448144113e-09
1814,6.922689976818219e-08
1815,2.697223555614414e-09
1816,1.622322720606917e-08
1817,1.0898113522728181e-08
1818,3.9339884239097955e-08
1819,2.5877625375869684e-08
1820,9.493184904840746e-09
1821,2.6626018723163725e-08
1822,5.81485721795616e-08
1823,2.2730180404550993e-08
1824,3.452656116564867e-08
1825,1.584979791857677e-08
1826,7.927186018719112e-09
1827,4.055600300034712e-08
1828,1.1006761724274838e-08
1829,4.200856196234781e-08
1830,3.339787468803479e-08
1831,2.3386808933878456e-08
1832,1.352996914505411e-08
1833,1.6217079235048004e-08
1834,3.827157613045529e-08
1835,2.571449897459388e-08
1836,3.427582484505365e-08
1837,1.1828414692161004e-08
1838,1.3255539776935166e-08
1839,2.23727205650448e-08
1840,2.8026629905752998e-08
1841,1.4767261191650505e-08
1842,1.542900918138912e-08
1843,1.2995204023980023e-08
1844,1.0977122322231025e-08
1845,2.0646844234306627e-08
1846,1.4636253098387897e-08
1847,1.294373674909366e-08
1848,2.654923214606697e-08
1849,2.5976186535103807e-08
1850,1.0862393651223101e-08
1851,2.1283147688677673e-08
1852,1.7578472011337e-08
1853,4.060913738612726e-08
1854,1.9223959313308114e-08
1855,2.2289135870323662e-08
1856,2.0708757375587084e-08
1857,1.513267733344037e-08
1858,1.1255455234504552e-08
1859,2.34239969643113e-08
1860,3.4328881071132855e-08
1861,2.2165028923382124e-08
1862,1.1294965851504912e-08
1863,1.9479021062807078e-08
1864,9.109982990196386e-09
1865,2.5416959203994338e-08
1866,1.5083399418358567e-08
1867,7.76449837758264e-09
1868,2.0253484223076157e-08
1869,8.30198221279943e-09
1870,1.3761717099214366e-08
1871,7.434824311758348e-09
1872,7.861540751719076e-09
1873,1.4366410283628284e-08
1874,4.779687312606029e-09
1875,8.010138330405425e-09
1876,7.859819461941697e-09
1877,7.421779191219002e-09
1878,1.3285995414946683e-08
1879,9.163987790827832e-09
1880,1.4119262203848848e-08
1881,4.183504653809678e-09
1882,2.3293848627758962e-08
1883,4.423537092179686e-09
1884,6.601696966868076e-09
1885,1.160214413431504e-08
1886,6.4534639854230136e-09
1887,1.1099172247952538e-08
1888,1.521747527988282e-08
1889,1.0650732740202784e-08
1890,1.1797895993481688e-08
1891,4.461953917456185e-09
1892,6.8953633913793055e-09
1893,5.542574843531156e-09
1894,6.9316934414587195e-09
1895,1.0833506536300774e-08
1896,7.66613794667137e-09
1897,1.0488084178916779e-08
1898,1.3580051749784161e-08
1899,1.6582735185011188e-08
1900,1.972600216504361e-08
1901,1.676621730339889e-09
1902,4.910283735171106e-09
1903,7.020286574288548e-09
1904,8.599400302955473e-09
1905,1.1353670004154992e-08
1906,1.7490227932626112e-08
1907,5.142843484406967e-09
1908,1.964555629285769e-09
1909,2.3104130164597336e-08
1910,1.0153886620400954e-08
1911,3.7242617878519013e-09
1912,6.772247651554153e-09
1913,6.893886794756554e-09
1914,2.678697486047099e-09
1915,7.068456930880984e-09
1916,1.0987462051303964e-09
1917,1.315970976634162e-08
1918,5.743188147278033e-09
1919,2.301962176431971e-08
1920,1.0601124422748853e-08
1921,1.1359120755116692e-08
1922,3.172512208493572e-08
1923,1.1677542488541803e-08
1924,1.0313299547703991e-08
1925,1.0998178368026856e-08
1926,1.671920735191179e-08
1927,4.4596899506643695e-09
1928,9.14083297942625e-09
1929,6.684243825105796e-09
1930,7.352522590764465e-09
1931,5.7026783295555106e-09
1932,1.0959536389520963e-08
1933,1.1470662197865522e-09
1934,3.5944740517379614e-09
1935,9.574627313213568e-09
1936,2.0612015205756506e-08
1937,1.1332006444320086e-08
1938,1.5558256905023882e-08
1939,6.117620188206274e-09
1940,5.0715658339584024e-09
1941,8.854508237732261e-09
1942,1.2136847082899749e-08
1943,2.322588166236983e-08
1944,2.8918675454292497e-08
1945,1.089252066321933e-08
1946,1.3921104269343232e-08
1947,1.1920871401116528e-08
1948,9.784699273041042e-09
1949,3.9268033269479474e-09
1950,1.1698897850465073e-08
1951,9.595261474260042e-09
1952,1.1599284199803606e-08
1953,7.54167928107563e-09
1954,1.172704333640695e-08
1955,1.0324168187025862e-08
1956,8.72114114258693e-09
1957,7.068030161150318e-09
1958,1.9026160202884057e-08
1959,9.300897829689347e-09
1960,6.2287499602575735e-09
1961,9.03260666262895e-09
1962,1.1415521861124489e-08
1963,6.466053470433053e-09
1964,1.764350798794112e-08
1965,9.849678406226303e-09
1966,4.985167390003653e-09
1967,3.944268467392931e-09
1968,8.982831367632116e-09
1969,1.1354394757745467e-08
1970,8.7375777724219e-09
1971,1.0276794526475896e-08
1972,7.69522046084603e-09
1973,8.269805285010534e-09
1974,5.625571564138454e-09
1975,6.282628195464213e-09
1976,6.8562320265641574e-09
1977,6.464460078348111e-09
1978,2.970295565063452e-09
1979,5.851973128301324e-09
1980,1.0233271119375331e-08
1981,1.0120879245789638e-08
1982,4.345251713999687e-09
1983,1.515675762675528e-08
1984,1.5077421977593986e-08
1985,5.414002135495366e-09
1986,1.1389522214244607e-08
1987,7.332980445085013e-09
1988,1.139345240375178e-08
1989,8.232182935330457e-09
1990,1.2531897297662908e-08
1991,9.96449056600568e-09
1992,1.0468894195980738e-08
1993,1.883330469354405e-08
1994,1.5297286992677073e-08
1995,8.133675954979935e-09
1996,1.1209993822092201e-08
1997,9.58978851883785e-09
1998,1.2397135762398648e-08
1999,9.140402212892695e-09
2000,1.0603275590881367e-08
2001,1.0076787404500465e-08
2002,1.0076809608960957e-08
2003,4.166922806803086e-09
2004,1.189293641346012e-08
2005,1.4411998705554652e-08
2006,1.4824403926638752e-08
2007,9.586750948642475e-09
2008,1.1069342775726909e-08
2009,2.2410505451375684e-08
2010,2.3146585093059002e-08
2011,2.6767803973370974e-08
2012,2.927657405393802e-08
2013,2.7054513296320692e-08
