year,leurs_DET airs_NOUN,leurs_DET chairs_NOUN
1800,1.886498623981936e-07,1.5091990102078512e-07
1801,1.381085894536227e-07,2.190688022096765e-07
1802,7.832440473976021e-08,1.1636768704192946e-07
1803,1.8918290400904425e-07,3.354583384407306e-07
1804,1.9033252973699177e-07,2.6943174802340764e-07
1805,1.421438877713399e-07,2.1321582344135948e-07
1806,2.564685619432794e-07,1.5272846720648658e-07
1807,1.5942949005420815e-07,1.0533733885154106e-07
1808,1.4049658503267892e-07,7.704651894258063e-08
1809,1.0391540516963005e-07,3.840352036377226e-08
1810,1.0296557917399696e-07,6.786367379163494e-08
1811,1.0780430415024966e-07,1.5042460921321776e-07
1812,2.667208214290895e-07,1.7870294755084615e-07
1813,2.0705339420779012e-07,1.581657897986588e-07
1814,1.5104050810066383e-07,1.0384034254684593e-07
1815,1.537417375629957e-07,3.074834751259914e-07
1816,1.0429217844887262e-07,2.943357060303242e-07
1817,1.588010940523077e-07,1.4945985393755024e-07
1818,5.364529886975333e-08,2.551132070038875e-07
1819,8.591371281063687e-08,2.2565289725662296e-07
1820,2.5038275097699625e-07,9.967844505354151e-08
1821,1.4200543052567127e-07,1.5975611233898235e-07
1822,8.72228582693424e-08,2.2056354964661296e-07
1823,1.353928098524193e-07,1.215570519796927e-07
1824,1.5494847005470547e-07,1.3052725389428588e-07
1825,1.6025906202088436e-07,1.6554232895593657e-07
1826,1.5149733556540923e-07,1.1362299900952166e-07
1827,9.770309539192112e-08,6.636436467033491e-08
1828,9.997808092521154e-08,1.5042573409118631e-07
1829,1.1830983304150777e-07,1.2859763903749766e-07
1830,1.7012042263786498e-07,7.51452191583013e-08
1831,9.510636012066698e-08,9.042899762334855e-08
1832,1.5694764599061273e-07,1.5424164701016707e-07
1833,2.2588075054841283e-07,1.6912098033117218e-07
1834,1.7455573164681937e-07,1.5868702751831165e-07
1835,1.406734426723233e-07,1.5655592733310186e-07
1836,1.0148332352244438e-07,1.6129800850528397e-07
1837,1.0158520957759265e-07,1.6142307135424971e-07
1838,9.405121303984743e-08,1.6285378379166104e-07
1839,9.088917574118227e-08,1.4542268056416674e-07
1840,8.981260979368244e-08,1.3057861281140504e-07
1841,9.502411835171642e-08,9.951849877509744e-08
1842,1.09344717280635e-07,9.659901500924661e-08
1843,9.74640315121178e-08,1.3881240379376436e-07
1844,1.1416207801318023e-07,1.4050717078717412e-07
1845,4.185171054160719e-08,1.305773402737742e-07
1846,9.133021894314197e-08,1.75049583939213e-07
1847,6.417936226910115e-08,1.1271837507820237e-07
1848,7.964769821455775e-08,1.1665571353347559e-07
1849,8.128032291665477e-08,9.217356256030484e-08
1850,4.8880770542325536e-08,1.4121111124865138e-07
1851,4.6435958633850305e-08,1.0512584935895575e-07
1852,1.6211258824228025e-07,1.0547083761913711e-07
1853,9.73424918448984e-08,9.973125925100135e-08
1854,9.248282384355377e-08,1.3820467170688744e-07
1855,1.1356845419641104e-07,1.2312093744526464e-07
1856,1.1027413204800496e-07,1.3357147893300336e-07
1857,1.0007093553809909e-07,1.2350218137058278e-07
1858,1.04235298392652e-07,1.3457609404632365e-07
1859,1.2883198241553373e-07,1.043895565544517e-07
1860,9.566314140840859e-08,1.0207119771621365e-07
1861,7.969978632615948e-08,1.1789909343251637e-07
1862,7.861296413835817e-08,1.129496576268707e-07
1863,7.841554694465458e-08,1.3984938629363342e-07
1864,1.0212770273909655e-07,1.0452507126501587e-07
1865,1.0119715088130476e-07,1.1296426150053662e-07
1866,9.244664234131506e-08,8.36885440946844e-08
1867,9.268870115874961e-08,1.261730986357179e-07
1868,1.0620729096189052e-07,1.1954494993915432e-07
1869,1.8215526154108375e-07,1.240413842751309e-07
1870,9.518521082441112e-08,8.429051590042036e-08
1871,6.266494922968491e-08,6.054071377548098e-08
1872,9.494322972258828e-08,1.2578465491408508e-07
1873,7.72194583831265e-08,9.697327030266933e-08
1874,1.0276327522262818e-07,1.165048777451716e-07
1875,7.895707676564001e-08,9.26887366858864e-08
1876,8.94810217033637e-08,1.070144630688219e-07
1877,7.792867950939808e-08,1.1441909852916154e-07
1878,1.0266450534146543e-07,6.884561271069956e-08
1879,1.1118971743329098e-07,1.3379421925918678e-07
1880,8.086486347202992e-08,8.535735784853671e-08
1881,1.0737661404469634e-07,1.1644087716256024e-07
1882,1.118104702158007e-07,1.0582062426323091e-07
1883,1.1438003311159406e-07,9.668588685229906e-08
1884,1.181703774832954e-07,1.0364664504436405e-07
1885,8.572695131547903e-08,8.894976932793952e-08
1886,9.873799999837729e-08,1.0131937955293324e-07
1887,9.989254978748363e-08,1.1164461244383972e-07
1888,7.735549889531512e-08,9.891358843105991e-08
1889,8.833842990441099e-08,9.021796909536306e-08
1890,8.061895417910137e-08,9.634947906178581e-08
1891,8.732681422429778e-08,7.330353124501698e-08
1892,1.0029619978979554e-07,8.650546767796641e-08
1893,9.9766346517427e-08,8.806535611860511e-08
1894,9.830401559440816e-08,8.381046967542716e-08
1895,9.328852534906673e-08,9.268666056883035e-08
1896,1.0083919566028499e-07,1.0083919299574973e-07
