year,nos_DET chantiers_NOUN
1800,8.803660733747165e-08
1801,2.1906879510424915e-07
1802,8.951360541686881e-08
1803,7.216254971353919e-08
1804,8.157108055684148e-08
1805,9.381496113292087e-08
1806,8.645007198992971e-08
1807,7.6867792131452e-08
1808,1.1330369664719342e-07
1809,1.129515236897305e-08
1810,9.594519667643908e-08
1811,3.7606150637969904e-08
1812,1.0668832928217853e-08
1813,4.3136125782439194e-08
1814,4.72001566720337e-08
1815,8.361393355471591e-08
1816,6.952811304472561e-08
1817,5.293369653713853e-08
1818,1.0252212234718172e-07
1819,6.521161677319753e-08
1820,1.2578470709456724e-07
1821,8.776724769177235e-08
1822,1.3634837614517892e-07
1823,2.569498569471307e-08
1824,9.010590851232791e-08
1825,5.0191026446100295e-08
1826,8.015265962058038e-08
1827,1.2996354348260297e-07
1828,6.879225600275873e-08
1829,4.715246665343287e-08
1830,3.8616291719861806e-08
1831,2.6505050598757407e-08
1832,5.141388470519814e-08
1833,6.602668034538794e-08
1834,6.254136053485126e-08
1835,7.033671778344797e-08
1836,7.392824946661491e-08
1837,4.6617870896881186e-08
1838,3.282324145814641e-08
1839,4.2647997355871325e-08
1840,7.261444778805526e-08
1841,3.7239180183945564e-08
1842,4.762868055507852e-08
1843,5.9069112268161916e-08
1844,6.696044607679141e-08
1845,1.0435025965538358e-07
1846,9.250112431580249e-08
1847,8.197699763456967e-08
1848,4.98803736093123e-08
1849,7.03870834950493e-08
1850,3.530277847829666e-08
1851,1.6381574319268566e-07
1852,3.971432604998881e-08
1853,1.039116157564024e-07
1854,6.754363823802123e-08
1855,6.102978034050466e-08
1856,3.002769738413846e-08
1857,4.6862489000432106e-08
1858,6.508589289744293e-08
1859,8.045633759223847e-08
1860,9.612086482313487e-08
1861,1.7024629350714804e-07
1862,8.042015775533429e-08
1863,1.2086982081882525e-07
1864,8.103090176625471e-08
1865,7.201472052020819e-08
1866,1.1190909826597206e-07
1867,1.3539344756452465e-07
1868,1.0867722854968065e-07
1869,7.374113764058166e-08
1870,9.403839973387562e-08
1871,8.709365317827178e-08
1872,1.729539027550686e-07
1873,1.1672709021581795e-07
1874,5.556386506455624e-08
1875,1.2930651394071901e-07
1876,1.6687000226056625e-07
1877,1.2926265213764054e-07
1878,1.1051532311512346e-07
1879,1.5395499497472542e-07
1880,1.0589446097775124e-07
1881,1.5548692422484578e-07
1882,1.0648616344255402e-07
1883,8.278334312494806e-08
1884,1.1751020245753807e-07
1885,8.637152171253604e-08
1886,8.389503136640997e-08
1887,8.879337404232857e-08
1888,9.701140379902995e-08
1889,6.954302023132186e-08
