year,ses_DET armes_NOUN,ses_DET charmes_NOUN
1800,8.747065869840753e-06,3.593780093069654e-06
1801,7.969818113906513e-06,4.457573894001143e-06
1802,8.387425111777702e-06,3.963215021940414e-06
1803,9.936978351277048e-06,4.333653699006845e-06
1804,1.0008524512272743e-05,4.034060964386299e-06
1805,8.83850677269038e-06,3.943071511969265e-06
1806,9.679526698391783e-06,3.864318387059029e-06
1807,7.903147043464287e-06,2.892506422824681e-06
1808,9.778109152591696e-06,4.400715923225107e-06
1809,1.0963075325776117e-05,2.5346322729546955e-06
1810,1.1277071010340478e-05,5.3612305350725364e-06
1811,1.1813345508926432e-05,3.906025668243274e-06
1812,1.054347455919924e-05,3.0726238975375963e-06
1813,1.0093853020975985e-05,4.187079852613351e-06
1814,1.2602442353681909e-05,2.693555586574803e-06
1815,9.56165723664526e-06,2.718801436429885e-06
1816,7.875217761466047e-06,2.2897926044151973e-06
1817,9.652615005961707e-06,3.1028487086359746e-06
1818,1.2074960523023037e-05,2.697762361947298e-06
1819,1.4648806001105186e-05,2.7875376673591745e-06
1820,1.2676961716806545e-05,3.5006118963565314e-06
1821,1.0404856212176128e-05,3.007753882400266e-06
1822,1.2314463944562704e-05,3.0778639938944252e-06
1823,1.563441028906709e-05,2.812612613922738e-06
1824,1.1816505200101801e-05,2.8741258617515086e-06
1825,1.4109841558251901e-05,2.954226225426737e-06
1826,1.2435993284043434e-05,2.6899585208184362e-06
1827,1.0035767147087427e-05,2.055451972182709e-06
1828,1.0100537707558033e-05,2.4187359386473872e-06
1829,9.100426481722934e-06,1.9426816919576595e-06
1830,9.793927191026341e-06,2.6394757171033234e-06
1831,7.1282992308852045e-06,1.626162763557204e-06
1832,7.720200514427233e-06,2.0443783910195634e-06
1833,8.072631018762877e-06,2.1232791098668713e-06
1834,9.187978889713122e-06,2.061064343195085e-06
1835,9.866804305147525e-06,1.8688390852616976e-06
1836,1.0601311458913187e-05,1.8219953226150665e-06
1837,1.0246189773965853e-05,1.4027108132808053e-06
1838,1.2883754024528571e-05,1.645580663733881e-06
1839,1.006422851901334e-05,1.4738029481264903e-06
1840,9.911235196113921e-06,1.4185296599578123e-06
1841,8.457146392970571e-06,1.4696635943778347e-06
1842,9.459324331828611e-06,1.3926358501947789e-06
1843,8.289167880093373e-06,1.320194609633063e-06
1844,9.969423075517625e-06,1.5417368786074803e-06
1845,7.843010536134898e-06,1.3275362125142465e-06
1846,7.996077783900546e-06,1.1392859313730241e-06
1847,8.342777434222626e-06,1.189745098884032e-06
1848,7.954310760283079e-06,1.0048482259605862e-06
1849,7.660460937586322e-06,1.1102725299139138e-06
1850,8.242520081580551e-06,1.0943861337153749e-06
1851,7.156297428423386e-06,1.1970158553253896e-06
1852,7.209778019046098e-06,1.2708584904430609e-06
1853,7.523439819578925e-06,1.3735443538109848e-06
1854,7.949886338565193e-06,1.6620930836097614e-06
1855,7.456246663650745e-06,1.7703942063462819e-06
1856,6.8401024151398815e-06,1.6054464104797717e-06
1857,7.605879289940276e-06,1.2340455359804992e-06
1858,7.868052755100052e-06,1.5312311774096088e-06
1859,7.350043176757026e-06,1.3641932419261593e-06
1860,7.737729390555614e-06,1.376816902265432e-06
1861,6.8876652505878155e-06,1.2087015566208947e-06
1862,7.261759279231228e-06,1.3779858214491014e-06
1863,6.712770300509874e-06,1.3565389842540299e-06
1864,6.349658093540711e-06,1.2797128547958891e-06
1865,7.143106984131009e-06,1.0891637316490232e-06
1866,6.88970783357945e-06,1.0543783623973013e-06
1867,6.79830367289469e-06,9.283428319406539e-07
1868,6.622395133604186e-06,9.346241514052167e-07
1869,6.019425612180385e-06,9.351938974333507e-07
1870,6.396905007477471e-06,1.0309819806764153e-06
1871,6.198518931910257e-06,9.006758112661828e-07
1872,6.594623627620422e-06,9.022630234056805e-07
1873,5.911778217182473e-06,8.482168212253782e-07
1874,6.2446614634836806e-06,7.790890292902475e-07
1875,5.696352559425577e-06,1.0390292786155442e-06
1876,5.472247863735902e-06,1.140883026273798e-06
1877,5.689412205356348e-06,9.914260239440864e-07
1878,5.6737238338655516e-06,8.835186982025789e-07
1879,5.827074630815332e-06,1.0477493308513885e-06
1880,5.445542399229453e-06,1.0120943318980835e-06
1881,5.086444090807163e-06,9.594170631288534e-07
1882,5.190534807297809e-06,1.0116185507058617e-06
1883,5.078852751694285e-06,1.039531307256425e-06
1884,4.947971973479071e-06,7.928638030563206e-07
1885,4.861942983325207e-06,7.915240596290118e-07
1886,5.157608427452942e-06,8.286247794586643e-07
1887,4.81508209304593e-06,8.787932745946136e-07
1888,4.7383413317447776e-06,7.152213612471314e-07
1889,4.48521159057691e-06,7.474307963661886e-07
1890,4.156136526489718e-06,6.469179298917993e-07
1891,3.839830199581229e-06,6.437962216665483e-07
1892,3.88961190367354e-06,7.277743003797355e-07
1893,4.283794538650909e-06,6.269268073566536e-07
1894,4.298910141642409e-06,6.358253257232604e-07
1895,4.444144963144936e-06,6.114912087795688e-07
1896,4.156225827500748e-06,5.832161926733193e-07
1897,3.7547342515154014e-06,5.488764331929019e-07
1898,3.6196495898366265e-06,5.918639054414143e-07
1899,3.5171980528048152e-06,6.157722154398471e-07
1900,3.602071799946316e-06,6.203308497987337e-07
1901,3.183904588865971e-06,5.985539610620094e-07
1902,2.753687226686452e-06,5.69101906933156e-07
