year,ses_DET aises_NOUN,ses_DET chaises_NOUN
1800,2.483890000348765e-07,1.2576657937302116e-08
1801,1.2144030847593967e-07,2.3811825844433088e-09
1802,1.4545960880241182e-07,0.0
1803,1.014176405078615e-07,9.751696339321825e-09
1804,1.507829097135982e-07,0.0
1805,1.7341554325867037e-07,3.695740957709859e-08
1806,7.780506905419315e-08,1.729001475325731e-08
1807,1.1387820109121094e-07,1.9928686256776018e-08
1808,1.744876954035135e-07,2.4926814390369145e-08
1809,6.777091243748146e-08,0.0
1810,1.7550951270095538e-07,9.360507036149102e-09
1811,1.7298829391165782e-07,5.0141535368197765e-09
1812,1.520308643421231e-07,2.9339290108509886e-08
1813,2.1280487771946355e-07,0.0
1814,8.496028414128887e-08,0.0
1815,1.2407228666688752e-07,8.091670444798638e-09
1816,1.2051540920765547e-07,3.9399267848239106e-08
1817,1.1832237589715078e-07,1.8682481339737933e-08
1818,1.4305412321391486e-07,1.7881765401739358e-08
1819,1.2628281353954662e-07,1.449147024601416e-08
1820,2.2546313971361087e-07,1.3053129244156025e-08
1821,2.06105099209708e-07,2.3667571014129862e-08
1822,2.095353721642823e-07,8.02049271442229e-09
1823,2.974688868562225e-07,1.3835761869529506e-08
1824,1.9368559378563077e-07,1.2631669044083083e-08
1825,1.7963104426144128e-07,2.905796137042671e-08
1826,1.7175570121708006e-07,9.688783109140786e-09
1827,1.7328473234101693e-07,3.133872894522938e-08
1828,1.7060480672626e-07,1.2841221419535032e-08
1829,1.997550072019294e-07,1.0287811491593857e-08
1830,1.8368831433690502e-07,9.39315203396518e-09
1831,1.933309619062129e-07,1.091384405071949e-08
1832,2.624813930651726e-07,2.570694235259907e-08
1833,2.6526510055191466e-07,3.59092489077284e-08
1834,2.202949360707862e-07,2.9870498963191494e-08
1835,3.6832238947681617e-07,3.1764969321557146e-08
1836,2.5202811571034545e-07,2.1506400216253496e-08
1837,2.8736090484926535e-07,1.8786305622242594e-08
1838,1.6411621572842705e-07,1.8936486156917454e-08
1839,1.97858753381297e-07,1.3283802502428443e-08
1840,2.0128216249304387e-07,2.5478755105723394e-08
1841,1.7463892731939268e-07,3.146068783266287e-08
1842,2.166769661471335e-07,8.720744570922534e-09
1843,2.1264879990212648e-07,2.1855571574747046e-08
1844,2.8375862370921823e-07,1.1525978449444807e-08
1845,2.4273992949019885e-07,8.370341586516616e-09
1846,1.9963849240411946e-07,3.5127007969038004e-09
1847,2.1141437400729046e-07,1.4561703842730367e-08
1848,1.7779939298634417e-07,3.218088551193432e-08
1849,2.212165526316312e-07,3.5193544078993e-08
1850,1.575047008373076e-07,2.3761486112050534e-08
1851,2.250854151952808e-07,1.096404567135778e-08
1852,2.1484800072357757e-07,2.408901877970493e-08
1853,2.5022393401741283e-07,1.0749477752369785e-08
1854,3.340812213536992e-07,3.844791862661623e-08
1855,3.014340279605676e-07,1.751289246954002e-08
1856,2.614480649754114e-07,2.3815070804289462e-08
1857,2.64089635493292e-07,2.0990489346672803e-08
1858,2.7306711558594543e-07,2.9362055675719034e-08
1859,2.9891057806707977e-07,2.9025388315062628e-08
1860,3.0621359314864094e-07,3.707519011242333e-08
1861,3.654871818525862e-07,4.197207764677913e-08
1862,2.0692377233899606e-07,3.207770404856092e-08
1863,3.0617025004175957e-07,4.04564275413577e-08
1864,2.8720421596517554e-07,3.5001512799226475e-08
1865,3.1582925430484465e-07,5.130460323243824e-08
1866,3.196707609731675e-07,1.3137154475373336e-08
1867,2.6836048050427053e-07,2.717574432153924e-08
1868,2.548975146510202e-07,3.210918109175509e-08
1869,3.3500941754027735e-07,3.1742874995188686e-08
1870,2.775279597244662e-07,2.0642576092910758e-08
