year,certains_DET airs_NOUN
1800,5.345079756580162e-08
1801,4.286128785224719e-08
1802,3.8043282302169246e-08
1803,2.145373079187607e-08
1804,4.943701981119375e-08
1805,6.254330742194725e-08
1806,5.4751712497136396e-08
1807,2.562259560079383e-08
1808,1.5862518409903714e-08
1809,3.6144488291256494e-08
1810,7.254392642153107e-08
1811,6.267691787797958e-08
1812,6.401299401659344e-08
1813,6.039057609541487e-08
1814,5.664018942752591e-08
1815,3.236668177919455e-08
1816,3.708166040894412e-08
1817,4.981994838892945e-08
1818,4.530047559292427e-08
1819,4.0369095288816936e-08
1820,6.40789963313182e-08
1821,7.889190811738445e-08
1822,3.709477880420309e-08
1823,5.830785232419089e-08
1824,9.263223965660927e-09
1825,8.717388766399381e-08
1826,4.227832306469281e-08
1827,6.267745789045875e-08
1828,9.814362300630819e-08
1829,3.1720752247110795e-08
1830,5.3227864116323076e-08
1831,3.585977337294821e-08
1832,3.788391467196561e-08
1833,6.139323005527331e-08
1834,2.333632664885954e-08
1835,8.092504089063368e-08
1836,5.578222433966218e-08
1837,4.800944708449606e-08
1838,5.2390943361402265e-08
1839,5.243606460147987e-08
1840,3.0574503984137635e-08
1841,3.980739915476761e-08
1842,7.714504501876718e-08
1843,7.206431279493941e-08
1844,3.622450606144412e-08
1845,5.245414103072221e-08
1846,3.7468808500307205e-08
1847,3.343798660182529e-08
1848,5.148941845112276e-08
1849,6.116972728342773e-08
1850,1.6972489191857676e-08
1851,4.192135261149588e-08
1852,4.427170807730363e-08
1853,4.717826063149744e-08
1854,6.702407073788663e-08
1855,7.058226003664458e-08
1856,1.2062850940353087e-07
1857,6.83411300883563e-08
1858,4.355371774344974e-08
1859,6.517981887554924e-08
1860,4.76027130491552e-08
1861,8.488734426492783e-08
1862,5.2408641426637814e-08
1863,4.395266284262789e-08
1864,2.8768367688059016e-08
1865,4.7539127800977354e-08
1866,5.741423336758089e-08
1867,5.774845668327089e-08
1868,7.311013483501938e-08
1869,6.78809173315642e-08
1870,4.759260452402714e-08
1871,3.611200227737754e-08
1872,4.5959778094406545e-08
1873,3.890902922076833e-08
1874,6.691562060012757e-08
1875,8.639505710839046e-08
1876,3.506688606158548e-08
1877,5.442638051356141e-08
1878,8.273551527215872e-08
1879,3.54340856656421e-08
1880,4.171599954361227e-08
1881,3.834879180875106e-08
1882,4.3260003357303844e-08
1883,4.486730742492284e-08
1884,9.572460513140868e-08
1885,5.220965038077452e-08
1886,5.227305832633533e-08
1887,3.395040937270721e-08
1888,4.56524276160053e-08
1889,6.578393474399036e-08
1890,2.4251230357208442e-08
1891,2.549687994068961e-08
1892,3.886477561998447e-08
1893,3.6334658393144537e-08
1894,4.7891699495039575e-08
1895,7.643640276278063e-08
1896,4.8355637716213096e-08
1897,3.379493884736462e-08
1898,3.5647635066027306e-08
1899,4.0351322283527224e-08
1900,3.218453115128028e-08
1901,4.079779380994353e-08
1902,2.553347622225033e-08
1903,3.1321277793594504e-08
